survey_year,evidence_id,evidence_type,official_owner,official_portal,source_tier,source_artifact,source_url,period,geography,definition,unit,value,sample,methodology,limitations,license,confidence,status,notes
2016,FTS2016-ART-CODEBOOK,artifact,Korea Culture and Tourism Institute,관광지식정보시스템,Tier-A,2016년 외래관광객 실태조사 코드북,https://know.tour.go.kr/stat/fCodeBookOfForeignerDis19Re.do,2016,Korea inbound foreign visitors,Year-specific variable/code definition artifact,document,VERIFIED,UNKNOWN,Official registry lists a separate 2016 main codebook PDF dated 2017-06-08,"PDF binary/field text not directly extracted in this run; no adjacent-year raw variable inference allowed",UNKNOWN,HIGH,OFFICIAL_ARTIFACT_VERIFIED_FIELD_EXTRACTION_PENDING,"Main codebook and country/city codebook are separate artifacts"
2016,FTS2016-ART-GEOCODE,artifact,Korea Culture and Tourism Institute,관광지식정보시스템,Tier-A,2016년 외래관광객 실태조사 코드북_국가 및 도시,https://know.tour.go.kr/stat/fCodeBookOfForeignerDis19Re.do,2016,Korea inbound foreign visitors,Year-specific country/city coding reference,document,VERIFIED,UNKNOWN,Official registry lists separate 2016 country/city codebook PDF dated 2017-06-08,"Cross-year code stability not verified",UNKNOWN,HIGH,OFFICIAL_ARTIFACT_VERIFIED_FIELD_EXTRACTION_PENDING,"Use only for 2016 vintage until code equivalence is demonstrated"
2016,FTS2016-ART-GUIDE,artifact,Korea Culture and Tourism Institute,관광지식정보시스템,Tier-A,외래관광객 실태조사 유저가이드,https://know.tour.go.kr/stat/fUserGuideOfForeignerDis19Re.do,2016,Korea inbound foreign visitors,Year-specific survey user guide,document,VERIFIED,UNKNOWN,Official registry lists 2016 user guide PDF dated 2017-06-01,"Methodology text not directly extracted from PDF in this run",UNKNOWN,HIGH,OFFICIAL_ARTIFACT_VERIFIED_METHOD_EXTRACTION_PENDING,"2017-2019 separate guides were not published after transfer; 2016 therefore remains the last listed pre-transfer guide"
2016,FTS2016-ART-RAW,artifact,Korea Culture and Tourism Institute,관광지식정보시스템,Tier-A,2016년 외래관광객 실태조사 원자료.zip,https://know.tour.go.kr/stat/fRawDataDownloadDis19Re.do,2016,Korea inbound foreign visitors,Respondent-level raw dataset,respondent,VERIFIED,12003,"Official data-download registry lists an individual 2016 raw ZIP and a separate integrated 2014-2016 ZIP","Portal requires applicant information/consent; raw bytes not ingested; file-internal schema remains pending",UNKNOWN,HIGH,OFFICIAL_RAW_ENTRY_VERIFIED_NOT_INGESTED,"Do not claim respondent-row coverage until direct download and integrity checks"
2016,FTS2016-SAMPLE-N,sample_anchor,Korea Tourism Organization,한국관광 데이터랩,Tier-A,2017 외래관광객 실태조사 전체결과,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14097&cateCont=spt05&cbIdx=1127&searchKey=&searchKey2=&tgtTypeCd=,2016,Korea inbound foreign visitors,2016 survey completed sample size,respondents,12003,12003,"Official 2017 methodology-change note gives 2016→2017 sample expansion 12,003→13,841","Backward comparison published in 2017 source; exact 2016 sample allocation by month/country/port still pending direct 2016 guide/report extraction",UNKNOWN,HIGH,SAMPLE_SIZE_VERIFIED,"Same official source states 2016 had 16 survey countries"
2016,FTS2016-SAMPLE-COUNTRIES,sample_anchor,Korea Tourism Organization,한국관광 데이터랩,Tier-A,2017 외래관광객 실태조사 전체결과,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14097&cateCont=spt05&cbIdx=1127&searchKey=&searchKey2=&tgtTypeCd=,2016,Korea inbound foreign visitors,Number of survey countries,countries,16,12003,"Official 2017 methodology-change note states target countries expanded 16→19 with Vietnam Indonesia Philippines added","Exact 2016 country list must come from same-year codebook/country-city codebook; do not reconstruct by subtracting countries from 2017",UNKNOWN,HIGH,SURVEY_COUNTRY_COUNT_VERIFIED,"2017 also expanded survey places 6→8 by adding Cheongju and Daegu airports; exact 2016 six-place list not asserted here"
2016,FTS2016-RESULT-REVISIT,published_estimate,Korea Tourism Organization,한국관광공사 공식 보도자료,Tier-A,2017년 방한 관광 시장은 체질 개선 중,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2016,Korea inbound foreign visitors,Share reporting two or more visits to Korea,percent,38.6,12003,"Published official year-over-year comparison in 2017 survey release","Published aggregate is not a substitute for raw-variable definition/code frame; denominator/filter and weighting formula require same-year artifacts",UNKNOWN,HIGH,PUBLISHED_ESTIMATE_VERIFIED,"2017 comparator is 53.3%"
2016,FTS2016-RESULT-INTENT,published_estimate,Korea Tourism Organization,한국관광공사 공식 보도자료,Tier-A,2017년 방한 관광 시장은 체질 개선 중,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2016,Korea inbound foreign visitors,Intent to revisit Korea for tourism within the next 3 years,percent,84.1,12003,"Published official year-over-year comparison in 2017 survey release","Exact response scale/top-box construction and weighting require same-year 2016 guide/codebook/report",UNKNOWN,HIGH,PUBLISHED_ESTIMATE_VERIFIED,"2017 comparator is 85.7%"
2016,FTS2016-RESULT-RECOMMEND,published_estimate,Korea Tourism Organization,한국관광공사 공식 보도자료,Tier-A,2017년 방한 관광 시장은 체질 개선 중,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2016,Korea inbound foreign visitors,Intent to recommend Korea to others,percent,88.9,12003,"Published official year-over-year comparison in 2017 survey release","Exact response scale/top-box construction and weighting require same-year 2016 guide/codebook/report",UNKNOWN,HIGH,PUBLISHED_ESTIMATE_VERIFIED,"2017 comparator is 90.0%"
2016,FTS2016-RESULT-STAY,published_estimate,Korea Tourism Organization,한국관광공사 공식 보도자료,Tier-A,2017년 방한 관광 시장은 체질 개선 중,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2016,Korea inbound foreign visitors,Average stay duration,days,6.4,12003,"Published official year-over-year comparison in 2017 survey release","Mean construction outlier rules and transformed/raw stay variables require 2016 same-year artifacts",UNKNOWN,HIGH,PUBLISHED_ESTIMATE_VERIFIED,"2017 comparator is 7.0 days"
