period,k_eta_regime,entry_health_regime,china_group_tour_context,k_content_exposure_event,tourism_policy_event
2015-01,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-02,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-03,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-04,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-05,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-06,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-07,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-08,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-09,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-10,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-11,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2015-12,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-01,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-02,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-03,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-04,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-05,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-06,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-07,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-08,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-09,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-10,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-11,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2016-12,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2017-01,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2017-02,도입 전,별도 코로나 입국정책 원장 참조,재개 이전 기준구간,,
2017-03,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2017-04,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2017-05,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
