evidence_id,survey_year,dimension,status,source_tier,source_owner,source_title,source_url,publication_date,period,geography,definition,unit,sample,methodology,limitations,license,confidence,verified_at
FTS2017-SDP01,2017,SURVEY_UNIVERSE,VERIFIED_DEFINITION,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"age 15+; stay 1 day to 1 year; excludes foreign visitors holding Korean nationality, transit visitors without domestic tourism, and uniformed pilots/crew/military unless in civilian clothes and visiting for tourism",eligibility rule,13841,"official survey overview",raw eligibility variables and exact screening codes remain UNKNOWN,Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
FTS2017-SDP02,2017,RESPONDENT_SELECTION_LIMIT,VERIFIED_DEFINITION,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"one respondent among family or groups of 9 or fewer; up to two respondents for groups of 10+ with different sex and age groups",respondent selection rule,13841,"official survey overview","implementation details, refusal handling and within-group selection procedure remain UNKNOWN",Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
FTS2017-SDP03,2017,FIELDWORK_SITES,VERIFIED,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"airports: Incheon, Gimpo, Gimhae, Jeju, Cheongju, Daegu; ports: Busan, Incheon; CIQ inside or outside",survey site roster,13841,"official survey overview; Daegu and Cheongju were newly added in 2017 to improve representativeness","site-level sample allocation and field dates remain UNKNOWN",Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
FTS2017-SDP04,2017,SURVEY_MODE,VERIFIED,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"structured questionnaire administered on site by face-to-face interview or self-completion",survey mode,13841,official survey overview,"mode assignment proportions and mode effects remain UNKNOWN",Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
FTS2017-SDP05,2017,REALIZED_SAMPLE_AND_COUNTRY_FRAME,VERIFIED,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"13,841 respondents; monthly average 1,153; survey frame expanded to 19 countries plus Other; Vietnam, Indonesia and Philippines newly added versus 2016",respondents,13841,official survey overview,"exact 19-country roster and country-level realized sample require direct same-year report/codebook extraction",Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
FTS2017-SDP06,2017,REPEAT_VISIT_PUBLISHED_CATEGORIES,VERIFIED_PUBLISHED_RESULT,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"published visit-frequency categories: 1 visit 46.7%; 2+ repeat 53.3%; 2 visits 17.9%; 3 visits 9.5%; 4+ visits 25.9%",percent of published weighted survey result,13841,official published result table,"raw variable name, exact wording, raw code values, missing handling and weight formula remain UNKNOWN",Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
FTS2017-SDP07,2017,STAY_LENGTH_PUBLISHED_DEFINITION,VERIFIED_DEFINITION_SCOPE,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"published average stay is 7.0 days and explicitly excludes stays of 61 days or longer from this metric",days,13841,official published result table,"this is an output-analysis exclusion, not the survey eligibility ceiling; raw stay variable and missing/weight handling remain UNKNOWN",Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
FTS2017-SDP08,2017,EXPENDITURE_PUBLISHED_METRICS,VERIFIED_PUBLISHED_RESULT,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"published per-person average expenditure: total USD 1,481.6; published per-day average expenditure: total USD 270.4",USD per person; USD per person-day,13841,official published result table,"raw expenditure components, exchange-rate rule, denominator construction, outlier treatment and weight formula remain UNKNOWN; published values must not be treated as raw-field definitions",Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
FTS2017-SDP09,2017,OVERALL_SATISFACTION_AGGREGATION,VERIFIED_PUBLISHED_DEFINITION,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"published overall satisfaction 94.8% is defined as Very satisfied + Satisfied; components are 42.6% and 52.2%",percent positive,13841,official published result table,"full response scale, raw variable name/codes and missing treatment require same-year questionnaire/codebook",Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
FTS2017-SDP10,2017,REVISIT_INTENTION_HORIZON_AND_AGGREGATION,VERIFIED_PUBLISHED_DEFINITION,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"intention to revisit Korea for tourism within the next 3 years; published positive 85.7% = Very likely/strongly agree equivalent label '매우 그렇다' 37.9% + '그렇다' 47.8%",percent positive within 3 years,13841,official published result table,"exact questionnaire wording translation, complete response scale, raw codes and missing treatment remain UNKNOWN",Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
FTS2017-SDP11,2017,RECOMMENDATION_INTENTION_AGGREGATION,VERIFIED_PUBLISHED_DEFINITION,Tier-A,Ministry of Culture Sports and Tourism / Korea Tourism Organization,2017년 외래관광객 실태조사 결과 발표 official KTO material,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,2018-05-30,2017,Korea,"published recommendation intention 90.0% = '매우 그렇다' 37.7% + '그렇다' 52.3%",percent positive,13841,official published result table,"exact questionnaire wording, complete response scale, raw codes and missing treatment remain UNKNOWN",Copyright MCST/KTO; reuse terms UNKNOWN,HIGH,2026-08-29
