survey_year,official_owner,official_portal,artifact_type,format,artifact_title_or_filename,official_artifact_verified,period,geography,population_or_sample,measurement_type,definition,unit,methodology,limitations,license_or_terms,access_restriction,source_url,confidence,status
2007,KTO/KCTI official archive,Tourism Knowledge Information System,respondent_raw,ZIP,2007년 외래관광객 실태조사 원자료.zip,YES,2007,Republic of Korea inbound foreign visitors,UNKNOWN,SURVEY,Respondent-level raw data for the 2007 Foreign Tourist Survey,respondent,Monthly survey regime had been in place since 2004,Exact rows variables weights and definitions require file inspection,UNKNOWN,Official download application form required,https://know.tour.go.kr/stat/fRawDataDownloadDis19Re.do,HIGH,RAW_ARTIFACT_VERIFIED_DOWNLOAD_FORM_GATED
2007,KTO/KCTI official archive,Tourism Knowledge Information System,codebook,PDF,2007년 외래관광객 실태조사 코드북,YES,2007,Republic of Korea inbound foreign visitors,UNKNOWN,SURVEY,Official 2007 codebook,variable/code,Year-specific codebook exists,Field-level longitudinal equivalence not yet crosswalked,UNKNOWN,Public listing,https://know.tour.go.kr/stat/fCodeBookOfForeignerDis19Re.do?pageIndex=2&searchCondition=res_year&searchWord=,HIGH,CODEBOOK_VERIFIED_FIELD_CROSSWALK_PENDING
2007,KTO/KCTI official archive,Tourism Knowledge Information System,questionnaire,PDF,2007년 외래관광객 실태조사 설문지,YES,2007,Republic of Korea inbound foreign visitors,UNKNOWN,SURVEY,Official 2007 questionnaire,question/response option,Official questionnaire PDF listed,Question wording not yet crosswalked to adjacent years,UNKNOWN,Public listing,https://know.tour.go.kr/stat/fQuestionnaireOfForeignerDis19Re.do,HIGH,QUESTIONNAIRE_VERIFIED_FIELD_CROSSWALK_PENDING
2008,KTO/KCTI official archive,Tourism Knowledge Information System,respondent_raw,ZIP,2008년 외래관광객 실태조사 원자료.zip,YES,2008,Republic of Korea inbound foreign visitors,11978 official-history sample,SURVEY,Respondent-level raw data for the 2008 Foreign Tourist Survey,respondent,India was added and sample expanded from 11453 to 11978,Population composition changed versus 2007 and exact weights require inspection,UNKNOWN,Official download application form required,https://know.tour.go.kr/stat/fRawDataDownloadDis19Re.do,HIGH,RAW_ARTIFACT_VERIFIED_REGIME_BREAK_FIELD_CROSSWALK_PENDING
2008,KTO/KCTI official archive,Tourism Knowledge Information System,codebook,PDF,2008년 외래관광객 실태조사 코드북,YES,2008,Republic of Korea inbound foreign visitors,11978 official-history sample,SURVEY,Official 2008 codebook,variable/code,India added and sample expanded,Do not treat country composition or weights as identical to 2007,UNKNOWN,Public listing,https://know.tour.go.kr/stat/fCodeBookOfForeignerDis19Re.do?pageIndex=2&searchCondition=res_year&searchWord=,HIGH,CODEBOOK_VERIFIED_REGIME_BREAK_FIELD_CROSSWALK_PENDING
2008,KTO/KCTI official archive,Tourism Knowledge Information System,questionnaire,PDF,2008년 외래관광객 실태조사 설문지,YES,2008,Republic of Korea inbound foreign visitors,11978 official-history sample,SURVEY,Official 2008 questionnaire,question/response option,Official questionnaire PDF listed,Wording and coding require direct 2007-2009 comparison,UNKNOWN,Public listing,https://know.tour.go.kr/stat/fQuestionnaireOfForeignerDis19Re.do,HIGH,QUESTIONNAIRE_VERIFIED_FIELD_CROSSWALK_PENDING
2009,KTO/KCTI official archive,Tourism Knowledge Information System,respondent_raw,ZIP,2009년 외래관광객 실태조사 원자료.zip,YES,2009,Republic of Korea inbound foreign visitors,UNKNOWN,SURVEY,Respondent-level raw data for the 2009 Foreign Tourist Survey,respondent,Survey administration changed from KTO to KCTI in 2009,Administrative handoff is a provenance regime marker and exact fieldwork effects require documentation,UNKNOWN,Official download application form required,https://know.tour.go.kr/stat/fRawDataDownloadDis19Re.do,HIGH,RAW_ARTIFACT_VERIFIED_ADMIN_REGIME_BREAK_FIELD_CROSSWALK_PENDING
2009,KTO/KCTI official archive,Tourism Knowledge Information System,codebook,PDF,2009년 외래관광객 실태조사 코드북 plus country/city common codebook,YES,2009,Republic of Korea inbound foreign visitors,UNKNOWN,SURVEY,Official 2009 main and country-city codebooks,variable/code,Two official codebook artifacts listed,Code mappings must remain year-specific until inspected,UNKNOWN,Public listing,https://know.tour.go.kr/stat/fCodeBookOfForeignerDis19Re.do?pageIndex=2&searchCondition=res_year&searchWord=,HIGH,CODEBOOKS_VERIFIED_FIELD_CROSSWALK_PENDING
2009,KTO/KCTI official archive,Tourism Knowledge Information System,questionnaire,PDF,2009년 외래관광객 실태조사 설문지,YES,2009,Republic of Korea inbound foreign visitors,UNKNOWN,SURVEY,Official 2009 questionnaire,question/response option,Official questionnaire PDF listed,Do not assume identical wording or codes to 2008,UNKNOWN,Public listing,https://know.tour.go.kr/stat/fQuestionnaireOfForeignerDis19Re.do,HIGH,QUESTIONNAIRE_VERIFIED_FIELD_CROSSWALK_PENDING
2009,KTO/KCTI official archive,Tourism Knowledge Information System,user_guide,PDF,외래관광객 실태조사_유저가이드,YES,2009,Republic of Korea inbound foreign visitors,UNKNOWN,SURVEY,Official 2009 user guide,guide,2009 is earliest year shown in current official user-guide list,No 2007-2008 user-guide entries verified on current list,UNKNOWN,Public listing,https://know.tour.go.kr/stat/fUserGuideOfForeignerDis19Re.do,HIGH,USER_GUIDE_VERIFIED_EARLIER_GUIDES_NOT_VERIFIED
