evidence_id,survey_year,dimension,status,source_tier,source_owner,source_title,source_url,period,geography,definition,unit,sample,methodology,limitations,license,confidence,verified_at
FTS2023-001,2023,REGIME,METHODOLOGY_RETURN_TO_PRE_COVID_LEVEL_VERIFIED,Tier-A,KCTI/Tourism Knowledge Information System,외래관광객조사 조사개요,https://know.tour.go.kr/stat/fResearchSumDis19Re.do,2023,Korea,"2023년 코로나19 영향 감소 및 입국 추세 안정화에 따라 조사방법·조사내용을 코로나19 이전(2019년) 수준으로 진행",regime,UNKNOWN,"official survey history statement","'수준으로'는 완전한 문항/변수/가중치 동일성을 의미하지 않음",UNKNOWN,HIGH,2026-08-29
FTS2023-002,2023,UNIVERSE,RESPONDENT_UNIVERSE_VERIFIED,Tier-A,KCTI/Tourism Knowledge Information System,외래관광객조사 조사설계,https://know.tour.go.kr/stat/fResearchExpDis19Re.do,2023-01-01/2023-12-31,Korea,"한국 방문 후 출국하는 만 15세 이상·체류 90일 이하 외국인 관광객; 한국 국적 외국인, 환승 숙박만 한 경우, 따이공, 관광 목적 없는 기장·승무원·군인·크루즈 여행객 제외",persons,16000 planned annual,"airport/port departure survey","planned sample; realized respondent count not established here",UNKNOWN,HIGH,2026-08-29
FTS2023-003,2023,SAMPLE_DESIGN,SAMPLE_ALLOCATION_4_STAGE_VERIFIED,Tier-A,KCTI/Tourism Knowledge Information System,외래관광객조사 조사설계,https://know.tour.go.kr/stat/fResearchExpDis19Re.do,2023,Korea,"총 16,000명을 12개월 동수로 배분 후 최근 3개월 입국관광통계 기반 국가별 변형비례배분·조사장소 비례배분·국가/성/연령 비례배분",persons,16000 planned,"monthly target ~1,333; country sqrt proportional allocation with minimum allocations","weight formula/calibration/strata/PSU not established by this page",UNKNOWN,HIGH,2026-08-29
FTS2023-004,2023,MONTHLY_GRANULARITY,MONTHLY_FIELDWORK_TARGET_VERIFIED,Tier-A,KCTI/Tourism Knowledge Information System,외래관광객조사 조사설계,https://know.tour.go.kr/stat/fResearchExpDis19Re.do,2023-01/2023-12,Korea,"12개월 동수 임의배분; 월 1,333명, 일부 월 1,334명",persons/month,16000 planned,"monthly fieldwork target","does not prove every variable is estimable/published monthly; realized monthly counts not extracted",UNKNOWN,HIGH,2026-08-29
FTS2023-005,2023,COUNTRY_FRAME,COUNTRY_GROUP_FRAME_VERIFIED,Tier-A,KCTI/Tourism Knowledge Information System,외래관광객조사 조사설계,https://know.tour.go.kr/stat/fResearchExpDis19Re.do,2023,Korea,"일본 중국 홍콩 싱가포르 대만 태국 말레이시아 호주 미국 캐나다 영국 독일 프랑스 러시아 중동 인도 필리핀 인도네시아 베트남 몽골 기타",country groups,21 listed groups incl 기타,official sample-design grouping,"exact raw country codes and Middle East membership not established",UNKNOWN,HIGH,2026-08-29
FTS2023-006,2023,FIELDWORK_LOCATION,FIELDWORK_LOCATIONS_VERIFIED,Tier-A,KCTI/Tourism Knowledge Information System,외래관광객조사 조사설계,https://know.tour.go.kr/stat/fResearchExpDis19Re.do,2023,Korea,"인천공항 T1/T2, 김포·김해·제주·대구·양양공항, 부산항·인천항 국제여객터미널",locations,8 named location groups plus Incheon T1/T2,"departure waiting-area survey","operational exceptions/closures by month not established",UNKNOWN,HIGH,2026-08-29
FTS2023-007,2023,COLLECTION_METHOD,COLLECTION_METHOD_VERIFIED,Tier-A,KCTI/Tourism Knowledge Information System,외래관광객조사 조사설계,https://know.tour.go.kr/stat/fResearchExpDis19Re.do,2023,Korea,"공항·항구 출국대기실에서 태블릿 PC 자기기입식; 14개 언어 시스템",method,UNKNOWN,"interviewer-assisted field administration with self-entry tablet response","response rate/nonresponse adjustment not established",UNKNOWN,HIGH,2026-08-29
FTS2023-008,2023,QUESTIONNAIRE,VERIFIED_AVAILABLE,Tier-A,KCTI/Tourism Knowledge Information System,2023년 외래관광객 조사 설문지,https://know.tour.go.kr/stat/fQuestionnaireOfForeignerDis19Re.do,2023,Korea,"official questionnaire registry entry; PDF registered 2024-07-03",artifact,UNKNOWN,registry verification,"question wording not extracted in this run",UNKNOWN,HIGH,2026-08-29
FTS2023-009,2023,CODEBOOK,VERIFIED_AVAILABLE,Tier-A,KCTI/Tourism Knowledge Information System,2023년 외래관광객조사 코드북,https://know.tour.go.kr/stat/fCodeBookOfForeignerDis19Re.do,2023,Korea,"official codebook registry entry; ZIP registered 2024-07-05",artifact,UNKNOWN,registry verification,"full raw-variable/code extraction still pending",UNKNOWN,HIGH,2026-08-29
FTS2023-010,2023,REPORT,VERIFIED_AVAILABLE_FINAL,Tier-A,KCTI/Tourism Knowledge Information System,2023 외래관광객조사 보고서(확정치),https://know.tour.go.kr/stat/fReportsOfForeignerDis19Re.do,2023,Korea,"official final report registry entry; PDF registered 2024-07-25",artifact,UNKNOWN,registry verification,"report contents not fully extracted in this run",UNKNOWN,HIGH,2026-08-29
