survey_year,raw_variable,canonical_variable,canonical_axis,verified_state,current_canonical_state,source_artifact,source_tier,provenance,period,geography,definition,unit,sample_methodology,limitations,license,confidence,reconciliation_action
2012,q1,travel_type,WHO,"raw name+wording+codes+missing verified","2012 remains one UNKNOWN placeholder row",FOREIGN_TOURIST_SURVEY_2012_OFFICIAL_CODEBOOK_FIELD_SNIPPET_EVIDENCE_2026-08-31.csv,TIER_A,"KTO/Tourism Data Lab same-year official codebook search-index snippet",2012,"Korea inbound foreign visitors","문1 여행 형태; 1 개별여행;2 단체여행;3 Air-tel Tour;9 모름/무응답",category,UNKNOWN,"universe/skip and weight remain UNKNOWN; direct PDF rendering unavailable in acquisition environment",UNKNOWN,HIGH,"mechanically materialize q1 in canonical crosswalk; preserve unknown fields"
2012,q2b,repeat_visit,WHO,"raw name+wording+3-year reference window verified; codes not fully verified","2012 remains one UNKNOWN placeholder row",FOREIGN_TOURIST_SURVEY_2012_OFFICIAL_CODEBOOK_FIELD_SNIPPET_EVIDENCE_2026-08-31.csv,TIER_A,"KTO/Tourism Data Lab same-year official codebook search-index snippet",2012,"Korea inbound foreign visitors","문2-2 최근 3년간 한국방문 횟수",visit count/category,UNKNOWN,"full 2012 code values; universe/skip; weight remain UNKNOWN",UNKNOWN,HIGH,"mechanically materialize q2b but keep code_values UNKNOWN; mark definition-break relevance"
2013,q1,travel_type,WHO,"raw name+wording+codes+missing+wave methodology verified","canonical currently has only generic survey_month/residence/demographics rows",FOREIGN_TOURIST_SURVEY_2013_SAME_YEAR_FIELD_AND_METHOD_EVIDENCE_2026-08-31.csv,TIER_A,"KTO/Tourism Data Lab same-year official codebook",2013,"Incheon/Gimpo/Gimhae/Jeju international airports; Incheon/Busan international ports","문1 여행 형태; 1 개별여행;2 단체여행;3 Air-tel Tour;9 모름/무응답",categorical,"nationality×entry-route×sex proportional quota; age 15+; stay 1 day-1 year; monthly self-administered survey","field-specific universe/skip and exact weight variable/formula UNKNOWN",UNKNOWN,HIGH,"materialize verified same-year row without inferring cross-year equivalence"
2013,q2b,repeat_visit,WHO,"raw name+wording+codes+missing+3-year reference window verified","not materialized in canonical crosswalk",FOREIGN_TOURIST_SURVEY_2013_SAME_YEAR_FIELD_AND_METHOD_EVIDENCE_2026-08-31.csv,TIER_A,"KTO/Tourism Data Lab same-year official codebook",2013,"same 6 airport/port survey sites","문2-2 최근 3년간 한국방문 횟수; 1=1회;2=2회;3=3회;4=4회이상;9=모름/무응답",categorical,"nationality×entry-route×sex proportional quota; age 15+; stay 1 day-1 year","w q2b companion exists but numeric domain; universe/skip; weight formula UNKNOWN",UNKNOWN,HIGH,"materialize and preserve PRE_2015 3-year definition break"
2013,q2c,prior_visit_timing,WHEN,"raw name+partial displayed quarter codes+missing verified","not materialized in canonical crosswalk",FOREIGN_TOURIST_SURVEY_2013_SAME_YEAR_FIELD_AND_METHOD_EVIDENCE_2026-08-31.csv,TIER_A,"KTO/Tourism Data Lab same-year official codebook",2013,"same 6 airport/port survey sites","문2-3 최근 한국방문시기(년도&분기); indexed excerpt verifies 2009Q1-2012Q4 codes and 9999 missing",categorical,"nationality×entry-route×sex proportional quota; monthly self-administered survey","2013-quarter codes not visible in extracted snippet; do not extrapolate",UNKNOWN,MEDIUM,"materialize as PARTIAL_CODES_VERIFIED only"
2013,q3a2,stay_length,STAY,"raw name+wording+codes+missing verified","not materialized in canonical crosswalk",FOREIGN_TOURIST_SURVEY_2013_SAME_YEAR_FIELD_AND_METHOD_EVIDENCE_2026-08-31.csv,TIER_A,"KTO/Tourism Data Lab same-year official codebook",2013,"same 6 airport/port survey sites","문3-2 한국체류기간; 1-10=1-10일;11=11~60일;12=61일 이상;999=무응답",days/categorical,"age 15+; stay eligibility 1 day-1 year","m q3a2/mm q3a2 companions visible; exact raw numeric domains and weight formula UNKNOWN",UNKNOWN,HIGH,"materialize exact categorical mapping; keep companion domains UNKNOWN"
2013,q5,decision_timing,SEARCH,"raw name+wording+codes+missing verified","not materialized in canonical crosswalk",FOREIGN_TOURIST_SURVEY_2013_SAME_YEAR_FIELD_AND_METHOD_EVIDENCE_2026-08-31.csv,TIER_A,"KTO/Tourism Data Lab same-year official codebook",2013,"same 6 airport/port survey sites","문5 한국여행 결정 시점; 1=1개월;2=2개월;3=3~4개월;4=5~9개월;5=10개월 이상;99=무응답",months/categorical,"monthly self-administered survey","m q5 raw-month companion exists but numeric domain/universe/weight formula UNKNOWN",UNKNOWN,HIGH,"materialize same-year categorical mapping"
2013,q6,alternative_country_consideration,COMPETITIVE_DESTINATION,"raw name+wording+codes+missing verified","not materialized in canonical crosswalk",FOREIGN_TOURIST_SURVEY_2013_SAME_YEAR_FIELD_AND_METHOD_EVIDENCE_2026-08-31.csv,TIER_A,"KTO/Tourism Data Lab same-year official codebook",2013,"same 6 airport/port survey sites","문6 여행전 다른 국가 방문 검토 여부; 1=처음부터 한국;2=다른 국가와 비교 후 한국;9=무응답",categorical,"monthly self-administered survey","q6a skip/universe mechanics UNKNOWN",UNKNOWN,HIGH,"materialize as consideration field; do not interpret as observed substitution"
2013,q6a1,alternative_country_1,COMPETITIVE_DESTINATION,"raw name+same-year country code list+missing verified","not materialized in canonical crosswalk",FOREIGN_TOURIST_SURVEY_2013_SAME_YEAR_FIELD_AND_METHOD_EVIDENCE_2026-08-31.csv,TIER_A,"KTO/Tourism Data Lab same-year official codebook",2013,"same 6 airport/port survey sites","문6 방문 검토 국가1; Japan/China/Hong Kong/Singapore/Taiwan/Australia/Thailand/US/Canada/UK/Germany/France/Russia/India/Malaysia/Middle East/other codes verified",country/category,"monthly self-administered survey","q6a2-q6a5 presence visible but response mechanics not verified; 997=other is not missing",UNKNOWN,HIGH,"materialize q6a1 only; do not copy mechanics to q6a2-q6a5"
2013,q7,visit_purpose,WHY,"raw name+wording+codes+missing verified","not materialized in canonical crosswalk",FOREIGN_TOURIST_SURVEY_2013_SAME_YEAR_FIELD_AND_METHOD_EVIDENCE_2026-08-31.csv,TIER_A,"KTO/Tourism Data Lab same-year official codebook",2013,"same 6 airport/port survey sites","문7 방한 목적; codes 1-8 plus 99 missing verified",categorical,"monthly self-administered survey","single/multiple-response mechanics and field universe UNKNOWN",UNKNOWN,HIGH,"materialize with response-mechanics flag"
