measure_id,korean_name,canonical_definition,preferred_frequency,comparison_rule,forbidden_substitution
CDM-001,국제방문자수,"목적지 공식 통계가 정의한 inbound visitor/arrival count",monthly,"동일 출발시장 정의와 동일 기간에서 비교","immigration entries or border movements cannot replace tourism visitors without crosswalk"
CDM-002,관광목적방문,"공식 목적구분 중 leisure/tourism에 해당하는 방문",monthly_or_annual,"목적분류가 직접 대응될 때만 비교","total arrivals cannot stand in for tourism-purpose arrivals"
CDM-003,평균체류기간,"공식 방문자 조사/통계의 평균 체류일수",quarterly_or_annual,"native frequency 유지","hotel nights cannot automatically replace visitor stay length"
CDM-004,숙박일수,"방문객이 목적지에서 발생시킨 총 숙박일/박",quarterly_or_annual,"person-night definition 확인","visitor arrivals cannot be multiplied by average stay when source populations differ"
CDM-005,총관광지출,"공식 inbound tourism expenditure total",quarterly_or_annual,"명목통화와 환율기준 기록","card spend cannot replace total tourism expenditure"
CDM-006,1회방문당지출,"총지출/방문건수 또는 공식 직접추정값",quarterly_or_annual,"분자·분모 동일 모집단일 때만 계산","survey spend divided by administrative arrivals without compatibility check"
CDM-007,1일당지출,"총지출/숙박일수 또는 공식 직접추정값",quarterly_or_annual,"동일 모집단·동일 기간","visitor arrivals as denominator"
CDM-008,지역방문,"방문자가 목적지 내 지역/도도부현/도시를 방문한 관측",annual_or_survey,"다중방문 가능 여부 기록","regional visit counts cannot be summed as unique visitors"
CDM-009,지역숙박,"지역별 숙박 또는 person-night",monthly_or_annual,"숙박통계의 사업체 범위 기록","regional visits cannot replace nights"
CDM-010,정보원,"여행 전·중 사용한 정보채널",survey,"복수응답 여부 기록","search volume cannot substitute survey-reported information source"
CDM-011,예약채널,"항공/숙박/활동 예약경로",survey,"상품별 분리 권장","OTA listing availability cannot stand in for booking share"
CDM-012,결제수단,"현지에서 사용한 결제수단/카드·현금 등",survey_or_transaction,"설문과 거래센서 분리","card network transaction share cannot be equated to traveler payment preference"
CDM-013,만족도,"공식 방문자 조사 만족평가",survey,"척도 변환 없이 원척도 보존","review rating cannot directly replace official survey satisfaction"
CDM-014,재방문의향,"공식 설문상의 재방문 의향",survey,"실제 재방문과 별도 저장","intention cannot replace observed repeat visitation"
CDM-015,호텔공급,"공식 숙박시설 객실/업체 공급",monthly_or_quarterly,"등록/운영/가용객실 구분","registered rooms cannot replace sellable inventory"
CDM-016,호텔점유,"공식 숙박업 객실점유율",monthly,"포함 숙박업 범위 기록","destination-wide tourism demand cannot be inferred from occupancy alone"
CDM-017,출발시장정의,"nationality 또는 place of residence",all,"원자료 필드 그대로 보존","nationality and residence must never be silently merged"
CDM-018,체제변화,"통계방법/국경정책/자료수집 변경",event,"전후 기간 별도 regime_id","broken series cannot be treated as homogeneous trend"
