canonical_dataset_id,canonical_name,owner,canonical_grain,legacy_file,legacy_id,alias_status,notes
KORC-ARRIVAL-COUNTRY-001,Inbound arrivals by country,Korea Tourism Data Lab,month x country,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_RAW_BACKBONE_V1.csv,KOR-001,VALID_ALIAS,Canonical inbound country-month backbone
KORC-ARRIVAL-ALL-001,Inbound arrivals all-country,Korea Tourism Data Lab,month x all countries,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_RAW_BACKBONE_V1.csv,KOR-002,COLLIDING_LEGACY_ALIAS,KOR-002 means sex in coverage matrix; never join on legacy_id alone
KORC-FTS-001,Foreign Tourist Survey,Korea Culture and Tourism Institute via Korea Tourism Data Lab,respondent x survey year,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_RAW_BACKBONE_V1.csv,KOR-003,COLLIDING_LEGACY_ALIAS,KOR-003 means age in coverage matrix; canonical survey identity is KORC-FTS-001
KORC-MOBILE-001,Mobile presence tourism stay,Korea Tourism Data Lab,month x region x foreign market,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_RAW_BACKBONE_V1.csv,KOR-004,COLLIDING_LEGACY_ALIAS,KOR-004 means entry gateway in coverage matrix
KORC-CARD-001,Foreign card tourism spend,Korea Tourism Data Lab,month x region x industry x country,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_RAW_BACKBONE_V1.csv,KOR-005,COLLIDING_LEGACY_ALIAS,KOR-005 means Foreign Tourist Survey in coverage matrix
KORC-NAV-001,Navigation search,Korea Tourism Data Lab,month x destination/place,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_RAW_BACKBONE_V1.csv,KOR-006,COLLIDING_LEGACY_ALIAS,KOR-006 means regional tourism diversity in coverage matrix
KORC-COMPLAINT-001,Tourism complaints,Korea Tourism Data Lab,month x type x region x nationality,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_RAW_BACKBONE_V1.csv,KOR-007,COLLIDING_LEGACY_ALIAS,KOR-007 means regional tourism demand intensity in coverage matrix
KORC-SUPPLY-REG-001,Tourism businesses rooms,MCST/local administrative licensing + Data Lab,observation date x region x type,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_RAW_BACKBONE_V1.csv,KOR-008,COLLIDING_LEGACY_ALIAS,KOR-008 means TourAPI content in coverage matrix
KORC-IMMIGRATION-001,Immigration cross-check,Ministry of Justice,month x nationality/status,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_RAW_BACKBONE_V1.csv,KOR-009,COLLIDING_LEGACY_ALIAS,KOR-009 means tourism accommodation facilities in coverage matrix
KORC-ARRIVAL-COUNTRY-001,Inbound foreign visitors month-country,Korea Tourism Organization Korea Tourism Data Lab,month x country,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-001,VALID_ALIAS,Same conceptual dataset as raw backbone KOR-001
KORC-ARRIVAL-SEX-001,Inbound foreign visitors by sex,Korea Tourism Organization/public data portal,month x sex,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-002,COLLIDING_LEGACY_ALIAS,Distinct from raw-backbone KOR-002
