name,zone_or_dong,booking_rating_10,booking_reviews,google_rating_5,google_reviews,source_checked,priority_note
Hanok Hotel DAAM Seoul,창덕궁권,9.1,1905,,,Booking 2026-08-27,A: 리뷰량 매우 큼
하녹하녹,서촌/경복궁역,9.0,288,5.0,10,Booking+Google 2026-08-27,A: 접근성/리뷰량 우수
AWIK Hanok Stay,북촌/계동,9.0,216,3.6,11,Booking+Google 2026-08-27,B: 플랫폼간 평점차 검증 필요
Hanok Got,창덕궁권,9.0,156,,,Booking 2026-08-27,A-
HAEMIL Hanok 해밀한옥,권농동/창덕궁권,9.3,153,4.3,46,Booking+Google 2026-08-27,A-
Gongsimga Hanok Guesthouse,북촌권,8.3,459,,,Booking 2026-08-27,B+: 리뷰량 큼
Nostalgia Hanok Hotel,종로권,9.5,64,,,Booking 2026-08-27,A-: 고가 프리미엄 후보
Dajayon Hanok Stay,권농동/창덕궁권,9.2,271,4.9,7,Booking+Google 2026-08-27,A: OTA 리뷰량 신뢰 우위
Hanok Guesthouse Nuha,서촌/누하권,9.1,108,,,Booking 2026-08-27,A-
Eugene Hanok Stay,혜화/대학로권,8.3,124,4.1,21,Booking+Google 2026-08-27,B
MemoryStay,서촌권,9.7,73,,,Booking 2026-08-27,A: 독채 프리미엄 후보
Stay Dalmaji,서촌/경복궁권,9.8,22,,,Booking 2026-08-27,A-: 소표본
Jongno Haru,종로권,9.6,50,,,Booking 2026-08-27,A-
Side Hanok Residence,서촌/필운대권,9.1,7,4.6,33,Booking+Google 2026-08-27,B+: 표본 확대 필요
Bukchon Binkwan by Rakkojae,북촌/가회권,,,5.0,27,Google 2026-08-27,A-: 프리미엄 브랜드
Rakkojae Seoul Main Hanok,북촌/가회동,,,4.5,122,Google 2026-08-27,A: 프리미엄 브랜드/리뷰량
Bukchonmaru Hanok Guesthouse,북촌/계동권,,,4.5,64,Google 2026-08-27,B+
THE CHAE Premium Hanok Stay,서촌/효자권,,,5.0,34,Google 2026-08-27,A-
STAY256 Hanok Guesthouse,북촌/팔판동,,,4.8,52,Google 2026-08-27,A-
Hanok Guesthouse 201,북촌/가회동,,,4.6,39,Google 2026-08-27,B+
