survey_year,evidence_class,raw_variable,canonical_variable,canonical_axis,question_definition,code_values,universe_filter,unit,weight_variable,sample_design,stay_criterion,expenditure_basis,geography,missing_codes,methodology,limitations,license,source_tier,source_artifact,source_url,confidence,comparability_status,regime_break,notes
2015,O,q1,repeat_visit_status,WHO,"문1. 한국 재방문 여부","1=처음 방문;2=재방문",all respondents,category,wt,UNKNOWN,"survey eligibility is 15+ and stay 1 day to <=1 year in current official survey description; exact 2015 wording requires same-year guide confirmation",NA,Korea inbound foreign visitors,UNKNOWN,"same-year official codebook",exact 2015 universe wording/filter not extracted,UNKNOWN,Tier-A,"2015년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14094&cbIdx=1603&streFileNm=160719a1-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,2015_REPEAT_VISIT_LIFETIME_BREAK,"Official survey history states 2015 changed visit-count basis from recent 3 years to lifetime; do not pool mechanically with <=2014"
2015,O,q1a,repeat_visit_count,WHO,"문1-1. 한국 재방문 횟수_category","1=1회;2=2회;3=3회;4=4회 이상;9=모름/무응답",repeat visitors,visit count/category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,9,"same-year official codebook plus official survey-history regime note",question excerpt does not itself spell out lifetime basis; regime interpretation is anchored by official survey history,UNKNOWN,Tier-A,"2015년 외래관광객 실태조사 코드북 + 공식 조사연혁","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14094&cbIdx=1603&streFileNm=160719a1-6236-11e8-9868-892a614a29fd.pdf | https://know.tour.go.kr/stat/fResearchSumDis19Re.do",HIGH,FIELD_LEVEL_VERIFIED,2015_REPEAT_VISIT_LIFETIME_BREAK,"Lifetime-basis break is official; same-year category field verified"
2015,O,wq1a,repeat_visit_count_raw,WHO,"문1-1. 한국 재방문 횟수_원자료",원자료,repeat visitors,visit count/raw,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,UNKNOWN,"same-year official codebook",raw missing behavior and maximum value not extracted,UNKNOWN,Tier-A,"2015년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14094&cbIdx=1603&streFileNm=160719a1-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,2015_REPEAT_VISIT_LIFETIME_BREAK,"Keep separate from categorized q1a"
2015,O,q2a,multi_country_visit,WHEN,"문2. 한국만 방문/한국방문 직전·직후 타국가 방문","1=한국만 방문;2=한국방문 직전;3=한국방문 직후;4=직전+직후;9=모름/무응답",all respondents,category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,9,"same-year official codebook",exact routing for before/after country detail not extracted,UNKNOWN,Tier-A,"2015년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14094&cbIdx=1603&streFileNm=160719a1-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"q2b1 and q2c1 hold before/after country detail; full multiplicity not extracted"
2015,O,q3,decision_timing,SEARCH,"문3. 한국여행 결정 시점_category","1=1개월;2=2개월;3=3~4개월;4=5~9개월;5=10개월 이상;99=모름/무응답",all respondents,time category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,99,"same-year official codebook",raw-unit semantics for mq3 not independently extracted,UNKNOWN,Tier-A,"2015년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14094&cbIdx=1603&streFileNm=160719a1-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"mq3 is same-question raw field"
2015,O,mq3,decision_timing_raw,SEARCH,"문3. 한국여행 결정 시점_원자료",원자료,all respondents,raw time value,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,UNKNOWN,"same-year official codebook",exact raw unit/missing behavior not extracted,UNKNOWN,Tier-A,"2015년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14094&cbIdx=1603&streFileNm=160719a1-6236-11e8-9868-892a614a29fd.pdf",MEDIUM,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"Do not infer unit from categorized q3 alone"
2015,O,q4,alternative_country_consideration,COMPETITIVE_DESTINATION,"문4. 여행 전 다른 국가 방문 검토 여부","1=처음부터 한국을 목적지로 선정;2=다른 국가와 비교 후 한국 선정;9=모름/무응답",all respondents,category,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,9,"same-year official codebook",conditional country-list fields not fully extracted,UNKNOWN,Tier-A,"2015년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14094&cbIdx=1603&streFileNm=160719a1-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"Evidence limited to directly retrieved same-year codebook excerpt"
2015,O,q10,stay_length,STAY,"문10. 한국 체류기간_category","1=1일;2=2일;3=3일;4=4일;5=5일;6=6일;7=7일;8=8일;9=9일;10=10일;11=11~20일;12=21~30일;13=31~60일;14=61~90일;15=91일 이상;999=모름/무응답",eligible respondents,day/category,wt,UNKNOWN,"current official survey history retains 2011+ 1 day to <=1 year regime; exact 2015 guide wording pending",NA,Korea inbound foreign visitors,999,"same-year official codebook",same-year eligibility text not extracted,UNKNOWN,Tier-A,"2015년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14094&cbIdx=1127&streFileNm=160719a1-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"Category frame directly verified"
2015,O,mq10,stay_length_raw,STAY,"문10. 한국 체류기간_원자료",원자료,eligible respondents,raw stay value,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,UNKNOWN,"same-year official codebook",raw storage unit/missing behavior not explicitly verified,UNKNOWN,Tier-A,"2015년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14094&cbIdx=1127&streFileNm=160719a1-6236-11e8-9868-892a614a29fd.pdf",MEDIUM,FIELD_LEVEL_VERIFIED,NONE_VERIFIED,"Keep raw unit qualifier pending"
2015,O,mmq10,stay_length_censored_raw,STAY,"문10. 한국 체류기간_원자료(61일 이상 SYSMISS)","원자료;61일 이상 SYSMISS",eligible respondents,raw stay value with censoring,wt,UNKNOWN,UNKNOWN,NA,Korea inbound foreign visitors,"61일 이상=SYSMISS","same-year official codebook",other missing-code behavior not extracted,UNKNOWN,Tier-A,"2015년 외래관광객 실태조사 코드북","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14094&cbIdx=1127&streFileNm=160719a1-6236-11e8-9868-892a614a29fd.pdf",HIGH,FIELD_LEVEL_VERIFIED,STAY_TRANSFORM_FIELD,"Do not substitute mmq10 for mq10 without acknowledging 61+ day censoring"
