survey_year,canonical_variable,canonical_axis,official_source,source_type,provenance,period,geography,definition_evidence,unit_evidence,sample,methodology,limitations,license,raw_variable,code_values,weight_variable,confidence,status
2008,survey_month,WHEN,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14087&cbIdx=1603&streFileNm=577abc20-6235-11e8-9868-892a614a29fd.pdf,official same-year codebook,한국관광공사 한국관광 데이터랩,2008,Korea inbound foreign visitors,조사기간별(월),month,11978 official-history sample,same-year respondent codebook,"Codebook states Incheon Airport survey could not be conducted in April May and November; this does not prove all other survey locations were absent in those months; exact site-month denominators UNKNOWN",UNKNOWN,chasu,"1 1월;2 2월;3 3월;4 4월;5 5월;6 6월;7 7월;8 8월;9 9월;10 10월;11 11월;12 12월",wt,HIGH,FIELD_LEVEL_VERIFIED_WITH_SITE_MONTH_COVERAGE_BREAK
2008,survey_quarter,WHEN,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14087&cbIdx=1603&streFileNm=577abc20-6235-11e8-9868-892a614a29fd.pdf,official same-year codebook,한국관광공사 한국관광 데이터랩,2008,Korea inbound foreign visitors,분기별,quarter,11978 official-history sample,same-year respondent codebook,"Codebook explicitly says report results were presented quarterly because Incheon Airport survey was unavailable in April May and November; exact aggregation and weighting treatment UNKNOWN",UNKNOWN,qua,"1 1분기;2 2분기;3 3분기;4 4분기",wt,HIGH,FIELD_LEVEL_VERIFIED_REPORTING_GRANULARITY_CONSTRAINT
2008,residence_country,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14087&cbIdx=1603&streFileNm=577abc20-6235-11e8-9868-892a614a29fd.pdf,official same-year codebook,한국관광공사 한국관광 데이터랩,2008,Korea inbound foreign visitors,거주국별,country category,11978 official-history sample,same-year respondent codebook,"India is explicitly present as code 16; country frame changed versus 2007 and must remain year-specific",UNKNOWN,nat,"1 일본;2 중국;3 홍콩;4 싱가포르;5 대만;6 태국;7 말레이시아;8 호주;9 미국;10 캐나다;11 영국;12 독일;13 프랑스;14 러시아;15 중동;16 인도;97 기타",wt,HIGH,FIELD_LEVEL_VERIFIED_COUNTRY_FRAME_BREAK
2008,residence_city,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14087&cbIdx=1603&streFileNm=577abc20-6235-11e8-9868-892a614a29fd.pdf,official same-year codebook,한국관광공사 한국관광 데이터랩,2008,Korea inbound foreign visitors,"거주도시; 별도 외래관광객 실태조사 코드북_국가_도시 파일 참조",city code,11978 official-history sample,same-year respondent codebook,"separate country/city code artifact referenced but full mapping not extracted in this run",UNKNOWN,city,"separate official country/city code file referenced by codebook",wt,HIGH,FIELD_NAME_VERIFIED_CODE_FRAME_EXTERNAL
2008,sex,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14087&cbIdx=1603&streFileNm=577abc20-6235-11e8-9868-892a614a29fd.pdf,official same-year codebook,한국관광공사 한국관광 데이터랩,2008,Korea inbound foreign visitors,성별,category,11978 official-history sample,same-year respondent codebook,"universe/filter not independently extracted",UNKNOWN,sex,"1 남성;2 여성",wt,HIGH,FIELD_LEVEL_VERIFIED
2008,education,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14087&cbIdx=1603&streFileNm=577abc20-6235-11e8-9868-892a614a29fd.pdf,official same-year codebook,한국관광공사 한국관광 데이터랩,2008,Korea inbound foreign visitors,학력별,category,11978 official-history sample,same-year respondent codebook,"universe/filter not independently extracted",UNKNOWN,edu,"1 고졸이하;2 대졸;3 대학원 이상;4 기타;9 모름/무응답",wt,HIGH,FIELD_LEVEL_VERIFIED
2008,occupation,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14087&cbIdx=1603&streFileNm=577abc20-6235-11e8-9868-892a614a29fd.pdf,official same-year codebook,한국관광공사 한국관광 데이터랩,2008,Korea inbound foreign visitors,직업별,category,11978 official-history sample,same-year respondent codebook,"universe/filter not independently extracted",UNKNOWN,job,"1 공무원·군인;2 기업인·경영직;3 사무·기술직;4 판매·서비스직;5 전문직;6 생산·기능·노무직;7 자영업자;8 학생;9 주부;10 은퇴자;11 무직;12 기타;99 무응답",wt,HIGH,FIELD_LEVEL_VERIFIED
2008,age_group,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14087&cbIdx=1603&streFileNm=577abc20-6235-11e8-9868-892a614a29fd.pdf,official same-year codebook,한국관광공사 한국관광 데이터랩,2008,Korea inbound foreign visitors,연령별,age band,11978 official-history sample,same-year respondent codebook,"exact eligibility and sample-design role of age require same-year methodology source",UNKNOWN,age,"0 15~20세;1 21~30세;2 31~40세;3 41~50세;4 51~60세;5 61세 이상;9 모름/무응답",wt,HIGH,FIELD_LEVEL_VERIFIED
2008,visit_purpose,WHY,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14087&cbIdx=1603&streFileNm=577abc20-6235-11e8-9868-892a614a29fd.pdf,official same-year codebook,한국관광공사 한국관광 데이터랩,2008,Korea inbound foreign visitors,방한목적별,category,11978 official-history sample,same-year respondent codebook,"exact questionnaire wording and universe/filter not independently extracted",UNKNOWN,dd2,"1 여가·위락·개별휴가;2 친구·친지 방문;3 사업 또는 전문활동;4 건강 및 치료;5 종교 및 순례;6 기타",wt,HIGH,FIELD_LEVEL_VERIFIED
2008,travel_type,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14087&cbIdx=1603&streFileNm=577abc20-6235-11e8-9868-892a614a29fd.pdf,official same-year codebook,한국관광공사 한국관광 데이터랩,2008,Korea inbound foreign visitors,여행형태별,category,11978 official-history sample,same-year respondent codebook,"exact questionnaire wording/universe not independently extracted",UNKNOWN,dd13,"1 개별여행;2 단체여행;3 Air-tel Tour",wt,HIGH,FIELD_LEVEL_VERIFIED
