year,raw_data,report,questionnaire,codebook,user_guide,primary_formats,status,methodology_note
2007,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,ZIP/PDF,DISCOVERED,"원자료·설문지 확인"
2008,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,ZIP/PDF,DISCOVERED,"원자료·설문지 확인"
2009,YES,UNKNOWN,YES,UNKNOWN,YES,ZIP/PDF,DISCOVERED,"원자료·설문지·유저가이드 확인"
2010,YES,UNKNOWN,YES,UNKNOWN,YES,ZIP/PDF,DISCOVERED,"원자료·설문지·유저가이드 확인"
2011,YES,YES,YES,UNKNOWN,YES,ZIP/PDF,DISCOVERED,"보고서 목록에서 2011 확인"
2012,YES,YES,YES,UNKNOWN,YES,ZIP/PDF,DISCOVERED,"보고서 목록에서 2012 확인"
2013,YES,YES,YES,YES,YES,ZIP/PDF,DISCOVERED,"원자료·보고서·설문지·코드북·가이드 확인"
2014,YES,YES,YES,YES,YES,ZIP/PDF,DISCOVERED,"방문지 문항 변경 주의"
2015,YES,YES,YES,YES,YES,ZIP/PDF,VERIFIED_SOURCE,"가중치 적용; 방문지 문항 2014 변경 영향"
2016,YES,YES,NO_FILE,YES,YES,ZIP/PDF,DISCOVERED,"설문지 목록은 존재하나 첨부 없음"
2017,YES,YES,YES,YES,NO_SEPARATE, SAV/HWP/PDF,DISCOVERED,"한국관광공사 조사 이관; 별도 유저가이드 없음"
2018,YES,YES,YES,YES,NO_SEPARATE,ZIP/HWP/PDF,DISCOVERED,"조사장소/표본할당/체류기간 등 변경 이력 검토 필요"
2019,YES,YES,YES,YES,NO_SEPARATE,ZIP/HWP/PDF,DISCOVERED,"명칭 '외래관광객 조사'로 변경"
2020,YES,YES_OR_SPECIAL,UNKNOWN,YES,NO_SEPARATE,ZIP/PDF,DISCOVERED,"COVID: 문항 축소·표본설계 없이 조사; 직접 시계열 비교 주의"
2021,YES,YES_OR_SPECIAL,UNKNOWN,YES,NO_SEPARATE,ZIP/PDF,DISCOVERED,"COVID 방식 지속; 타인 추천 의향 추가"
2022,YES,YES_OR_SPECIAL,UNKNOWN,YES,NO_SEPARATE,ZIP/PDF,DISCOVERED,"COVID 방식 지속; 여행형태·시도별 체재기간·숙박·만족활동 추가"
2023,YES,YES,YES,YES,NO_SEPARATE,ZIP/PDF,VERIFIED_SOURCE,"조사방법·내용을 2019 수준으로 복귀"
2024,YES,YES,YES,YES,NO_SEPARATE,ZIP/PDF/XLSX,VERIFIED_SOURCE,"원자료 SAV+Excel, 코드북 PDF+XLSX"
2025,YES,YES,UNKNOWN,YES,NO_SEPARATE,ZIP/XLSX/PDF,VERIFIED_SOURCE,"원자료 ZIP, 코드북 XLSX, 최종보고서 PDF"
