event_id,event_type,event_name,effective_start,effective_end,market,affected_axes,causal_status,source_class,source_url,quality_note
EVT-001,CONTENT_EXPOSURE,기생충 아카데미 작품상 등 수상,2020-02-09,2020-02-09,Global,"WHY,SEARCH",EXPOSURE_ONLY,official_industry,https://www.oscars.org/oscars/ceremonies/2020,"노출 사건일 뿐 방한 증가 인과효과 아님"
EVT-002,AVIATION_ACCESS,인천공항 코로나기 여객 급락 관측,2020-03-01,2021-12-31,Korea,"WHEN,MOVE",OBSERVATION_NOT_CAUSE,official,https://www.airport.kr/co_en/4272/subview.do,"2020년 3월 여객 609516명; 공항 여객은 외국인 관광객 수가 아님"
EVT-003,ENTRY_VISA,K-ETA 본격 시행,2021-09-01,,Korea,"WHEN,BOOK_PAY",POLICY_REGIME,official,https://www.moj.go.kr/bbs/immigration/47/551356/artclView.do,"무사증 입국 대상 중 당시 적용대상은 코로나 상황 영향"
EVT-004,CONTENT_EXPOSURE,오징어 게임 시즌1 공개,2021-09-17,2021-09-17,Global,"WHY,SEARCH",EXPOSURE_ONLY,official_company,https://about.netflix.com/en/news/squid-game-invites-you-to-deadly-childhood-games-on-september-17,"콘텐츠 공개와 관광수요 인과는 별도 검증"
EVT-005,ENTRY_VISA,K-ETA 대상국 96개국 확대,2022-04-01,2022-10-31,Korea,"WHEN,BOOK_PAY",POLICY_REGIME,official,https://mojhome.moj.go.kr/immigration/1473/subview.do,"2022-04-01부터 종전 50개국에서 96개국으로 확대"
EVT-006,PUBLIC_HEALTH_ENTRY,모든 해외입국자 격리 면제,2022-06-08,,Korea,"WHEN,BOOK_PAY",POLICY_REGIME,official,https://overseas.mofa.go.kr/sn-ko/brd/m_10177/view.do?seq=1346738,"백신 접종 여부와 관계없이 격리 면제; 당시 입국전후 검사는 유지"
EVT-007,PUBLIC_HEALTH_ENTRY,입국 전 음성확인서 의무 폐지,2022-09-03,,Korea,"WHEN,BOOK_PAY",POLICY_REGIME,official,https://overseas.mofa.go.kr/jp-ko/brd/m_1083/view.do?seq=1343650,"입국 후 1일차 PCR은 9월까지 유지"
EVT-008,PUBLIC_HEALTH_ENTRY,입국 후 1일차 PCR 의무 폐지,2022-10-01,,Korea,"WHEN,BOOK_PAY",POLICY_REGIME,official,https://overseas.mofa.go.kr/np-ko/brd/m_1715/view.do?seq=1347100,"입국 전·후 코로나 검사 의무가 모두 해제된 체제"
EVT-009,ENTRY_VISA,日本·대만·마카오 등 8개 국가/지역 무사증·K-ETA 확대,2022-11-01,,Korea,"WHEN,ORIGIN_TOP15",POLICY_REGIME,official,https://overseas.mofa.go.kr/ph-en/brd/m_3275/view.do?seq=760914,"K-ETA 신청 가능 112개 국가/지역 체계"
EVT-010,ENTRY_VISA,K-ETA 22개국 한시 면제 시작,2023-04-01,2024-12-31,Korea,"WHEN,ORIGIN_TOP15",POLICY_REGIME,official,https://www.moj.go.kr/bbs/immigration/489/569087/artclView.do,"한국 방문의 해 관련 22개국 한시 면제"
EVT-011,ORIGIN_POLICY,중국 단체관광 한국행 재개,2023-08-10,,China_to_Korea,"WHEN,ORIGIN_TOP15,COMPETITIVE_DESTINATION",POLICY_REGIME,official,https://www.mcst.go.kr/site/s_notice/press/pressView.jsp?pMenuCD=0302000000&pSeq=20392,"재개 사건은 공식 확인; 2017~2023 세부 제한강도를 동일값으로 가정하지 않음"
EVT-012,TOURISM_POLICY_EVENT,2024 코리아그랜드세일,2024-01-11,2024-02-29,Korea,"WHEN,SPEND,SEARCH",INTERVENTION_EXPOSURE,official,https://www.mcst.go.kr/site/s_notice/news/newsView.jsp?pRo=137&pSeq=5721,"행사 존재와 관광성과의 순인과효과는 별도 검증"
EVT-013,AVIATION_ACCESS,인천공항 국제선 여객 2019 수준 회복·상회,2024-01-01,2024-12-31,Korea,"WHEN,MOVE",ANNUAL_CHECKPOINT,official,https://www.airport.kr/co_ko/664/subview.do,"2024 국제선 70669246명; 2019 대비 100.1%; 연간 체크포인트"
EVT-014,CONTENT_EXPOSURE,오징어 게임 시즌2 공개,2024-12-26,2024-12-26,Global,"WHY,SEARCH",EXPOSURE_ONLY,official_company,https://www.netflix.com/tudum/articles/squid-game-season-2-release-date-cast-news,"콘텐츠 공개와 방한 전환 인과는 별도 검증"
EVT-015,ENTRY_VISA,K-ETA 한시 면제 2025년 연장,2025-01-01,2025-12-31,Korea,"WHEN,ORIGIN_TOP15",POLICY_REGIME,official,https://www.k-eta.go.kr/portal/board/viewboarddetail.do?bbsSn=258311,"2024-12-11 공지; 2025-12-31까지 연장"
EVT-016,TOURISM_POLICY_EVENT,2025 코리아그랜드세일,2025-01-15,2025-02-28,Korea,"WHEN,SPEND,SEARCH",INTERVENTION_EXPOSURE,official,https://www.mcst.go.kr/site/s_notice/news/newsView.jsp?pRo=78&pSeq=5786,"1월15일~2월28일 개최; 순효과는 별도 검증"
EVT-017,CONTENT_EXPOSURE,오징어 게임 시즌3 공개,2025-06-27,2025-06-27,Global,"WHY,SEARCH",EXPOSURE_ONLY,official_company,https://www.netflix.com/tudum/articles/squid-game-season-3-plot-release-date-news,"콘텐츠 공개와 방한 전환 인과는 별도 검증"
EVT-018,ENTRY_VISA,K-ETA 한시 면제 2026년 연장,2026-01-01,2026-12-31,Korea,"WHEN,ORIGIN_TOP15",POLICY_REGIME,official,https://www.k-eta.go.kr/portal/board/viewboarddetail.do?bbsSn=299707&locale=EN,"2025-12-23 공지; 2026-12-31까지 연장"
