capability,best_reference,current_public_reproducibility,strategic_differentiation,recommendation,rationale
Official inbound backbone,KTO_DataLab,HIGH,LOW,CONNECT,"Use authoritative Korean statistics/surveys as calibration backbone"
Origin outbound backbone,Origin-country government statistics,HIGH,MEDIUM,CONNECT,"Do not recreate national statistics; normalize/crosswalk them"
Air schedules/capacity/search/bookings,ForwardKeys_Amadeus,LOW,LOW,BUY_OR_CONNECT,"Specialist proprietary coverage has higher value than rebuilding aviation sensor"
Hotel OTB/pacing,Amadeus_Demand360,LOW,LOW,BUY_OR_CONNECT,"Forward hotel reservation sensor is specialist infrastructure"
STR supply/occupancy/ADR/revenue,AirDNA,MEDIUM,LOW,BUY_CONNECT_BENCHMARK,"Public methods can guide definitions; broad clean global feed is costly to rebuild"
Destination multi-sensor fusion,Mabrian_DataAppeal,MEDIUM,HIGH,BUILD,"Sensor categories are benchmarkable but Korea Tour canonical graph is core IP"
Review/social perception,DataAppeal_Mabrian_platforms,MEDIUM,MEDIUM,CONNECT_PLUS_BUILD,"Connect public/platform signals; build our canonical taxonomy and cross-validation"
Spend/card transactions,BC_Card_and_payment_partners,LOW,MEDIUM,BUY_OR_CONNECT,"Transaction coverage is proprietary; canonical spend decomposition remains ours"
Human motive latent layer,Academic_official_search_social_proxies,MEDIUM,HIGH,BUILD,"Core differentiator requires transparent proxy/inference status and validation"
Origin-country mirror,Government_stats_plus_platforms,HIGH,HIGH,BUILD_ON_CONNECT,"Sources are external; canonical mirrored schema and cross-country comparability are ours"
Competitive destination mirror,Official_destination_stats_plus_commercial,HIGH,HIGH,BUILD,"Apply same measurement ontology to Korea and substitutes"
Failure journey,No_complete_benchmark,LOW,VERY_HIGH,BUILD_AND_GROUND,"Attempted-but-failed and abandoned transitions are major proprietary-data target"
Real Sellable Supply,AirDNA_state_logic_plus_ground,MEDIUM,VERY_HIGH,BUILD_AND_GROUND,"Registered supply is not foreigner-usable/bookable/payable/willing/capacity-ready supply"
Supplier willingness/capacity,Ground_interviews,LOW,VERY_HIGH,GROUND,"Cannot be reliably inferred from web presence"
Cross-engine graph,Korea_Tour,LOW,VERY_HIGH,BUILD,"Primary integration and explanation layer"
Gap_Island_Bottleneck,Korea_Tour,LOW,VERY_HIGH,BUILD,"Derived from cross-sensor state transitions and missing links"
Revalue engine,Korea_Tour_plus_comparable_methods,LOW,VERY_HIGH,BUILD,"Recombination and value-up is core commercial differentiation"
Opportunity reasoning,Korea_Tour,LOW,VERY_HIGH,BUILD,"Keep explainable and evidence-linked; no fixed KTOF weights before validation"
