node_id,stage,domain,actor,traveler_job,current_solution,dominant_platform,data_owner,information_asymmetry,island_type,bottleneck_type,customer_pain,supplier_pain,monetization_opportunity,regulatory_risk,evidence_level,confidence,status
VC-001,Inspiration,content,traveler,한국 여행 아이디어 발견,SNS/검색/영상,YouTube|Instagram|TikTok|Google,platforms,콘텐츠 인기와 실제 여행 적합성/예약가능성이 분리됨,Data Island,Discovery fragmentation,정보 과잉·상업성 판별 어려움,소규모 공급자는 노출 경쟁 어려움,curation|affiliate|personalization,low,L2,medium,ACTIVE
VC-002,Search,discovery,traveler,가고 싶은 장소/상품 검색,검색엔진/OTA/공식사이트,Google|Naver|Booking|Klook,multiple,영어 정보량·최신성이 한국어 원문보다 낮을 수 있음,Data Island,Information fragmentation,여러 앱/사이트를 오가야 함,상품정보 중복관리,metasearch|verified content,low,L2,medium,ACTIVE
VC-003,Trust,reputation,traveler,품질과 진짜 후기 확인,별점/리뷰/사진,Google|Booking|Agoda|Trip.com,platforms,플랫폼별 평점·표본·시설정보 불일치,Trust Island,Trust gap,어느 평점을 믿을지 불명확,공급자는 평판이 여러 플랫폼에 분산,review aggregation|verification,medium,L2,high,ACTIVE
VC-004,Plan,planning,traveler,일정·거리·시간 조합,지도/블로그/AI/OTA,Google|Naver|Kakao|ChatGPT,multiple,장소 정보와 이동시간·예약시간·영업시간이 통합되지 않음,Navigation Island,Planning friction,일정 충돌·과도한 검색시간,공급자 간 연계판매 어려움,journey builder|concierge,low,L3,high,ACTIVE
VC-005,Bundle,bundling,traveler,숙박·체험·식사·교통 묶기,개별 OTA/여행사,Klook|KKday|Viator|travel agencies,platforms,단품 재고·정책이 서로 연결되지 않음,Booking Island,Bundle fragmentation,개별 예약 반복·취소정책 분산,교차판매 기회 상실,package margin|commission,high,L3,high,ACTIVE
VC-006,Book,booking,traveler,예약 확정,OTA/공급자 직접예약,Booking|Agoda|Trip.com|Klook|KKday,platforms/providers,실시간 가용성·확정방식·취소조건의 차이,Booking Island,Inventory fragmentation,예약확정 불안·중복예약 위험,소규모 공급자의 글로벌 예약시스템 부족,booking commission|SaaS,medium,L2,high,ACTIVE
VC-007,Pay,payment,traveler,해외카드/모바일로 결제,OTA/PG/현장결제,global card networks|PG,providers/PG,최종가격·FX·수수료·결제가능수단 정보 분산,Payment Island,Payment friction,결제 실패·추가 수수료 불안,해외결제 도입비용·정산복잡성,PG margin|FX|prepayment,high,L2,high,ACTIVE
VC-008,Arrival,connectivity,traveler,도착 즉시 인터넷 연결,eSIM/SIM/roaming,telecom|eSIM platforms,telecoms,통신상품 비교·설정·수령정보 분산,Supply Island,Connectivity setup,도착 직후 연결 실패 위험,관광상품과 통신상품 교차판매 부족,affiliate|bundle,medium,L1,medium,ACTIVE
VC-009,Navigation,map,traveler,정확한 위치와 길찾기,지도앱,Google Maps|Naver Map|Kakao Map,map platforms,검색·리뷰와 한국 내 길찾기 기능이 한 앱에서 완결되지 않는 경우 존재,Navigation Island,Map fragmentation,앱 전환·주소 번역·대중교통 혼란,공급자는 외국인용 길찾기 안내를 별도 제작,embedded navigation|concierge,low,L2,high,ACTIVE
VC-010,Transport,local_transport,traveler,대중교통/택시 이용,교통카드/철도/택시앱,T-money|Korail|Kakao T|Uber,operators,요금·환승·카드구매·막차·수하물 정보가 서비스별 분산,Transport Island,Transport fragmentation,도착 후 학습비용 큼,관광상품과 door-to-door 이동 분리,transfer commission|mobility bundle,medium,L2,medium,ACTIVE
VC-011,Stay,accommodation,traveler,숙소 선택·예약·체크인,OTA/직접예약,Booking|Agoda|Trip.com|Airbnb,providers/OTA,시설·객실·체크인·온돌/침대·짐보관 정보 불균일,Trust Island,Product standardization,실제 시설과 기대 차이,소형숙소 다국어 운영 부담,commission|verified stay,high,L2,high,ACTIVE
VC-012,Experience,culture,traveler,문화/체험 구매,체험 OTA/직접문의,Klook|KKday|Trazy|Viator,providers/OTA,소형 공급자의 언어·재고·취소정책·품질정보 부족,Supply Island,Distribution gap,좋은 체험 발견 어려움,글로벌 유통/CS 능력 부족,experience commission|bundle,medium,L2,high,ACTIVE
VC-013,Food,food,traveler,식당 발견·예약·메뉴 이해,지도/리뷰/예약,Google|Naver|Catchtable,restaurants/platforms,영어 메뉴·알레르기·예약가능성·대기시간 정보 부족,Language Island,Food information gap,주문·식단·예약 마찰,외국인 응대/메뉴 번역 부담,reservation|curation|food journey,medium,L2,medium,ACTIVE
VC-014,Shopping,retail,traveler,상품 발견·가격/면세 확인,백화점/로드숍/면세점/플랫폼,retailers,제품정보·면세·재고·해외배송·정품 여부 정보 분산,Commerce Island,Post-purchase friction,비교·배송·A/S 불확실,여행 후 고객관계 단절,commerce|cross-border resale,medium,L2,medium,ACTIVE
VC-015,Beauty,beauty,traveler,K-Beauty 구매/체험,매장/클리닉/예약플랫폼,retail|clinics|platforms,제품·시술·가격·전문성·후기 정보 비대칭,Trust Island,Quality/price opacity,과잉선택·가격 불확실,외국어 상담/예약 부담,booking|commerce|lead fee,high,L3,medium,ACTIVE
VC-016,Wellness,medical_wellness,traveler,한방/웰니스/의료 경험,병원/한의원/유치업자/플랫폼,Medical Korea|providers,providers/regulators,의료/비의료 경계·가격·자격·사후관리 정보 복잡,Regulatory Island,Regulatory/trust bottleneck,안전·가격·의사소통 불안,규제준수·외국어·사후관리 비용,registered referral|wellness bundle,very_high,L1,high,ACTIVE
VC-017,Language,translation,traveler,정보 이해·현장 의사소통,번역앱/직원/Papago,Google Translate|Papago,platforms/providers,번역은 가능하지만 맥락·서비스정책·의료/식품 용어 정확성 차이,Language Island,Language friction,앱 전환·오해 가능성,다국어 콘텐츠 유지비용,AI concierge|translation layer,medium,L2,high,ACTIVE
VC-018,Support,customer_support,traveler,변경·취소·문제해결,OTA CS/공급자/관광안내,OTA|1330|providers,multiple,책임주체가 예약/결제/현장 공급자로 분산,Support Island,Responsibility fragmentation,문제 발생 시 어디에 연락할지 불명확,공급자 CS 비용·분쟁,service fee|premium concierge,high,L3,high,ACTIVE
VC-019,Review,post_trip,traveler,후기 공유,OTA/Google/SNS,Google|Booking|Instagram|TikTok,platforms,후기가 플랫폼별로 분산되고 여행목적별 적합도 정보 부족,Data Island,Feedback fragmentation,후기 비교비용,공급자는 고객인사이트 통합 어려움,review intelligence|reputation SaaS,low,L2,medium,ACTIVE
