country,public_card_spend_level,outbound_destination_grain,inbound_foreign_card_grain,time_grain,transaction_count,amount,channel_split,industry_split,region_split,official_source_status,main_limit,next_action
Japan,medium,weak,weak,periodic,partial,partial,weak,weak,weak,VERIFIED_METHOD_ONLY,"BoJ travel account includes card use but raw card panel not confirmed","search JCB/statistical association/commercial issuer datasets; do not treat BOP as raw card data"
China,low,weak,weak,irregular_report,partial,partial,partial,partial,weak,REPORTS_ONLY,"UnionPay reports exist but continuous public raw panel not verified","classify PBOC/UnionPay public vs commercial datasets; preserve report-only status"
Taiwan,very_high,strong,strong,"monthly_since_2014",yes,yes,partial,strong,strong,VERIFIED_RAW_SCHEMA_LICENSE,"inbound industry buckets are broad; outbound destination panel is monthly top-10 and may include ecommerce; foreign cardholder is not nationality","official dataset IDs 33457/33458/63030 and license/schema verified; bulk row download + immutable raw preservation pending"
United States,low,weak,weak,unknown,unknown,unknown,unknown,unknown,unknown,NOT_VERIFIED_REQUIRED_GRAIN,"official travel spending exists but target card panel not verified","search BEA/NTTO/large-card public partnerships; keep separate from travel survey"
Hong Kong,high,medium,weak,quarterly,yes,yes,domestic_vs_overseas,no,no,VERIFIED_STRONG_PUBLIC,"overseas total lacks destination-country and industry in confirmed series","bulk ingest quarterly HKMA payment-card releases; seek destination breakdown separately"
Philippines,low,weak,weak,unknown,unknown,unknown,unknown,unknown,unknown,REGULATION_CONTEXT_ONLY,"payment-card regulatory definitions verified; tourism card panel not found","search BSP payment statistics/open data and acquirer reports"
Vietnam,low,weak,weak,unknown,unknown,unknown,unknown,unknown,unknown,NOT_VERIFIED_REQUIRED_GRAIN,"no target-grain official series verified","search SBV/NAPAS official payment statistics; retain unknown"
Singapore,low,weak,weak,unknown,unknown,unknown,unknown,unknown,unknown,NOT_VERIFIED_REQUIRED_GRAIN,"no target-grain official series verified","search MAS payments statistics and local network reports"
Indonesia,low,weak,weak,unknown,unknown,unknown,unknown,unknown,unknown,NOT_VERIFIED_REQUIRED_GRAIN,"no target-grain official series verified","search BI payment card tables and BPS tourism payment questions"
Thailand,very_high,medium,high,monthly,yes,yes,strong,no,no,VERIFIED_STRONG_PUBLIC,"foreign merchant online payments mixed with physical travel; no origin-country split in confirmed table","bulk ingest BOT PS_PT_016/017 from 2016-present; connect to tourism totals separately"
Malaysia,high,weak,weak,monthly,yes,yes,domestic_vs_abroad,no,no,VERIFIED_STRONG_PUBLIC,"abroad includes online and offline foreign merchants","bulk ingest BNM tables 1.30 and 1.30.1; verify credit-card field dictionary"
Canada,low,weak,weak,unknown,unknown,unknown,unknown,unknown,unknown,NOT_VERIFIED_REQUIRED_GRAIN,"official travel spend exists but target card panel not verified","search Statistics Canada payment-data partnerships and commercial sources"
Australia,medium,weak,weak,monthly_or_quarterly,yes,yes,card_type,strong_fee_only,no,VERIFIED_CONTEXT,"strong retail-payment and international-card fee data but not destination tourism card panel","ingest RBA card totals and fee series as payment/money-flow context; do not label outbound tourism spend"
Russia,high,weak,medium,periodic,yes,yes,in_vs_outside,no,no,VERIFIED_STRONG_PUBLIC_WITH_BREAK,"March 2022 structural break; Visa/Mastercard Russian-issued cross-border ceased","ingest Bank of Russia NPS series with explicit regime break"
United Kingdom,high,strong,medium,2019_2025_analysis,yes,yes,online_vs_face_to_face,merchant_category,UK_nation_for_inbound,VERIFIED_PUBLIC_ANALYSIS,"Visa-only; online foreign merchant spend can be non-travel","extract country/channel panels from ONS-Visa analyses and tag coverage"
