survey_year,evidence_dimension,canonical_axis,official_source,source_type,provenance,period,geography,definition,unit,sample,methodology,limitations,license,confidence,status,notes
2018,achieved_sample,SAMPLE,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,공식 2018 외래관광객 실태조사 조사규모,respondents,16469,"annual survey; approximately 1372 respondents per month","page provides approximate monthly scale, not exact month-by-month achieved counts",UNKNOWN,HIGH,VERIFIED,"Distinguish achieved sample 16,469 from design expansion reference 13,841→16,000"
2018,design_sample_expansion,SAMPLE,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,몽골관광객 추가와 함께 전체 표본수 확대,design respondents,16000,"design-history statement: 13,841→16,000","16,000 is the stated design expansion level; do not substitute for achieved 16,469",UNKNOWN,HIGH,VERIFIED_DESIGN_TARGET,"Planned/design scale and achieved sample are different quantities, not a contradiction"
2018,target_country_frame,WHO,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,몽골관광객 신규 추가,category frame,UNKNOWN,"country-frame expansion documented","full 2018 country list/code mapping not extracted from this source",UNKNOWN,HIGH,REGIME_BREAK_VERIFIED,"Do not infer full country codebook from this history statement"
2018,population_exclusion,WHO,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,기존 교포·승무원 외 크루즈 여행객 추가 제외,eligibility rule,16469,"survey population definition changed in 2018","exact operational screening question/code and denominator impact UNKNOWN",UNKNOWN,HIGH,REGIME_BREAK_VERIFIED,"Cruise travelers newly excluded in addition to overseas Koreans and crew"
2018,sample_allocation,SAMPLE,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,"표본할당: 국가별·월별·입국경로별·성별에 연령별 할당 추가",allocation dimensions,16469,"quota/allocation design expanded to include age","cell targets, achieved cell counts, weighting/calibration relationship and zero-cell handling UNKNOWN",UNKNOWN,HIGH,REGIME_BREAK_VERIFIED,"Do not treat allocation dimensions as verified weight-calibration dimensions"
2018,fieldwork_site_frame,WHERE,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,인천국제공항 제2여객터미널 조사장소 추가,fieldwork site,16469,"site frame expanded in 2018","complete site list and site-level sample counts not provided on this page",UNKNOWN,HIGH,REGIME_BREAK_VERIFIED,"Site-frame comparability with 2017 requires explicit site mapping"
2018,stay_eligibility,STAY,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,조사대상자 체류기간 기준 1년 이하에서 90일 이하로 축소,days,16469,"eligibility criterion changed","lower-bound stay criterion and operational coding/filter are not stated on this page",UNKNOWN,HIGH,REGIME_BREAK_VERIFIED,"Major comparability break; do not pool pre-2018 stay-eligible population mechanically"
2018,publication_cadence,WHEN,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,연간 1회 확정치 공표에서 분기별 잠정치 추가 공표,annual plus quarterly provisional publication,16469,"publication regime expanded","provisional revision policy and exact release calendar UNKNOWN",UNKNOWN,HIGH,REGIME_BREAK_VERIFIED,"Quarterly provisional results are not automatically equivalent to annual final values"
2018,survey_mode,METHOD,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,자기기입식 또는 현장 대면 문답식,mixed paper self-admin/interviewer-assisted,16469,"respondent writes paper questionnaire directly or on-site face-to-face Q&A","mode share by country/month/site and interviewer assignment UNKNOWN",UNKNOWN,HIGH,VERIFIED,"Preserve mixed-mode possibility when evaluating response comparability"
2018,questionnaire_languages,METHOD,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,"영어·일어·중어간체·중어번체·태국어·독어·불어·러시아어·필리핀어·베트남어·인도네시아어·몽골어 등 총 12종 중 1개 사용",questionnaire language version,16469,"language selected according to respondent language area","the page says '등 총 12종'; exact exhaustive 12-language list/version-control details are not independently verified",UNKNOWN,MEDIUM,PARTIAL_LIST_VERIFIED,"Do not invent omitted language/version details"
2018,questionnaire_scope,AXIS_COVERAGE,https://academy.visitkorea.or.kr/notice/bbs/detail.do?seq=1034,Tier-A official KTO publication page,한국관광공사 관광전문인력포털,2018,Korea inbound foreign visitors,"official topic inventory includes repeat visits; companions; pre/post countries; decision process; purpose; selection factors; pre-trip information; booking timing; in-trip information; activities; 17-province visited regions; regional stay; total stay; memorable place; accommodation; shopping; travel type; expenditure/payment; satisfaction; revisit/recommendation; image; smartphone",topic inventory,16469,"official survey-scope description","topic existence does not establish raw variable names, code values, skip/universe, missing codes or longitudinal equivalence",UNKNOWN,HIGH,TOPIC_COVERAGE_VERIFIED,"Field-level extraction from same-year codebook/questionnaire remains required"
