survey_year,canonical_variable,canonical_axis,source_id,official_source,source_class,source_priority,owner_publisher,source_type,period,geography,population_sample,measurement_type,definition,unit,methodology_regime,sample_size,raw_variable,code_values,universe_filter,missing_codes,license,limitations,comparability_status,confidence,status
2013,survey_month,TIME,KORC-FTS-001-2013-CODEBOOK-MONTH,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14092&cbIdx=1127&streFileNm=f0cfd13a-6235-11e8-9868-892a614a29fd.pdf,O,Tier-A,한국관광공사 한국관광 데이터랩,official same-year codebook,2013,Korea inbound foreign visitors,"2013년 1~12월 출국 외래객; official report notice says 12,030 respondents across Incheon/Gimpo/Jeju/Gimhae airports and Incheon/Busan ports",SURVEY,"조사기간별(월)",month,2013 year-specific questionnaire/codebook,12030,chasu,"1 1월;2 2월;3 3월;4 4월;5 5월;6 6월;7 7월;8 8월;9 9월;10 10월;11 11월;12 12월",UNKNOWN,UNKNOWN,UNKNOWN,"Respondent raw rows not ingested; exact monthly realized n and fieldwork dates are not extracted here.",YEAR_SPECIFIC_FIELD_VERIFIED,HIGH,FIELD_LEVEL_VERIFIED_UNIVERSE_PENDING
2013,residence_country,WHO,KORC-FTS-001-2013-CODEBOOK-NAT,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14092&cbIdx=1127&streFileNm=f0cfd13a-6235-11e8-9868-892a614a29fd.pdf,O,Tier-A,한국관광공사 한국관광 데이터랩,official same-year codebook,2013,Korea inbound foreign visitors,UNKNOWN,SURVEY,거주국별,category,2013 year-specific questionnaire/codebook,12030,nat,"1 일본;2 중국;3 홍콩;4 싱가포르;5 대만;6 태국;7 말레이시아;8 호주;9 미국;10 캐나다;11 영국;12 독일;13 프랑스;14 러시아;15 중동;16 인도;97 기타",UNKNOWN,UNKNOWN,UNKNOWN,"Country frame is year-specific. Do not apply later country/region classifications without explicit crosswalk.",YEAR_SPECIFIC_COUNTRY_FRAME,HIGH,FIELD_LEVEL_VERIFIED_UNIVERSE_PENDING
2013,residence_city,WHO,KORC-FTS-001-2013-CODEBOOK-CITY,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14092&cbIdx=1127&streFileNm=f0cfd13a-6235-11e8-9868-892a614a29fd.pdf,O,Tier-A,한국관광공사 한국관광 데이터랩,official same-year codebook,2013,Korea inbound foreign visitors,UNKNOWN,SURVEY,"거주도시; codebook explicitly says separate country/city file",category,2013 year-specific questionnaire/codebook,12030,city,"Separate same-year country/city codebook published; visible examples include country-specific 4-digit city codes",UNKNOWN,UNKNOWN,UNKNOWN,"Full city-code domain not transcribed in this narrow evidence file; official registry separately lists '2013년 외래관광객 실태조사 코드북_국가 및 도시' PDF.",SAME_YEAR_SEPARATE_CITY_CODEBOOK_VERIFIED,HIGH,ARTIFACT_VERIFIED_FULL_MAPPING_PENDING
2013,travel_type,BOOK_PAY,KORC-FTS-001-2013-CODEBOOK-TRAVELTYPE,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14092&cbIdx=1127&streFileNm=f0cfd13a-6235-11e8-9868-892a614a29fd.pdf,O,Tier-A,한국관광공사 한국관광 데이터랩,official same-year codebook,2013,Korea inbound foreign visitors,UNKNOWN,SURVEY,문1 여행 형태,category,2013 year-specific questionnaire/codebook,12030,q1,"1 개별여행;2 단체여행;3 Air-tel Tour;9 모름/무응답",UNKNOWN,"9 don't know/nonresponse",UNKNOWN,"Exact questionnaire skip logic and denominator are not independently verified.",YEAR_SPECIFIC_FIELD_VERIFIED,HIGH,FIELD_LEVEL_VERIFIED_UNIVERSE_PENDING
2013,repeat_visit_recent_3y,WHO,KORC-FTS-001-2013-CODEBOOK-REPEAT,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14092&cbIdx=1127&streFileNm=f0cfd13a-6235-11e8-9868-892a614a29fd.pdf,O,Tier-A,한국관광공사 한국관광 데이터랩,official same-year codebook,2013,Korea inbound foreign visitors,UNKNOWN,SURVEY,"문2-2 최근 3년간 한국방문 횟수",visit-count category,2013 year-specific questionnaire/codebook,12030,"q2b;wq2b","q2b: 1 1회;2 2회;3 3회;4 4회이상;9 모름/무응답; wq2b: 원자료",UNKNOWN,"9 don't know/nonresponse",UNKNOWN,"This is explicitly a recent-3-year basis and must not be equated with later lifetime visit-count regimes without a break flag.",RECENT_3_YEAR_VISIT_BASIS,HIGH,FIELD_LEVEL_VERIFIED_UNIVERSE_PENDING
2013,information_source,SEARCH,KORC-FTS-001-2013-CODEBOOK-INFO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14092&cbIdx=1127&streFileNm=f0cfd13a-6235-11e8-9868-892a614a29fd.pdf,O,Tier-A,한국관광공사 한국관광 데이터랩,official same-year codebook,2013,Korea inbound foreign visitors,UNKNOWN,SURVEY,"문8 여행 정보 입수 경로 1~3순위",ranked category,2013 year-specific questionnaire/codebook,12030,"q8a1;q8a2;q8a3","1 여행사;2 친지·친구·동료;3 인터넷;4 관광안내서적;5 보도;6 한국기관;7 항공사·호텔;9 정보를 얻지 않았다;97 기타;99 모름/무응답",UNKNOWN,"99 don't know/nonresponse",UNKNOWN,"Visible official codebook text is sufficient for field/codes but not full routing or denominator mechanics.",YEAR_SPECIFIC_FIELD_FRAME,HIGH,FIELD_LEVEL_VERIFIED_UNIVERSE_PENDING
2013,accommodation_type,STAY,KORC-FTS-001-2013-CODEBOOK-ACCOM,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14092&cbIdx=1127&streFileNm=f0cfd13a-6235-11e8-9868-892a614a29fd.pdf,O,Tier-A,한국관광공사 한국관광 데이터랩,official same-year codebook,2013,Korea inbound foreign visitors,UNKNOWN,SURVEY,"문10 숙박시설 family",category / multiple response,2013 year-specific questionnaire/codebook,12030,"q10a1;q10a2;q10a3;q10a4;q10a5;q10a6;q10a7","1 호텔;2 유스호스텔·게스트하우스·여관·모텔;3 콘도·펜션·레지던스인;4 친척 또는 친구 집;5 학교·회사 기숙사·연수원;6 사찰;7 기타;99 무응답",UNKNOWN,"99 nonresponse",UNKNOWN,"Exact multiple-response encoding and denominator not verified from raw rows.",YEAR_SPECIFIC_FIELD_FRAME,HIGH,FIELD_LEVEL_VERIFIED_UNIVERSE_PENDING
2013,visited_places,WHERE,KORC-FTS-001-2013-CODEBOOK-VISITPLACE,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14092&cbIdx=1127&streFileNm=f0cfd13a-6235-11e8-9868-892a614a29fd.pdf,O,Tier-A,한국관광공사 한국관광 데이터랩,official same-year codebook,2013,Korea inbound foreign visitors,UNKNOWN,SURVEY,"문11 한국여행 방문지; official history states some response options changed in 2013",category / multiple response,2013 year-specific questionnaire/codebook,12030,"q11a1~q11a27;q11b1~q11b27","Same-year codebook contains detailed visit-place code frame; examples include Seoul/Incheon-Gyeonggi and 지방 blocks",UNKNOWN,UNKNOWN,UNKNOWN,"Full code domain is extensive and not reproduced here. Official survey history explicitly marks a 2013 visit-place option change; adjacent-year place equivalence must not be inferred.",REGIME_BREAK_2013_VISIT_PLACE_OPTIONS_CHANGED,HIGH,FIELD_FAMILY_AND_BREAK_VERIFIED_FULL_CODES_PENDING
2013,revisit_intention,REPEAT,KORC-FTS-001-2013-CODEBOOK-REVISIT,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14092&cbIdx=1127&streFileNm=f0cfd13a-6235-11e8-9868-892a614a29fd.pdf,O,Tier-A,한국관광공사 한국관광 데이터랩,official same-year codebook,2013,Korea inbound foreign visitors,UNKNOWN,SURVEY,"문19 3년 내 재방문 의사",5-point scale,2013 year-specific questionnaire/codebook,12030,q19,"1 전혀 그렇지 않다;2 그렇지 않다;3 보통;4 그렇다;5 매우 그렇다;8 해당 없음;9 모름/무응답",UNKNOWN,"8 not applicable;9 don't know/nonresponse",UNKNOWN,"Exact universe/filter not independently verified.",THREE_YEAR_REVISIT_INTENTION,HIGH,FIELD_LEVEL_VERIFIED_UNIVERSE_PENDING
2013,recommendation_intention,RECOMMEND,KORC-FTS-001-2013-CODEBOOK-RECOMMEND,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14092&cbIdx=1127&streFileNm=f0cfd13a-6235-11e8-9868-892a614a29fd.pdf,O,Tier-A,한국관광공사 한국관광 데이터랩,official same-year codebook,2013,Korea inbound foreign visitors,UNKNOWN,SURVEY,"문20 한국 여행 추천 의사",5-point scale,2013 year-specific questionnaire/codebook,12030,q20,"1 전혀 그렇지 않다;2 그렇지 않다;3 보통;4 그렇다;5 매우 그렇다;8 해당 없음;9 모름/무응답",UNKNOWN,"8 not applicable;9 don't know/nonresponse",UNKNOWN,"Shared response frame is shown in the same-year codebook block for q19-q21; raw rows not ingested.",YEAR_SPECIFIC_FIELD_VERIFIED,HIGH,FIELD_LEVEL_VERIFIED_UNIVERSE_PENDING
