dimension,primary_source_class,priority_sources,secondary_sources,canonical_measure,critical_definition_rule
ARRIVALS,O,"KTO; JNTO; Taiwan Tourism Administration; Thailand MOTS CKAN; SingStat/STB; VNAT; HKTB","E: ForwardKeys/Amadeus","origin_residence_or_nationality x destination x month arrivals","retain native visitor definition before harmonization"
DESTINATION_SHARE,O,"origin-country outbound official + destination inbound official","E: GDS/OTA/search","comparable trips to destination / comparable total outbound trips","denominator must match trip/border-crossing definition"
AIR_ACCESS,E+O,"airport/aviation authorities; airline schedules; ForwardKeys/Amadeus","R: aviation studies","direct seats/routes/frequency/transfer burden","seat capacity != passenger demand"
AIRFARE,E,"airline/GDS/OTA observed fares","O: CPI/transport indices","fare distribution by origin-destination-date","quoted fare != paid fare"
VISA,O,"destination immigration/foreign ministry","E: airline/OTA visa guidance for UX only","entry eligibility, process, fee, lead time","policy must be effective-date versioned"
STAY_LENGTH,O,"KTO survey; JNTO visitor survey; Taiwan stats; SingStat","E: OTA stay data","LOS distribution/average by origin","mean != distribution"
SPEND,O+E,"official visitor surveys; card networks","R: tourism satellite/account research","spend per trip/per day/by category","survey spend != card-observed spend"
ACTIVITY_MIX,O+E,"official visitor surveys; OTA activity platforms","S: reviews/social","activity participation by origin","interest != purchase != participation"
SATISFACTION_REVISIT,O+S,"official visitor surveys","E: verified reviews","satisfaction/recommend/revisit intention","revisit intent != repeat arrival"
SEARCH,E,"Google Trends/OTA search/enterprise travel-interest reports","O: potential traveler survey","relative search interest by origin-destination-time","index != absolute volume"
HOTEL_PRICE,E,"OTA/hotel/Lighthouse/AirDNA where applicable","O: hotel statistics","ADR/quoted inventory by comparable dates","listed price != realized ADR"
EXPERIENCE_SUPPLY,E+O,"TourAPI/destination official POI + Klook/Viator/GetYourGuide/etc","G: supplier validation","discoverable/bookable experience count","registered supply != sellable supply"
PAYMENT_ACCESS,O+E,"official payment/transport operators; card/PG/platform docs","S: traveler VOC","foreign-card/QR/top-up/payment path usability","acceptance claim != successful transaction rate"
MOBILITY_USABILITY,O+E,"transport operators/DMOs/maps/mobility platforms","S: traveler VOC","discoverable->understandable->payable->boardable path","network availability != foreigner usability"
SEASONALITY,O,"monthly destination arrivals","E: search/booking","origin x destination x month seasonal profile","shock/regime must be separated from seasonality"
SOCIAL_PERCEPTION,S,"Reddit/reviews/social by origin language","O/R triangulation","comparative pain/value/authenticity/safety/language themes","VOC frequency is not population prevalence"
CAUSAL_COMPETITIVENESS,R+DERIVE,"choice/substitution literature + panel evidence","O/E panel","relative attraction after access/price/policy controls","correlation does not establish substitution"
