survey_year,canonical_variable,canonical_axis,official_source,source_type,provenance,period,geography,definition_evidence,unit_evidence,sample,methodology,limitations,license,raw_variable,code_values,weight_variable,confidence,status
2010,survey_month,WHEN,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14089&cbIdx=1127&streFileNm=b4e95833-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩,2010,Korea inbound foreign visitors,"조사기간별(월)",month,UNKNOWN,year-specific respondent codebook,"raw rows not ingested; universe not independently extracted",UNKNOWN,chasu,"1:1월;2:2월;3:3월;4:4월;5:5월;6:6월;7:7월;8:8월;9:9월;10:10월;11:11월;12:12월",wt,HIGH,FIELD_LEVEL_VERIFIED
2010,residence_country,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14089&cbIdx=1127&streFileNm=b4e95833-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩,2010,Korea inbound foreign visitors,"거주국별",country code,UNKNOWN,year-specific respondent codebook,"year-specific code frame; do not silently map to later waves",UNKNOWN,nat,"1 일본;2 중국;3 홍콩;4 싱가포르;5 대만;6 태국;7 말레이시아;8 호주;9 미국;10 캐나다;11 영국;12 독일;13 프랑스;14 러시아;15 중동;16 인도;97 기타",wt,HIGH,FIELD_LEVEL_VERIFIED
2010,residence_city,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14089&cbIdx=1127&streFileNm=b4e95833-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩,2010,Korea inbound foreign visitors,"거주도시; 별도 국가/도시 코드북 제공",city code,UNKNOWN,year-specific respondent codebook,"complete code frame delegated to separate same-year country/city codebook",UNKNOWN,city,"separate official country/city codebook",wt,HIGH,FIELD_LEVEL_VERIFIED_CODE_FRAME_SEPARATE
2010,sex,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14089&cbIdx=1127&streFileNm=b4e95833-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩,2010,Korea inbound foreign visitors,성별,category,UNKNOWN,year-specific respondent codebook,universe not independently extracted,UNKNOWN,sex,"1 남성;2 여성;9 무응답",wt,HIGH,FIELD_LEVEL_VERIFIED
2010,age,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14089&cbIdx=1127&streFileNm=b4e95833-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩,2010,Korea inbound foreign visitors,연령별,age band,UNKNOWN,year-specific respondent codebook,"survey-specific bands; do not silently recode",UNKNOWN,dd2,"0 15~20세;1 21~30세;2 31~40세;3 41~50세;4 51~60세;5 61세 이상;9 모름/무응답",wt,HIGH,FIELD_LEVEL_VERIFIED
2010,travel_type,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14089&cbIdx=1127&streFileNm=b4e95833-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩,2010,Korea inbound foreign visitors,"문1 여행 형태",category,UNKNOWN,year-specific respondent codebook,"exact questionnaire universe not independently extracted",UNKNOWN,dd11,"1 개별여행;2 단체여행;3 Air-tel Tour;9 모름/무응답",wt,HIGH,FIELD_LEVEL_VERIFIED
2010,repeat_visit_recent3y,BEHAVIOR,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14089&cbIdx=1127&streFileNm=b4e95833-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩,2010,Korea inbound foreign visitors,"문1-1 최근 3년간 한국방문 횟수",count category,UNKNOWN,year-specific respondent codebook,"definition is explicitly recent 3 years and must not be equated to later unrestricted repeat-visit measures",UNKNOWN,mq1a,"1 1회;2 2회;3 3회;4 4회이상;9 모름/무응답",wt,HIGH,FIELD_LEVEL_VERIFIED_DEFINITION_BOUND
2010,visit_purpose,WHY,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14089&cbIdx=1127&streFileNm=b4e95833-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩,2010,Korea inbound foreign visitors,"문2 한국 방문 목적",category,UNKNOWN,year-specific respondent codebook,"purpose categories are year-specific",UNKNOWN,q2,"1 여가/위락/개별휴가;2 친구/친지 방문;3 사업 또는 전문활동;4 건강 및 치료;5 종교 및 순례;6 기타",wt,HIGH,FIELD_LEVEL_VERIFIED
2010,destination_selection,WHY,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14089&cbIdx=1127&streFileNm=b4e95833-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩,2010,Korea inbound foreign visitors,"문2-2 여행 목적지 선정과정",category,UNKNOWN,year-specific respondent codebook,"universe/filter pending same-year questionnaire check",UNKNOWN,q2b,"1 처음부터 한국 선정;2 다른 국가와 비교 후 한국 선정;9 모름/무응답",wt,HIGH,FIELD_LEVEL_VERIFIED_UNIVERSE_PENDING
2010,alternative_countries,COMPETITIVE_DESTINATION,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14089&cbIdx=1127&streFileNm=b4e95833-6235-11e8-9868-892a614a29fd.pdf,official KTO/Korea Tourism Data Lab codebook,한국관광공사 한국관광 데이터랩,2010,Korea inbound foreign visitors,"문2-2 한국과 함께 검토한 국가 1~3",country code/multiple response,UNKNOWN,year-specific respondent codebook,"conditional universe pending; country values delegated to separate same-year country/city codebook",UNKNOWN,"q2b1;q2b2;q2b3","separate official country/city codebook",wt,HIGH,FIELD_LEVEL_VERIFIED_UNIVERSE_PENDING
