survey_year,canonical_variable,canonical_axis,official_source,source_tier,provenance,period,geography,definition_evidence,unit_evidence,sample,methodology,universe_filter,limitations,license,raw_variable,code_values,weight_variable,sample_design,stay_criterion,expenditure_basis,missing_codes,comparability_status,regime_break,confidence,status
2017,survey_population,PROVENANCE,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,Tier-A,한국관광공사 공식 보도자료/2017 외래관광객 실태조사 주요결과,2017,Korea inbound foreign visitors,"조사대상은 만 15세 이상; 체류기간 1일 이상 1년 이하",persons,13841,"국제공항·항구에서 구조화된 설문지를 이용한 현장 대면 문답식 또는 자기기입식","한국 국적 외국인 제외; 국내 관광 없는 환승자 제외; 유니폼 착용 기장·승무원·군인 제외(사복+관광목적 예외); 가족 및 9인 이하 동반자 중 1명, 10명 이상은 성별·연령대를 달리해 최대 2명","official press release does not expose raw variable names, full weighting formula, strata/PSU, nonresponse adjustment or missing codes",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"19개국+기타; exact allocation/weighting formula UNKNOWN","1일 이상 1년 이하",UNKNOWN,UNKNOWN,METHODOLOGY_FIELD_LEVEL_VERIFIED,"2017 조사국가 19개국으로 확대; 대구·청주국제공항 조사장소 추가",HIGH,METHODOLOGY_VERIFIED
2017,sample_scope,WHO,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,Tier-A,한국관광공사 공식 보도자료/2017 외래관광객 실태조사 주요결과,2017,Korea inbound foreign visitors,"조사국가 일본·중국·홍콩·싱가포르·대만 등 방한 상위 19개국+기타; 2016년 16개국에서 베트남·인도네시아·필리핀 추가",persons,13841,"국제공항·항구 조사; 대구 및 청주국제공항 신규 추가",same as survey_population row,"country allocation and exact airport/port quotas not exposed",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1일 이상 1년 이하",UNKNOWN,UNKNOWN,SAMPLE_FRAME_BREAK_VERIFIED,"2016 12003명/16개국 -> 2017 13841명/19개국; 대구·청주국제공항 추가",HIGH,SAMPLE_FRAME_VERIFIED
2017,repeat_visit,WHO,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,Tier-A,한국관광공사 공식 보도자료/2017 외래관광객 실태조사 주요결과,2017,Korea inbound foreign visitors,"2회 이상 한국 방문 응답비율 53.3%; 세부 결과에 1회/2회/3회/4회 이상 범주 노출",percent,13841,"same survey","same survey population; exact question wording and time-window wording require questionnaire/codebook direct extraction","press-release table exposes categories/results but not raw variable name or missing-code scheme",UNKNOWN,UNKNOWN,"1회;2회;3회;4회 이상",UNKNOWN,UNKNOWN,"1일 이상 1년 이하",UNKNOWN,UNKNOWN,CONCEPT_AND_CATEGORY_VERIFIED,"do not infer raw variable or longitudinal equivalence solely from published label",HIGH,FIELD_CONTENT_VERIFIED_RAW_VARIABLE_PENDING
2017,travel_type,WHO,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,Tier-A,한국관광공사 공식 보도자료/2017 외래관광객 실태조사 주요결과,2017,Korea inbound foreign visitors,"개별여행 82.8%; official same-year results also expose 단체여행 and Air-tel Tour categories",percent,13841,"same survey",same survey population,"raw variable name, exact questionnaire wording, codes and missing values not exposed",UNKNOWN,UNKNOWN,"개별여행;단체여행;Air-tel Tour",UNKNOWN,UNKNOWN,"1일 이상 1년 이하",UNKNOWN,UNKNOWN,CONCEPT_AND_CATEGORY_VERIFIED,NONE_BEYOND_2017_SAMPLE_FRAME_BREAK,HIGH,FIELD_CONTENT_VERIFIED_RAW_VARIABLE_PENDING
2017,visit_purpose,WHY,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,Tier-A,한국관광공사 공식 보도자료/2017 외래관광객 실태조사 주요결과,2017,Korea inbound foreign visitors,"주요 방한목적 결과 노출: 여가/위락/개별휴가 51.9%, 사업/전문활동 19.0%, 쇼핑 11.3%, 친구/친지방문 10.0% 등",percent,13841,"same survey",same survey population,"full code frame and raw variable name require same-year questionnaire/codebook",UNKNOWN,UNKNOWN,"여가/위락/개별휴가;사업/전문활동;쇼핑;친구/친지방문;교육;뷰티/건강/치료;종교/순례;기타 (published result categories)",UNKNOWN,UNKNOWN,"1일 이상 1년 이하",UNKNOWN,UNKNOWN,CONCEPT_AND_PUBLISHED_CATEGORIES_VERIFIED,NONE_BEYOND_2017_SAMPLE_FRAME_BREAK,HIGH,FIELD_CONTENT_VERIFIED_RAW_VARIABLE_PENDING
2017,stay_length,STAY,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,Tier-A,한국관광공사 공식 보도자료/2017 외래관광객 실태조사 주요결과,2017,Korea inbound foreign visitors,"전체 평균 체재기간 7.0일",days,13841,"same survey",same survey population,"published average does not identify raw/category field, top-coding, missing treatment or weighting formula",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1일 이상 1년 이하",UNKNOWN,UNKNOWN,CONCEPT_UNIT_AND_ELIGIBILITY_VERIFIED,"same-year eligibility criterion directly verified",HIGH,FIELD_CONTENT_VERIFIED_RAW_VARIABLE_PENDING
2017,visited_regions,DO,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,Tier-A,한국관광공사 공식 보도자료/2017 외래관광객 실태조사 주요결과,2017,Korea inbound foreign visitors,"주요 방문지역은 중복응답으로 공표; 서울 78.8%, 경기 15.6%, 부산 15.1%",percent multiple response,13841,"same survey",same survey population,"raw variable series/place code frame and denominator treatment require codebook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1일 이상 1년 이하",UNKNOWN,UNKNOWN,CONCEPT_AND_MULTIPLE_RESPONSE_STATUS_VERIFIED,NONE_BEYOND_2017_SAMPLE_FRAME_BREAK,HIGH,FIELD_CONTENT_VERIFIED_RAW_VARIABLE_PENDING
2017,revisit_intent,AFTER,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,Tier-A,한국관광공사 공식 보도자료/2017 외래관광객 실태조사 주요결과,2017,Korea inbound foreign visitors,"향후 3년 내 관광 목적 재방문 의향 85.7%",percent published positive/intent result,13841,"same survey",same survey population,"exact response scale, positive-response aggregation rule and raw variable name UNKNOWN",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1일 이상 1년 이하",UNKNOWN,UNKNOWN,CONCEPT_TIME_HORIZON_VERIFIED,NONE_BEYOND_2017_SAMPLE_FRAME_BREAK,HIGH,FIELD_CONTENT_VERIFIED_SCALE_PENDING
2017,recommend_intent,AFTER,https://kto.visitkorea.or.kr/upload/flexer/upload/ktobiz/20180530/8ac287ef-639d-11e8-9868-892a614a29fd.hwp.files/Sections1.html,Tier-A,한국관광공사 공식 보도자료/2017 외래관광객 실태조사 주요결과,2017,Korea inbound foreign visitors,"타인 추천 의향 90.0%",percent published positive/intent result,13841,"same survey",same survey population,"exact response scale, positive-response aggregation rule and raw variable name UNKNOWN",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1일 이상 1년 이하",UNKNOWN,UNKNOWN,CONCEPT_VERIFIED,NONE_BEYOND_2017_SAMPLE_FRAME_BREAK,HIGH,FIELD_CONTENT_VERIFIED_SCALE_PENDING
2017,questionnaire_artifact,PROVENANCE,https://stat.tour.go.kr/stat/fQuestionnaireOfForeignerDis19Re.do,Tier-A,관광지식정보시스템 공식 설문지 registry,2017,Korea inbound foreign visitors,"2017년 외래관광객 실태조사 설문지 PDF listed; registered 2018-08-06",PDF artifact,UNKNOWN,official registry,UNKNOWN,"binary questionnaire not ingested in this evidence run",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1일 이상 1년 이하",UNKNOWN,UNKNOWN,ARTIFACT_VERIFIED,NONE,HIGH,QUESTIONNAIRE_ARTIFACT_VERIFIED
