year,inbound_tourism_arrivals,source_class,status,notes
2015,13231651,Korea Tourism Statistics,VERIFIED,"Official tourism-statistics series"
2016,17241823,Korea Tourism Statistics,VERIFIED,"Official tourism-statistics series"
2017,13335758,Korea Tourism Statistics,VERIFIED,"Official tourism-statistics series"
2018,15346879,Korea Tourism Statistics,VERIFIED,"Official tourism-statistics series"
2019,17502756,Korea Tourism Statistics,VERIFIED,"Pre-COVID peak baseline"
2020,2519118,Korea Tourism Statistics,VERIFIED,"COVID shock"
2021,967003,Korea Tourism Statistics,VERIFIED,"COVID shock"
2022,3198017,Korea Tourism Statistics,VERIFIED,"Reopening recovery"
2023,11031665,Korea Tourism Statistics,VERIFIED,"Recovery acceleration"
2024,16369629,Korea Tourism Statistics,VERIFIED,"93.5% of 2019 level"
2025,18936562,Korea Tourism Statistics,VERIFIED,"Above 2019 level; full-year total"
