market,period,flow,metric,category,value,unit,source_status,interpretation_limit,source_url
Thailand,2026-05,outbound,total_transaction_count,all electronic cards,13292,thousand_transactions,verified_public,"includes foreign online merchants; not pure tourism",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
Thailand,2026-05,outbound,total_transaction_value,all electronic cards,23022,million_THB,verified_public,"includes foreign online merchants; not pure tourism",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
Thailand,2026-05,outbound,transaction_count,credit_card_POS,3827,thousand_transactions,verified_public,"point-of-sale abroad; closer to physical presence but still not individually tourism-verified",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
Thailand,2026-05,outbound,transaction_value,credit_card_POS,10206,million_THB,verified_public,"point-of-sale abroad",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
Thailand,2026-05,outbound,transaction_count,credit_card_online,3783,thousand_transactions,verified_public,"foreign online merchants; cannot be treated as travel spend",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
Thailand,2026-05,outbound,transaction_value,credit_card_online,7191,million_THB,verified_public,"foreign online merchants; cannot be treated as travel spend",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
Thailand,2026-05,outbound,transaction_count,debit_card_POS,3668,thousand_transactions,verified_public,"point-of-sale abroad",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
Thailand,2026-05,outbound,transaction_value,debit_card_POS,3024,million_THB,verified_public,"point-of-sale abroad",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=893
Thailand,2026-05,inbound_foreign_cards,total_transaction_count,foreign cards and e-money,28062,thousand_transactions,verified_public,"foreign-issued payment activity in Thailand; not visitor count",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?language=eng&reportID=892
Thailand,2026-05,inbound_foreign_cards,total_transaction_value,foreign cards and e-money,55257,million_THB,verified_public,"includes cash withdrawals and Thai-acquired online foreign-card transactions",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?language=eng&reportID=892
Thailand,2026-05,inbound_foreign_cards,transaction_value,foreign_credit_card_EFTPOS,23912,million_THB,verified_public,"foreign credit card at Thai EFTPOS",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?language=eng&reportID=892
Thailand,2026-05,inbound_foreign_cards,transaction_value,foreign_debit_card_EFTPOS,8535,million_THB,verified_public,"foreign debit card at Thai EFTPOS",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?language=eng&reportID=892
Thailand,2026-05,inbound_foreign_cards,transaction_value,foreign_e_money_POS,4606,million_THB,verified_public,"foreign e-money account/card acquired in Thailand",https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?language=eng&reportID=892
Hong Kong,2026-Q1,outbound,transaction_count,overseas_credit_card_retail_spend,106221,thousand_transactions,verified_public,"Hong Kong-issued credit cards; overseas destination not split",https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2026/20260618e6a1.pdf
Hong Kong,2026-Q1,outbound,transaction_value,overseas_credit_card_retail_spend,90313,million_HKD,verified_public,"Hong Kong-issued credit cards; overseas destination not split",https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2026/20260618e6a1.pdf
Hong Kong,2026-Q1,domestic,transaction_value,Hong_Kong_credit_card_retail_spend,211529,million_HKD,verified_public,"domestic spending by Hong Kong-issued credit cards",https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2026/20260618e6a1.pdf
Australia,2026-06,domestic_issued_cards,total_purchase_value,all_Australian_issued_cards,100.0,billion_AUD,verified_public_context,"not split into domestic vs overseas in confirmed summary",https://www.rba.gov.au/statistics/frequency/retail-payments/2026/retail-payments-0626.html
Australia,2026-Q2,merchant_fee,international_credit_card,Mastercard,2.92,percent,verified_public,"average merchant fee for international Mastercard credit card; money-flow context",https://www.rba.gov.au/statistics/frequency/retail-payments/2026/retail-payments-0626.html
Australia,2026-Q2,merchant_fee,international_credit_card,Visa,2.98,percent,verified_public,"average merchant fee for international Visa credit card; money-flow context",https://www.rba.gov.au/statistics/frequency/retail-payments/2026/retail-payments-0626.html
Australia,2026-Q2,merchant_fee,international_credit_card,American_Express,1.65,percent,verified_public,"average merchant fee for international Amex credit card; money-flow context",https://www.rba.gov.au/statistics/frequency/retail-payments/2026/retail-payments-0626.html
