variable_id,layer,canonical_variable,measurement_state,primary_sensor,do_not_equate
WHY01,TRIP_PURPOSE,visit_purpose,ACTUAL_VISITOR_SURVEY,O_SURVEY,"purpose != destination choice reason"
WHY02,TRIGGER,korea_interest_trigger,RECALLED_TRIGGER,O_SURVEY+S_VOC,"trigger != causal attribution"
WHY03,CONSIDERATION,asia_destinations_considered,RECALLED_CONSIDERATION,O_SURVEY,"considered != booked"
WHY04,CONSIDERATION,consideration_trigger_by_destination,RECALLED_TRIGGER,O_SURVEY+R,"association != causal effect"
WHY05,DESTINATION_CHOICE,korea_choice_reason,RECALLED_REASON,O_SURVEY+S_VOC,"stated reason != revealed preference"
WHY06,INTENT,korea_visit_intent,STATED_INTENT,O_SURVEY,"intent != arrival"
WHY07,IMAGE,destination_image_fit,PERCEPTION,O_SURVEY+R,"image != intent"
WHY08,CONTENT,k_content_exposure,EXPOSURE_PROXY,O/E/S/R,"exposure != conversion"
WHY09,SOCIAL_PROOF,recommendation_wom,INFLUENCE_PROXY,O_SURVEY+S_VOC,"recommendation != purchase"
WHY10,EMOTION,anticipated_emotion,PSYCHOLOGICAL_LATENT,S/R/G,"emotion != observed behavior"
WHY11,IDENTITY,self_expression_identity_fit,PSYCHOLOGICAL_LATENT,R/S/G,"identity fit != demographic identity"
WHY12,RISK,perceived_risk_uncertainty,PSYCHOLOGICAL_LATENT,S/R/G,"risk perception != objective risk"
WHY13,FRICTION,anticipated_effort_friction,PSYCHOLOGICAL_LATENT,S/G/N,"anticipated friction != actual failure"
WHY14,VALUE,perceived_value_for_money,PSYCHOLOGICAL_LATENT,O/S/R,"perceived value != actual spend"
WHY15,TIMING,why_now_trigger,RECALLED_OR_DERIVED,O/E/S/R,"timing correlation != causal shock"
WHY16,CONVERSION,intent_to_search,STATE_TRANSITION,E/N+DERIVED,"intent != search"
WHY17,CONVERSION,search_to_booking,STATE_TRANSITION,E/N+DERIVED,"search != booking"
WHY18,CONVERSION,booking_to_arrival,STATE_TRANSITION,O/E/N+DERIVED,"booking != arrival"
WHY19,NEGATIVE_INTENT,non_intender_reason,STATED_BARRIER,O_SURVEY+S/G,"barrier statement != counterfactual effect"
WHY20,LATENT,desired_but_not_attempted,LATENT_LOST_DEMAND,S/G/N+DERIVED,"absence of action != absence of desire"
