priority,workstream,target_axes,source_class,target_grain,deliverable,SOURCE_DISCOVERY_STATUS,BULK_INGESTION_STATUS,HARMONIZATION_STATUS,GRAPH_POPULATION_STATUS,ENGINE_READINESS_STATUS,next_blocker,updated_at
P0,Korea official raw backbone,"WHO,WHEN,SEARCH,MOVE,STAY,DO,SPEND,PAIN,SATISFACTION",O,"year/month x origin x region where available",harmonized official-source panel,PUBLIC_SOURCE_MAXIMUM_COMPLETE,PARTIAL,PARTIAL,PENDING,PARTIAL,"bulk raw acquisition + harmonized joins",2026-08-28
P0,Foreign Tourist Survey harmonization,"WHO,WHY,WHEN,STAY,DO,SPEND,PAIN,SATISFACTION",O,"respondent x survey year",crosswalk/codebook + harmonized extracts,OFFICIAL_ARTIFACT_HORIZON_VERIFIED_TO_2007,NOT_INGESTED,VARIABLE_CROSSWALK_PENDING,NOT_POPULATED,NOT_READY,"direct raw acquisition + field-level crosswalk",2026-08-28
P0,Origin TOP15 mirror,"ORIGIN_TOP15,WHEN,WHY",O,"origin x month x outbound destination/purpose where available",country-source mirror registry + normalized panel,PUBLIC_SOURCE_MAXIMUM_COMPLETE_WITH_COUNTRY_LIMITS,PARTIAL,PARTIAL,PENDING,PARTIAL,"country-specific bulk rows + destination harmonization",2026-08-28
P0,Competitive destination mirror,"COMPETITIVE_DESTINATION,WHEN",O,"destination x origin x month/native survey frequency",comparable destination panel,PUBLIC_SOURCE_MAXIMUM_COMPLETE_WITH_DESTINATION_LIMITS,PARTIAL,PARTIAL,PENDING,PARTIAL,"bulk monthly rows + definition-safe joins",2026-08-28
P0,Temporal regime ledger,"TEMPORAL_10Y12M,WHEN",O/R,"YYYY-MM x market",visa/air/FX/holiday/event/regime ledger,PUBLIC_SOURCE_MAXIMUM_COMPLETE_WITH_NUMERIC_JOIN_CONSTRAINTS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"FX/holiday/seat numeric joins",2026-08-28
P0,Card and payment intelligence,"SPEND,BOOK_PAY,MONEY_FLOW,ORIGIN_TOP15,COMPETITIVE_DESTINATION,FAILURE_JOURNEY",O/E,"period x issuer/origin x destination x category x network",transaction-observation panel,PUBLIC_SOURCE_MAXIMUM_COMPLETE_WITH_COMMERCIAL_AND_MICRODATA_LIMITS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"bulk public series + restricted enterprise data",2026-08-28
P1,Supply entity union,"SUPPLY,REAL_SELLABLE_SUPPLY",O/E,"supplier/product/location/channel",deduplicated supplier-product entity table,PUBLIC_SOURCE_MAXIMUM_COMPLETE_WITH_ENTITY_INGESTION_CONSTRAINTS,PENDING,PARTIAL,NOT_POPULATED,NOT_READY,"nationwide entity ingestion + dedup",2026-08-28
P1,Platform coverage,"SEARCH,PLATFORM,REAL_SELLABLE_SUPPLY",E,"supplier/product x platform x market/language x observed_at",listing/price/terms/review/booking-path observations,PARTIAL,PENDING,PARTIAL,NOT_POPULATED,NOT_READY,"platform enumeration + query-time observations",2026-08-28
P1,Public money flow,"MONEY_FLOW,PLATFORM,BOOK_PAY",O/E,"platform/payment-path x product x date",fee/commission/FX/tax-rule ledger,PUBLIC_SOURCE_MAXIMUM_COMPLETE_WITH_REALIZED_UNIT_ECONOMICS_LIMITS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"supplier realized unit economics requires G/E",2026-08-28
P1,Multilingual VOC,"PAIN_VOC,SATISFACTION,FAILURE_JOURNEY",S/E,"language x market x stage x failure/pain code",evidence corpus + taxonomy counts,PUBLIC_SOURCE_MAXIMUM_COMPLETE_WITH_PLATFORM_DENOMINATOR_AND_TELEMETRY_LIMITS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"platform denominator + native attempt telemetry",2026-08-28
P1,Known failure library,"FAILURE_JOURNEY,BOOK_PAY,MOVE,SEARCH",O/E/S,"journey edge x traveler constraint x date",failure/workaround/intervention evidence table,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"actual attempt denominator + recovery outcomes",2026-08-28
P2,Knowledge graph,"ALL",derived,"entity/node/edge x time x provenance",graph rows,NOT_APPLICABLE,PARTIAL,PARTIAL,PARTIAL,PARTIAL,"populate rows then validate joins",2026-08-28
P2,Diagnostic dry-run,"ISLAND_BOTTLENECK_ASYMMETRY",derived,GapObject,explainable gap candidates,NOT_APPLICABLE,PENDING,PARTIAL,PENDING,NOT_READY,"denominators + populated graph rows",2026-08-28
P2,Opportunity dry-run,"OPPORTUNITY,L7",derived,OpportunityObject,evidence-linked opportunity candidates,NOT_APPLICABLE,PENDING,PARTIAL,PENDING,NOT_READY,"validated gaps + economics + uncertainty",2026-08-28
BLOCKED,Ground collection,GROUND_INTELLIGENCE,G,"supplier/traveler field observation",field dataset,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_POPULATED,NOT_READY,"field protocol execution",2026-08-28
BLOCKED,Native telemetry,"N_TELEMETRY,FAILURE_JOURNEY",N,"event/session/transaction",attempt denominators + conversion,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_POPULATED,NOT_READY,"service instrumentation",2026-08-28
BLOCKED,Empirical KTOF,KTOF_EMPIRICAL,G/N/outcomes,"time-safe labeled outcomes",validated empirical model,NOT_APPLICABLE,NOT_STARTED,NOT_STARTED,NOT_POPULATED,NOT_READY,"pilots + causal outcome labels",2026-08-28
