month_index,month,year,month_num,row_type,zero_vs_missing_rule
1,2015-01,2015,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
2,2015-02,2015,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
3,2015-03,2015,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
4,2015-04,2015,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
5,2015-05,2015,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
6,2015-06,2015,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
7,2015-07,2015,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
8,2015-08,2015,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
9,2015-09,2015,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
10,2015-10,2015,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
11,2015-11,2015,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
12,2015-12,2015,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
13,2016-01,2016,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
14,2016-02,2016,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
15,2016-03,2016,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
16,2016-04,2016,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
17,2016-05,2016,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
18,2016-06,2016,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
19,2016-07,2016,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
20,2016-08,2016,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
21,2016-09,2016,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
22,2016-10,2016,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
23,2016-11,2016,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
24,2016-12,2016,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
25,2017-01,2017,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
