origin,primary_official_source,best_frequency,destination_detail,visits_or_trips,nights,spend,purpose,public_strength,engine_grade,key_limit
Japan,JNTO/Japan official tourism statistics,monthly+annual,partial,yes,partial,partial,partial,strong,B,"destination-resolved outbound cube weaker than departure totals"
China,NBS/MCT/immigration official publications,annual+irregular,partial,partial,partial,partial,partial,limited,C,"no verified single 10Y month x destination public cube"
Taiwan,Taiwan tourism/immigration official statistics,monthly+annual,yes_selected,yes,partial,partial,partial,strong,A-,"destination tables require source-specific extraction/harmonization"
United States,NTTO outbound/travel statistics,monthly+annual,yes_selected,yes,partial,partial,yes_selected,strong,B+,"do not substitute air passenger counts for resident trips"
Hong Kong,C&SD/Immigration/Tourism official statistics,monthly+annual,partial,yes,partial,partial,partial,moderate,C+,"destination-resolved outbound series fragmented"
Philippines,PSA/OpenSTAT/PTSA,annual,limited,yes_total,limited,yes,yes_product,strong_for_spend,B,"PTSA outbound expenditure is not destination-choice data"
Vietnam,NSO/tourism official publications,annual+irregular,partial,partial,partial,partial,partial,limited,C,"outbound destination public detail not standardized"
Singapore,SingStat,monthly,no_general,yes_total,no,no,no,strong_total_only,B,"resident departure denominator but not Korea destination choice"
Indonesia,BPS Outbound Tourism Statistics,annual,yes_selected,yes,yes,yes,yes,strong,A-,"recent methodology combines multiple sensors; preserve regime metadata"
Thailand,NSO/Department of Tourism,annual+selected,yes_selected,yes,partial,partial,yes_selected,moderate,B,"full monthly destination cube not verified"
Malaysia,DOSM/Tourism Malaysia,annual+selected,partial,yes_total,partial,partial,partial,moderate,C+,"requires definition harmonization"
Canada,Statistics Canada 24-10-0080/0081,quarterly,yes,yes,yes,yes,yes,very_strong,A,"selected countries individually displayed; quarterly not monthly"
Australia,ABS Overseas Arrivals and Departures,monthly,yes,yes,partial,partial,yes,very_strong,A,"short-term resident returns are border movements/trips not unique persons"
Russia,Rosstat Tourism,annual/official workbook,yes_selected,yes,partial,partial,partial,strong,B+,"2014+ official tourist-trip series; regime/geopolitical breaks require flags"
United Kingdom,ONS Travel Trends/IPS,annual+quarterly,yes,yes,yes,yes,yes,very_strong,A,"2019 methodology change; 2026 destination-airport assignment correction notice"
