axis,coverage_estimate,status,strongest_source,current_gap,next_action
WHO,0.62,PARTIAL,"한국관광통계 + 외래관광객조사 2007-2025 원자료 목록","소득/예산 장기 비교와 국가×연령×성별 패널 미정규화","원자료 확보 후 공통변수 매핑"
WHY,0.45,PARTIAL,"외래관광객조사 + 잠재 방한여행객조사","한국 선택이유/K-content 영향의 장기 공통문항 비교 미완","설문/코드북 2015-2025 변수 dictionary 생성"
WHEN,0.55,PARTIAL,"입국관광통계 2005~현재","월×국가 전체 패널 미완","월별 국가 패널 확장"
WHERE,0.30,WEAK,"관광데이터랩 지역분석","국가×지역×연계방문 장기패널 미확보","통신/내비 데이터 Source map"
STAY,0.25,WEAK,"외래관광객조사 + 숙박 공급 seed","가격/숙박형태/체류/occupancy 통합 미완","조사변수+OTA+인허가 연결"
DO,0.25,WEAK,"외래관광객조사 + TourAPI seed","활동×국적×지역×공급 연결 미완","활동 taxonomy 표준화"
SPEND,0.30,WEAK,"외래관광객조사 + 관광데이터랩 카드","국가×지역×업종 시계열 미완","카드/조사 소비 matrix"
SEARCH,0.32,PARTIAL,"관광데이터랩 7개국 월별 Google 한국여행 관심도 + 잠재방한 2022-2025 채널/구매사이트 + 외래관광객조사 정보접촉 경로","10년+ 안정적 검색시계열·절대검색량·search→OTA→booking user-level conversion 미확보","7개국 월별 관심도 실제 export + 조사 국가별 채널표 정규화 + 장기 가용기간 확인"
BOOK_PAY,0.24,WEAK,"외래관광객조사 정의 + Booking.com Payments + GetYourGuide + Viator","한국 공급자별 예약경로/결제실패/해외카드/플랫폼 침투율과 한국별 정확한 수수료 미확보","공급자 표본 + 플랫폼별 Korea terms + 결제 friction evidence"
MOVE,0.15,MISSING,"내비/교통 source seed","교통 journey 정량 패널 없음","철도/버스/택시/지도 데이터 조사"
PAIN,0.25,WEAK,"관광불편신고 + 리뷰 source seed","국가×단계별 pain severity/frequency 미정규화","VOC taxonomy/corpus 구축"
SATISFACTION,0.35,WEAK,"외래관광객조사","활동/지역/국가별 장기 비교 미완","공통문항 패널화"
SUPPLY,0.25,WEAK,"TourAPI + 한옥/지역 seed","전국 entity master/접근가능성 필드 미완","전국 supply inventory"
PLATFORM,0.20,WEAK,"Booking/Klook/KKday/Viator/GetYourGuide seed","coverage/가격/리뷰/commission 비교 미완","플랫폼별 schema/coverage map"
MONEY_FLOW,0.20,WEAK,"관광데이터랩 외국인 카드/간편결제 + Booking.com/GetYourGuide/Viator supplier flows","PG/FX/DCC/환불/chargeback/세금/정산지연/공급자 순마진 미완","공급자 실제 unit economics + 결제/세금 1차 공식소스 보강"
GAP_ENGINE,0.12,MISSING,"KTOF 공식만 정의","upstream coverage 부족","upstream 축 1차 채움 후 계산"
OPPORTUNITY,0.08,MISSING,"초기 공식 정의","WTP/Revalue/Solvability calibration 없음","첫 후보군 생성 후 sensitivity test"
L7,0.05,MISSING,"구조만 존재","검증된 L1-L6 연결 부족","85% gate 전 확정 금지"
