survey_year,canonical_variable,canonical_axis,official_source,source_tier,provenance,period,geography,definition_evidence,unit_evidence,sample,methodology,universe_filter,limitations,license,raw_variable,code_values,weight_variable,sample_design,stay_criterion,expenditure_basis,missing_codes,comparability_status,regime_break,confidence,status
2019,survey_population,PROVENANCE,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14611&cbIdx=1127&streFileNm=9a143740-ac62-11ea-8847-e3a3d34471d5.pdf,Tier-A,한국관광공사 2019 외래관광객조사 최종보고서,2019,Korea inbound foreign visitors,"목표 모집단은 2019년 방한 외래관광객; 조사 모집단은 만 15세 이상, 한국 체류기간 90일 이하, 국내 6개 국제공항(인천·김포·김해·제주·대구·청주) 및 3개 국제항(인천항·부산항·군산항)을 통해 출국하는 외국인",persons,16076,"2019년 1~12월 입국 관광통계를 모집단 프레임으로 사용; 출국 현장 조사","한국 국적 해외교포 제외; 환승을 위해 한국에서 숙박만 하고 출국하는 경우 제외; 크루즈 여행객·보따리상·유니폼 착용 기장/승무원/군인 제외(사복+관광목적 예외)","official report text is browser-indexed; respondent raw bytes were not ingested in this run","공공누리 4유형 on KTO full-results publication; raw/codebook artifact reuse governed by their own official page",UNKNOWN,UNKNOWN,UNKNOWN,"monthly achieved samples published; full weight construction/strata/PSU not yet extracted","90일 이하",UNKNOWN,UNKNOWN,METHODOLOGY_REGIME_VERIFIED,"2018의 ≤90일 regime 유지; 2019 군산항 추가 및 중동 표본권역 세분화",HIGH,METHODOLOGY_AND_UNIVERSE_VERIFIED
2019,population_frame,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14611&cbIdx=1127&streFileNm=9a143740-ac62-11ea-8847-e3a3d34471d5.pdf,Tier-A,한국관광공사 2019 외래관광객조사 최종보고서,2019-01-01/2019-12-31,Korea inbound foreign visitors,"2019년 1~12월 입국 관광통계를 이용한 조사 모집단 총 16,102,864명; 입국자 중 교포·승무원·크루즈 여행객 제외",persons,16102864,"월별·거주국별 입국 관광통계를 모집단 현황으로 사용",same as survey_population row,"population-frame count이며 실제 respondent sample 또는 원자료 row count가 아님","공공누리 4유형 on KTO full-results publication",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,POPULATION_FRAME_VERIFIED,"2018 population-frame total과 직접 비교 시 inbound volume 변화와 frame definition을 함께 고려",HIGH,POPULATION_FRAME_VERIFIED
2019,achieved_sample,WHO,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14611&cateCont=spt04&cbIdx=1603,Tier-A,한국관광공사 한국관광데이터랩 2019 외래관광객조사 전체 결과,2019,Korea inbound foreign visitors,"총 조사규모 16,076명",persons,16076,"자기기입식 또는 현장 대면 문답식; 종이 설문지 사용","same-year survey population","same page states 13 survey-language forms while attached questionnaire package includes Korean for 14 total files/forms; do not equate language-count statement with respondent language distribution","공공누리 4유형",UNKNOWN,UNKNOWN,UNKNOWN,"Q1 4,197; Q2 4,083; Q3 3,986; Q4 3,810","90일 이하",UNKNOWN,UNKNOWN,SAMPLE_SIZE_VERIFIED,"planned/target sample values must not replace achieved 16,076",HIGH,SAMPLE_SIZE_VERIFIED
2019,monthly_sample,WHEN,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14611&cateCont=spt04&cbIdx=1603,Tier-A,한국관광공사 한국관광데이터랩 2019 외래관광객조사 전체 결과,2019-01-01/2019-12-31,Korea inbound foreign visitors,"월별 실현 표본: 1월 1,380; 2월 1,407; 3월 1,410; 4월 1,407; 5월 1,335; 6월 1,341; 7월 1,341; 8월 1,334; 9월 1,311; 10월 1,306; 11월 1,266; 12월 1,238",persons per month,16076,"월별 현장조사; 연간 결과 패키지에서 월별 실현 표본 공개",same-year survey population,"sample counts verify monthly fieldwork granularity only; they do not establish safe monthly estimation for every variable","공공누리 4유형",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,MONTHLY_SAMPLE_GRANULARITY_VERIFIED,"do not invent monthly estimates from sample counts alone",HIGH,MONTHLY_SAMPLE_COUNTS_VERIFIED
2019,sample_scope,WHO,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14611&cateCont=spt04&cbIdx=1603,Tier-A,한국관광공사 한국관광데이터랩 공식 조사연혁,2019,Korea inbound foreign visitors,"조사 명칭을 외래관광객 실태조사에서 외래관광객 조사로 변경; 군산항 조사장소 추가; 중동 국가를 중앙아시아/GCC/기타 중동 3개 권역으로 세분화; 일부 문항 순서·항목 변경 및 추가",survey frame,16076,"2018 survey regime을 기반으로 2019 sample/location and market-allocation frame 수정",same-year survey population,"exact country codes and allocation weights require same-year variable/country-city codebook extraction","공공누리 4유형",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,SAMPLE_FRAME_BREAK_VERIFIED,"군산항 추가 + 중동 3권역 세분화 + 일부 문항 변경",HIGH,SAMPLE_FRAME_BREAK_VERIFIED
2019,field_content,WHY_SEARCH_STAY_SPEND_POST_TRIP,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14611&cateCont=spt04&cbIdx=1603,Tier-A,한국관광공사 한국관광데이터랩 2019 전체 결과 조사항목,2019,Korea inbound foreign visitors,"공식 조사항목에 방한횟수·동반자·방한 전후 방문국가·주요 방한목적·선택 고려요인·여행정보 입수경로·필요정보·여행결정시점·참여활동/만족활동·체재기간·숙박시설/기간·방문지·여행형태·쇼핑품목/장소·총지출경비·결제방법·항목별 지출경비·전반/항목별 만족도·향후 3년 내 관광목적 재방문 의향·타인추천 의향·스마트폰 이용이 포함",survey content,16076,"same-year official content inventory","field existence/content-domain evidence only; raw variable names, exact wording/codes, universe/filter and missing codes are not established by this page","공공누리 4유형",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하","총지출경비·결제방법·항목별 지출경비 존재만 VERIFIED; currency/basis/caps/outliers UNKNOWN",UNKNOWN,CONTENT_DOMAIN_VERIFIED,"일부 문항 순서·항목 변경 공지 때문에 2018 raw fields를 2019에 복제 금지",HIGH,FIELD_CONTENT_VERIFIED_RAW_FIELD_EXTRACTION_PENDING
2019,official_result_package,PROVENANCE,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14611&cateCont=spt04&cbIdx=1603,Tier-A,한국관광공사 한국관광데이터랩 2019 전체 결과 공식 첨부 패키지,2020-06-02,Korea inbound foreign visitors,"공식 첨부: 2019 외래관광객조사 최종보고서 PDF; 결과표 XLSX; 설문지 14종 ZIP; 주요결과 인포그래픽 PDF",official attachment package,UNKNOWN,official publication package,UNKNOWN,"attachment presence verified; XLSX/result table and questionnaire binaries not parsed in this run","공공누리 4유형 (출처표시·상업적 이용금지·변경금지)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,ARTIFACT_PACKAGE_VERIFIED,"official package provides same-year report/table/questionnaire route without adjacent-year inference",HIGH,OFFICIAL_RESULT_PACKAGE_VERIFIED_NOT_INGESTED
2019,codebook_artifact,PROVENANCE,https://know.tour.go.kr/stat/fCodeBookOfForeignerDis19Re.do,Tier-A,관광지식정보시스템 공식 코드북 registry,2019,Korea inbound foreign visitors,"2019년 외래관광객조사 코드북 HWP listed (registered 2020-06-24). 별도 '2019년 외래관광객조사 코드북_국가 및 도시' HWP도 registry에 존재하나 해당 행의 조사연도 열이 2020으로 표시됨",HWP artifacts,UNKNOWN,official registry,UNKNOWN,"main codebook artifact year is unambiguous; country/city codebook has title-year 2019 versus registry survey-year column 2020 conflict and must remain CONFLICTING until artifact metadata is inspected",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,CONFLICTING_REGISTRY_METADATA,"country/city codebook title says 2019 while registry row survey-year column shows 2020",HIGH,CODEBOOK_ARTIFACT_VERIFIED_COUNTRY_CITY_YEAR_METADATA_CONFLICT
2019,user_guide_artifact,PROVENANCE,https://know.tour.go.kr/stat/fUserGuideOfForeignerDis19Re.do,Tier-A,관광지식정보시스템 공식 유저가이드 registry,2019,Korea inbound foreign visitors,"2017~2019는 한국관광공사로 조사가 이관됨에 따라 별도 유저가이드를 발간하지 않았다고 공식 registry가 명시",not published by design,UNKNOWN,official registry,UNKNOWN,"do not backfill 2019 user-guide fields from 2016 or adjacent years",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,NOT_PUBLISHED_BY_DESIGN,"2017~2019 별도 user guide 없음",HIGH,USER_GUIDE_NOT_PUBLISHED_BY_DESIGN
2019,raw_data_artifact,PROVENANCE,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14676&cateCont=spt05&cbIdx=1603,Tier-A,한국관광공사 공식 raw attachment page (already registered in canonical supporting manifest),2020-09-10,Korea inbound foreign visitors,"DATA_2019_외래관광객조사_외부용.sav; 코드표_국가및도시.hwp; 코드표_변수.hwp",SAV+HWP,UNKNOWN,official raw attachment page,UNKNOWN,"artifact presence already verified in FOREIGN_TOURIST_SURVEY_2017_2019_RAW_ATTACHMENT_MANIFEST_2026-08-28.csv; no XLSX respondent raw attachment listed; respondent bytes not ingested","공공누리 4유형 (출처표시·상업적 이용금지·변경금지)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,RAW_ARTIFACT_ACCESS_VERIFIED,"this row registers relationship to same-year method evidence without changing bulk-ingestion status",HIGH,OFFICIAL_RAW_ATTACHMENTS_VERIFIED_NOT_INGESTED
