axis,core_variables,primary_source_classes,minimum_history,target_granularity,gap_signal
WHO,"nationality|age|gender|income_budget|party","KTO approved stats|MOJ|Foreign Tourist Survey",10y,"month/year + segment","missing demographic demand"
WHY,"purpose|selection_reason|kcontent_influence","Foreign Tourist Survey|potential visitor survey|official content surveys|VOC",10y,"year + nationality","motivation unknown"
WHEN,"month|seasonality|shock|trend","KTO arrivals|aviation|events",20y_if_available,month,"seasonality/trend unknown"
WHERE,"region|route|linked_visit|stay_days","Tourism Data Lab telecom/navigation|regional tourism org",10y,"month + region + nationality","regional flow missing"
STAY,"accommodation_type|nights|price|occupancy","Foreign Tourist Survey|licensing|hotel stats|OTA/provider",10y,"month/year + property","stay economics missing"
DO,"activity|experience|attraction|culture|food|beauty|wellness","Foreign Tourist Survey|TourAPI|regional org|experience platforms",10y,"year + region + nationality","activity-supply mismatch"
SPEND,"total|category|region|atv","Foreign Tourist Survey|card spend|dutyfree|regional spend",10y,"month/year + nationality + region + category","money demand missing"
SEARCH,"channel|query|content|discovery","official surveys|search/SNS/OTA public or official data",10y_if_available,"month + nationality + channel","discoverability unknown"
BOOK_PAY,"booking_channel|leadtime|availability|payment|fx","official surveys|OTA|experience platforms|payments/FX",10y_if_available,"transaction + channel","booking/payment friction unknown"
MOVE,"map|rail|bus|taxi|transit_card|luggage","navigation|transport operators|mobility platforms|official stats",10y_if_available,"route + time + region","mobility friction unknown"
PAIN,"language|information|refund|cs|booking|payment","official survey|reviews|VOC",10y_if_available,"issue + nationality + stage","pain severity/frequency missing"
SATISFACTION,"satisfaction|recommend|revisit|review","Foreign Tourist Survey|reviews",10y,"year + nationality + activity","outcome quality missing"
SUPPLY,"inventory|capacity|quality|price|language|booking|payment","TourAPI|licenses|regional org|Google/OTA/provider",current+history,"entity + region","accessible supply missing"
PLATFORM,"coverage|rating|review|price|commission|distribution","OTA|maps|SNS|platform official/public data",history_if_available,"entity + platform","platform dominance/coverage missing"
MONEY_FLOW,"commission|pg_fee|fx|tax|refund|cac|margin","platform disclosures|PG|tax rules|provider economics",history_if_available,"transaction/value-chain node","value capture unknown"
GAP_ENGINE,"demand|accessible_supply|connectivity|IA|pain","derived from all upstream axes",continuous,"entity/segment/region","gap cannot be computed"
OPPORTUNITY,"WTP|revalue|solvability|competition|risk|execution","derived + market validation + supplier economics",continuous,"opportunity candidate","rank unstable"
L7,"market|solution|economics|moat|gtm|risk","traceable L1-L6 evidence",continuous,"business model","insufficient evidence trace"
