region,city_gu,dong_or_locality,name,type,rating,review_count,address,source_type,status_note
서울,종로구,가회동,락고재 서울 본관,한옥호텔,4.5,122,"서울특별시 종로구 가회동 218",Google-like business index,확인
서울,종로구,북촌,노스텔지어 한옥호텔,한옥호텔,5.0,15,"서울특별시 종로구 북촌로8길 1",Google-like business index,확인
서울,종로구,계동,미담 한옥게스트하우스,한옥게스트하우스,4.8,19,"서울특별시 종로구 계동 79-10",Google-like business index,확인
서울,종로구,권농동,다자연 한옥스테이,한옥스테이,4.9,7,"서울특별시 종로구 율곡로10길 81-3",Google-like business index + Seoul Stay,확인
서울,종로구,팔판동,STAY256 한옥 게스트하우스,한옥게스트하우스,4.8,52,"서울특별시 종로구 팔판동 104-10",Google-like business index,확인
서울,종로구,북촌,보눔 1957 한옥 앤 부티크,한옥/부티크숙박,3.9,73,"서울특별시 종로구 북촌로 53",Google-like business index,확인
서울,종로구,통인동,한옥 게스트하우스 동촌재,한옥게스트하우스,4.9,7,"서울특별시 종로구 자하문로11길 21-10",Google-like business index,확인
서울,종로구,계동,아날로그한옥,한옥숙박,4.6,14,"서울특별시 종로구 계동길 70-24",Google-like business index,확인
서울,종로구,북촌,북촌빈관 by 락고재,한옥호텔,5.0,27,"서울특별시 종로구 북촌로11가길 10",Google-like business index,확인
서울,종로구,삼일대로권역,참한옥게스트하우스,한옥게스트하우스,4.7,18,"서울특별시 종로구 삼일대로32길 49-5",Google-like business index,확인
서울,종로구,북촌,담소정,한옥게스트하우스,4.8,4,"서울특별시 종로구 북촌로9길 16-2",Google-like business index,확인
서울,종로구,서촌,한옥에세이 서촌,한옥/웰니스호텔,4.8,5,"서울특별시 종로구 필운대로3길 12",Google-like business index,확인
서울,종로구,서촌,누하당,한옥게스트하우스,4.5,20,"서울특별시 종로구 누하동 74 / 필운대로 49-7",Google-like business index + Seoul Stay,확인
서울,종로구,서촌,서울한옥스테이,한옥게스트하우스,5.0,8,"서울특별시 종로구 자하문로1나길 7-28",Google-like business index,확인
서울,종로구,경복궁권역,하녹하녹,부티크 한옥스테이,5.0,10,"서울특별시 종로구 자하문로1나길 6",Google-like business index,확인
서울,종로구,북촌,예은재,한옥체험업,,,"서울특별시 종로구 북촌로6길 13-3",서울관광재단 Seoul Stay,공식 등록 숙소
서울,종로구,서촌,효자스테이,한옥체험업,,,"서울특별시 종로구 효자로7길 7-5",서울관광재단 Seoul Stay,공식 등록 숙소
서울,성북구,동선동2가,한옥 게스트하우스 수니,한옥B&B,4.7,31,"서울특별시 성북구 보문로32길 42",Google-like business index,확인
서울,마포구,공덕동,소담스테이,한옥체험업,,,"서울특별시 마포구 마포대로14길 12-17",서울관광재단 Seoul Stay,공식 등록 숙소
서울,마포구,아현권역,색동한옥스테이,한옥B&B,5.0,1,"서울특별시 마포구 굴레방로7길 9",Google-like business index,확인
경기,수원시 팔달구,행궁동권역,한옥스테이 달봄,한옥B&B,5.0,1,"경기도 수원시 창룡대로36번길 34",Google-like business index,확인
경기,수원시 팔달구,행궁동권역,매홀재,한옥게스트하우스,4.7,3,"경기도 수원시 팔달구 화서문로75번길 27",Google-like business index,확인
경기,수원시 팔달구,신풍동,한옥스테이 고유,한옥스테이,5.0,1,"경기도 수원시 팔달구 화서문로42번길 34",Google-like business index,확인
경기,수원시 팔달구,남수동,남수동 한옥체험마을,한옥체험숙박,,,"경기도 수원시 팔달구 남수동 11-453",Google-like business index,확인 필요
경기,수원시 팔달구,행궁동권역,군자헌,한옥스테이,,,"경기도 수원시 팔달구 화서문로41번길 20",Google-like business index,확인
경기,수원시 팔달구,행궁동권역,한옥서연재,한옥B&B,5.0,1,"경기도 수원시 팔달구 화서문로17번길 6-4",Google-like business index,확인
경기,가평군,가평읍 경반리,한옥민박마음여행,한옥민박,1.0,1,"경기도 가평군 가평읍 경반리 475-1",Google-like business index,확인 필요
경기,가평군,청평면 호명리,청평한옥,한옥휴양주택,4.4,5,"경기도 가평군 청평면 호명리 50-2",Google-like business index,확인
경기,가평군,조종면 대보리,은계한옥민박,한옥민박,,,"경기도 가평군 조종면 대보리 73-2",Google-like business index,확인 필요
경기,양평군,미상,아델라 한옥,한옥스테이,,,"경기도 양평군 (세부주소 추가 조사 필요)",대한민국 구석구석,공식 관광콘텐츠 확인
