dataset_id,자료군,공식기관,공개입도,공개형태,확인기간_또는_상태,엔진사용,직접합산금지,접근상태,완료판정
KOR-001,방한 외래객 월×국가,한국관광공사 한국관광데이터랩,월×국가,월별 XLSX 묶음,역사 월별 릴리스 및 2026 월자료 확인,누가/언제/출발국 기준축,이동통신 방문추정과 직접합산 금지,공개 다운로드 확인,공개경로완료_원파일벌크는 다운로드흐름 제약
KOR-002,방한 외래객 성별,한국관광공사/공공데이터포털,월×성별,CSV+ODCloud API,2023-08~2024-07 공개 스냅샷,누가,승무원 성별 미분류 주의,공개 API 확인,완료
KOR-003,방한 외래객 연령,한국관광공사/공공데이터포털,월×연령대,CSV+ODCloud API,2023-08~2024-07 공개 스냅샷,누가,승무원 연령 미분류 주의,공개 API 확인,완료
KOR-004,방한 외래객 입국 관문/교통수단,한국관광공사/공공데이터포털,월×공항·항구,CSV+ODCloud API,2023-08~2024-07 공개 스냅샷,입국/이동,국내 이동수단 자료로 해석 금지,공개 API 확인,완료
KOR-005,외래관광객조사,한국문화관광연구원/한국관광데이터랩,응답자×연도,ZIP SAV XLSX 코드북,2022·2023·2024·2025 원자료 공식 게시 확인,누가/왜/숙박/활동/지출/불편/만족,2020~2022 축소조사와 2023 이후 직접비교 주의,공개 첨부 확인,완료_연도정합화는 별도 전용작업
KOR-006,지역 관광 다양성,한국관광공사,지역×다양성 지표,REST JSON/XML,실시간 API,지역/국제/소비 다양성,지수와 원시 거래액·방문자수 혼합 금지,공개 API 확인,완료
KOR-007,지역 관광 수요 강도,한국관광공사,지역×체류·소비 강도,REST JSON/XML,실시간 API,체류/소비 보조지표,지수와 원시값 혼합 금지,공개 API 확인,완료
KOR-008,TourAPI 관광콘텐츠,한국관광공사,콘텐츠×지역×분류,REST JSON/XML,실시간 약26만건 15종,공급/활동/숙박 엔터티 기준,콘텐츠 엔터티와 인허가 사업체 동일시 금지,인증키 필요 개발계정 자동승인,공개계약완료_실호출은 키 필요
KOR-009,관광숙박시설 업체·객실,문화체육관광부,연도/분기기준×지역×업종·등급,CSV,2025년 4분기 지자체 제출 기준,숙박/공급,등록객실과 판매가능 객실 동일시 금지,공개 파일 확인,완료
KOR-010,이동통신 기반 방문·체류,한국관광데이터랩,기간×지역×공개속성,대시보드/다운로드,공개범위 내,이동/체류 추세센서,행정 입국자수와 직접합산 금지,다운로드 절차형,공개계약완료_자동벌크제약
KOR-011,외국인 카드 관광소비,한국관광데이터랩,기간×지역×업종×국가 공개범위,대시보드/다운로드,공개범위 내,지출/돈,전체 관광지출로 확대 금지,다운로드 절차형,공개계약완료_카드작업과 연결
KOR-012,내비게이션 검색,한국관광데이터랩,기간×지역×검색대상 공개범위,대시보드/다운로드,공개범위 내,검색/이동 의도,검색을 방문으로 해석 금지,다운로드 절차형,공개계약완료_자동벌크제약
