field_name,meaning,required,rule
period,관측 기간,Y,"원자료 입도 그대로; 월/일/분기 임의 변환 금지"
origin_country_or_issuer_market,출발국 또는 카드 발급시장,N,"국적/거주국/발급국을 동일시하지 말고 source_scope로 정의"
destination_country,소비 목적국,N,"해외 전자상거래이면 여행 목적지로 간주 금지"
destination_region,소비 지역,N,"가맹점 소재지/결제처 정의 보존"
merchant_category,가맹점/관광 업종,N,"원분류와 공통분류를 모두 보존"
product_or_merchant,상품 또는 가맹점,N,"공개된 경우만"
card_network,카드망,N,"Visa/Mastercard/JCB/UnionPay 등 확인된 경우만"
issuer_or_acquirer,발급사/매입사,N,"역할 구분"
channel,결제 채널,N,"현장/온라인/앱 등"
card_present_flag,대면 카드거래 여부,N,"미확인이면 null"
ecommerce_flag,전자상거래 여부,N,"해외전자상거래를 관광현장소비로 오인 금지"
transaction_count,거래건수,N,"관광객 수로 환산 금지"
gross_amount,총 승인/관측액,N,"환불 전/후 정의 기록"
refund_amount,환불액,N,"자료가 없으면 추정 금지"
net_amount,순액,N,"원자료 제공 또는 명시적 계산 가능할 때만"
currency,통화,N,"원통화 보존"
fx_basis,환율 기준,N,"환산 시 환율원천/기준일 필수"
average_ticket,거래당 평균금액,N,"amount/count로 계산 시 derived 표시"
fee_rule,수수료 규칙,N,"공개 약관/요금표만"
source_scope,관측 모집단/카드망 범위,Y,"전체시장으로 확대해석 방지"
observed_at,수집/관측 시점,Y,"웹/재고/정책 시간성 보존"
methodology,측정 방법,N,"표본/추정/집계/익명화 등"
coverage_limit,미포착 범위,N,"현금/타카드/간편결제/온라인 등"
provenance_url,공식 출처,Y,"원자료까지 역추적"
confidence_note,불확실성/주의,Y,"대표성·수정·결측·정의차이 기록"
