variable,canonical_metric,primary_measurement,O,E,S,R,G,N,temporal_target,status,notes
traveler_volume,arrivals_tourism,ADMIN/CENSUS,"KTO Korea Tourism Statistics; MOJ upstream immigration","airline/airport aggregates",NOT_PRIMARY,"UN Tourism methodology",NOT_REQUIRED,NOT_REQUIRED,"monthly 1995+ where KTO supports",VERIFIED,"KTO tourism visitor definition kept separate from MOJ foreign entrant"
nationality,nationality_admin,ADMIN,"KTO Korea Tourism Statistics / MOJ","commercial air intelligence only augmentation",NOT_PRIMARY,"methodology studies",NOT_REQUIRED,NOT_REQUIRED,"monthly; long history",VERIFIED,"nationality is not residence country"
country_of_residence,residence_country,SURVEY,"Foreign Tourist Survey; Potential Korea Visitor Survey",NOT_PRIMARY,NOT_PRIMARY,"tourism demand research",OPTIONAL,OPTIONAL,"annual survey; regime-aware",PARTIAL,"never substitute nationality for residence"
age,age_admin_or_survey,ADMIN+SURVEY,"KTO monthly age statistics + Foreign Tourist Survey","platform/booking aggregates if disclosed",NOT_PRIMARY,"KCI/peer-reviewed segmentation studies",OPTIONAL,OPTIONAL,"monthly admin + annual survey",VERIFIED,"admin age bands and survey age bands need crosswalk"
gender,gender_admin_or_survey,ADMIN+SURVEY,"KTO nationality×gender + Foreign Tourist Survey","platform aggregates if disclosed",NOT_PRIMARY,"KCI/peer-reviewed studies",OPTIONAL,OPTIONAL,"monthly admin + annual survey",VERIFIED,"crew/unknown handling preserved"
party_type,party_type_survey,SURVEY,"Foreign Tourist Survey companion type","Booking/Expedia/OTA trend surveys for triangulation","trip narratives only qualitative","tourist party/behavior research",TRAVELER_INTERVIEW,N_TELEMETRY_FUTURE,"annual + monthly tables where report supports",VERIFIED_SOURCE,"friends/partner/family/children/coworkers/parents etc; multiple response possible"
party_size,party_size_survey,SURVEY,"Foreign Tourist Survey where asked","booking occupancy aggregates",NOT_PRIMARY,"party-size research",TRAVELER_INTERVIEW,N_TELEMETRY_FUTURE,"annual",PARTIAL,"do not infer from companion type"
travel_form,travel_form_survey,SURVEY,"Foreign Tourist Survey","OTA/agency disclosed mix","qualitative trip reports","FIT/package/hybrid research",OPTIONAL,N_TELEMETRY_FUTURE,"annual; regime-aware",VERIFIED_SOURCE,"belongs to WHO context and PLAN; keep cross-axis link"
repeat_visit,prior_korea_visit_count,SURVEY,"Foreign Tourist Survey",platform loyalty aggregate if disclosed,NOT_PRIMARY,"repeat visitation research",OPTIONAL,N_TELEMETRY_FUTURE,"annual",VERIFIED_SOURCE,"intent and actual repeat visit separate"
income,income_band,SURVEY,"Foreign Tourist Survey / Potential Visitor Survey only where question exists","card/OTA affluent segment aggregates only proxy",NOT_PRIMARY,"tourism expenditure/segmentation research",TRAVELER_INTERVIEW,N_TELEMETRY_FUTURE,"annual if available",MISSING_HARMONIZATION,"do not manufacture 10y series when question absent/changed"
travel_budget,disposable_travel_budget,SURVEY+TRANSACTION,"Potential Visitor Survey / Foreign Tourist Survey where budget asked","OTA/card/booking spend signals",NOT_PRIMARY,"WTP/budget research",TRAVELER_INTERVIEW,N_TELEMETRY_FUTURE,"annual/current",PARTIAL,"planned budget != actual spend"
occupation,occupation_survey,SURVEY,"Foreign Tourist Survey where collected",NOT_PRIMARY,NOT_PRIMARY,"segmentation research",OPTIONAL,OPTIONAL,"annual/legacy",PARTIAL,"historical comparability must be audited"
education,education_survey,SURVEY,"Foreign Tourist Survey where collected",NOT_PRIMARY,NOT_PRIMARY,"segmentation research",OPTIONAL,OPTIONAL,"annual/legacy",PARTIAL,"not guaranteed every regime"
origin_subregion,origin_region_survey,SURVEY,"2025 Potential Visitor Survey adds within-country subregion sampling",platform geo aggregates if disclosed,NOT_PRIMARY,"origin-market research",OPTIONAL,N_TELEMETRY_FUTURE,"2025+",VERIFIED_RECENT,"newer field; no fake historical backfill"
language,language_profile,SURVEY,"survey where explicit",platform locale aggregate if disclosed,"origin-language community only qualitative","language/friction research",TRAVELER_INTERVIEW,N_TELEMETRY_FUTURE,"current",MISSING_DIRECT,"nationality must not proxy language"
life_stage,life_stage_derived,DERIVED,"official age/household/party inputs",enterprise segmentation,"qualitative context","life-stage travel research",TRAVELER_INTERVIEW,N_TELEMETRY_FUTURE,"derived by period",PROVISIONAL,"derived only with explicit constituent evidence"
