evidence_id,survey_year,source_tier,source_authority,source_title,source_url,source_artifact,source_location,period,geography,dimension,month,published_case_count,unit,definition,methodology_boundary,raw_row_equivalence,license,confidence,status,limitations,acquired_date
FTS2012_MONTH_CASE_01,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-01,"대한민국 출국 외래관광객 조사 표본",month,1,797,명,"공식 보고서 표의 월별 사례수","해당 표의 월별 분석 base/case count를 그대로 등록; 월별 모집단 추정치나 가중합으로 재해석하지 않음",UNKNOWN,"Datalab download-route attachment license UNKNOWN; 동일 2012 공식 보고서의 MCST landing-page KOGL Type 4 evidence는 별도 L1에 등록됨",HIGH,VERIFIED,"web PDF renderer는 endpoint가 application/octet-stream으로 반환되어 screenshot 검증 불가; 검색 인덱스가 공식 PDF의 p.106 표를 직접 노출. respondent raw row count와의 1:1 동일성은 미검증.",2026-08-31
FTS2012_MONTH_CASE_02,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-02,"대한민국 출국 외래관광객 조사 표본",month,2,873,명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_03,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-03,"대한민국 출국 외래관광객 조사 표본",month,3,"1,015",명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_04,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-04,"대한민국 출국 외래관광객 조사 표본",month,4,"1,058",명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_05,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-05,"대한민국 출국 외래관광객 조사 표본",month,5,"1,005",명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_06,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-06,"대한민국 출국 외래관광객 조사 표본",month,6,"1,020",명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_07,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-07,"대한민국 출국 외래관광객 조사 표본",month,7,"1,105",명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_08,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-08,"대한민국 출국 외래관광객 조사 표본",month,8,"1,201",명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_09,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-09,"대한민국 출국 외래관광객 조사 표본",month,9,"1,050",명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_10,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-10,"대한민국 출국 외래관광객 조사 표본",month,10,"1,090",명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_11,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-11,"대한민국 출국 외래관광객 조사 표본",month,11,908,명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_12,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012-12,"대한민국 출국 외래관광객 조사 표본",month,12,899,명,"공식 보고서 표의 월별 사례수","동일",UNKNOWN,"동일",HIGH,VERIFIED,"동일",2026-08-31
FTS2012_MONTH_CASE_SUM,2012,Tier-A,"문화체육관광부·한국문화관광연구원 / 한국관광 데이터랩 공식 배포","2012년 외래관광객 실태조사","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=10899&cbIdx=1603&streFileNm=3c750364-92ba-11e2-834a-111f04d8d31e.pdf",PDF,"표 3-42 월별 동반자 유무, p.106",2012,"대한민국 출국 외래관광객 조사 표본",annual_check,ALL,"12,021",명,"12개 월별 published case count 합계; 표의 전체 사례수 12,021과 일치","12개 월 수치 단순 합계 검산",UNKNOWN,"동일",HIGH,VERIFIED,"raw respondent checksum/row validation을 대체하지 않음",2026-08-31
