axis,variable_family,official_survey_item,available_from,available_to,source_type,status,methodology_note
WHO,nationality,"응답자 국적/국가",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"연도별 국가코드 변경 가능성 있어 코드북 매핑 필요"
WHO,age,"연령",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"연령구간/코딩 방식 연도별 확인 필요"
WHO,gender,"성별",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"장기 공통변수 후보"
WHO,travel_party,"여행 동반자 유형 및 동반자 수",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"2023년 조사문항 확대 이후 명시 확인"
WHO,repeat_visit,"재방문 여부 및 방한 횟수",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"장기 비교 가능성 높으나 문항/코드 확인 필요"
WHY,main_purpose,"한국여행 주요 목적",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"장기 공통 핵심변수"
WHY,korea_selection_reason,"한국 선택 이유",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"2023년 확대 설계에서 명시"
WHY,korea_interest_trigger,"한국여행 관심 계기",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"K-content 영향 분석 핵심"
WHY,asia_competitor_country,"아시아 경쟁 국가",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"대체 목적지/경쟁시장 분석"
WHY,considered_activity_infrastructure,"방한 고려 관광 활동 및 관광 인프라",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"선택단계 WTP/상품설계 proxy"
SEARCH,pretrip_info_exposure,"여행 전 한국 관련 정보 접촉 경로",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"Search/Platform graph 연결"
PAIN,missing_information,"부족했던 한국 관련 정보",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"Information Asymmetry 직접 proxy"
BOOK_PAY,booking_lead_time,"국제 항공권/패키지 상품 예약 시기",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"예약 funnel/lead time"
BOOK_PAY,individual_booking_items,"개별 예약 항목",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"OTA/직접예약 coverage 연결"
WHERE,stay_days_region,"총 체류일 수 및 시도별 체류일수",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"지역별 체류강도"
STAY,accommodation_region,"시도별 주요 숙박 시설",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"숙박 공급 매칭"
DO,participated_activity,"여행 참여 활동",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"연도별 선택지 조화 필요"
DO,satisfied_activity,"여행 만족 활동",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"Revalue 후보 분석"
WHERE,best_place,"가장 좋았던 방문지",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"지역/관광지 entity resolution 필요"
SPEND,total_spend,"지출 총 경비",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"2020부터 국제교통비 포함; 2023 이상치 처리 변경"
SPEND,category_spend,"항목별 경비",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"카테고리 정의 연도별 harmonization 필요"
SPEND,shopping_mix,"쇼핑비 품목별 금액 비중",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"K-commerce/revalue 연결"
SPEND,shopping_place,"쇼핑 장소",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"연도별 선택지 매핑 필요"
SATISFACTION,overall_satisfaction,"전반적 만족도",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"장기 outcome 변수"
SATISFACTION,item_satisfaction,"항목별 만족도",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"문항구성 연도별 확인"
SATISFACTION,revisit_intention,"향후 3년 이내 관광 목적 재방문 의향",2023,2025,"raw data + codebook",VERIFIED_SOURCE,"이전 연도 재방문 의향 문항과 비교 시 wording 확인"
SATISFACTION,recommend_intention,"타인 추천 의향",2007,2025,"raw data + codebook",VERIFIED_SOURCE,"NPS 유사 outcome이나 NPS와 동일시 금지"
