variable,measurement_type,O1,O2,E1,E2,E3,S1,R1,status,limitations,last_verified
foreign_card_tourism_spend,TRANSACTION,"Korea Tourism Data Lab foreign credit-card tourism spend","Foreign Tourist Survey spending items","Card/payment network official outputs",,,"public VOC only for friction clues","research on tourism payment behavior",PARTIAL,"Data Lab credit-card spend is not total foreign-tourist spend; methodology/coverage must be preserved",2026-08-27
foreign_mobile_payment_spend,TRANSACTION,"Korea Tourism Data Lab ZeroPay-based foreign mobile-payment spend",,"payment providers / wallet operators",,,"wallet/payment VOC",,PARTIAL,"Data Lab explicitly states only part of foreign mobile-payment transactions are observable; trend use only; available from 2024 and only countries >=1% of global mobile-payment spend are queryable",2026-08-27
travel_spend_survey,SURVEY,"Foreign Tourist Survey","Korea Tourism Data Lab metadata",,,,"traveler VOC",,PARTIAL,"Survey sample and questionnaire regime changes matter; 2020-2022 are exceptional years",2026-08-27
booking_payment_orchestration,PLATFORM_TRANSACTION,,"Foreign Tourist Survey booking/travel-form variables","Booking.com Payments by Booking.com","GetYourGuide supplier payments","Viator supplier/payment model","supplier/traveler reviews",,PARTIAL,"Platform-specific eligibility, geography and product type affect payment flow",2026-08-27
booking_payout_method,PLATFORM_TRANSACTION,,,"Booking.com bank transfer / VCC","GetYourGuide monthly or bi-monthly supplier payout","Viator supplier payout / net-rate model",,,PARTIAL,"Need Korea-specific supplier account verification before treating payout options as universally available",2026-08-27
ota_commission,PLATFORM_FEE,,,"GetYourGuide: commission only on successful bookings; exact rate country-dependent","Viator: pay-for-performance; minimum commission varies by destination/category; Accelerate can raise commission for exposure","Booking.com commission/help center — property/account-specific verification required",,,PARTIAL,"Do not use blog-industry percentage estimates as ground truth; exact Korea rates require supplier-side validation",2026-08-27
ota_visibility_bid_or_commission,PLATFORM_FEE,,,"Viator Accelerate: supplier can raise commission above minimum for more exposure",,,,"supplier/operator VOC",,VERIFIED_CONCEPT,"Exact uplift and economic effect are product/account dependent",2026-08-27
vat_tax_refund,ADMIN_POLICY,"National Law Information Center current foreign-tourist VAT/individual-consumption-tax special provisions + implementing rule","Korea Customs Service 2026 operational tax-refund guidance",,,,"traveler refund-friction VOC",,CURRENT_PRIMARY_VERIFIED,"Current eligibility/process and purchase-cap rules verified; 2024 threshold and 2026 cruise-access regime breaks identified. Actual refund transactions, operator fees/deductions, traveler net refund and behavioral effects remain UNKNOWN",2026-08-28
platform_price_fx_risk,PLATFORM_TRANSACTION,,,"Viator 2026 supplier agreement explanation: supplier payout protected at Net Rate despite front-end promotional pricing/currency shifts","Booking.com payment orchestration",,,,PARTIAL,"Need contract-level Korea-specific terms for exact FX/fee allocation",2026-08-27
journey_payment_friction,DERIVED,"Foreign Tourist Survey + Tourism Data Lab transaction evidence",,"OTA/payment platform checkout/payment outputs",,"supplier interviews","reviews/VOC by nationality and journey stage","academic payment-friction research",MISSING,"Requires failure/abandonment/refund/decline evidence and ground interviews; cannot infer from spend alone",2026-08-27
supplier_net_margin,DERIVED,"tax/regulatory primary sources",,"OTA contract/commission","PG/payment fees","supplier actual cost structure","supplier interviews",,MISSING,"Core proprietary ground-truth variable; public web alone insufficient",2026-08-27
