survey_year,evidence_field,value,unit_or_scope,provenance,source_tier,period,geography,definition,sample,methodology,limitations,license_or_access,source_url,retrieved_date,confidence,status
2012,producer,"Korea Culture & Tourism Institute",organization,"KOSSDA dataset record for International Visitor survey, 2012; producer deposited official survey artifacts",Tier-B official-producer archive,2012-01~2012-12,Korea inbound foreign visitors,"Producer of the 2012 Foreign Tourist Survey dataset",12021 valid cases,"Official-producer dataset archived by KOSSDA","KOSSDA is the distributor/archive rather than the original government portal; use the Tourism Knowledge Information System as Tier-A artifact authority where available","Copyright: Ministry of Culture, Sports and Tourism; Korea Culture & Tourism Institute; KOSSDA member access for data",https://kossda.snu.ac.kr/handle/20.500.12236/15522,2026-08-31,HIGH,VERIFIED
2012,collection_period,"2012-01 to 2012-12",month,"KOSSDA detailed metadata",Tier-B official-producer archive,2012-01~2012-12,Korea inbound foreign visitors,"Fieldwork covered all 12 months of 2012",12021 valid cases,"Repeated cross-sectional survey; annual aggregation","Exact month-by-month achieved sample counts are not provided in the metadata",same as above,https://kossda.snu.ac.kr/handle/20.500.12236/15522,2026-08-31,HIGH,VERIFIED_ANNUAL_12_MONTH_FIELDWORK
2012,universe,"Foreign travelers age 15+ staying 1 day to 1 year",respondent eligibility,"KOSSDA detailed metadata",Tier-B official-producer archive,2012-01~2012-12,"Departing international travelers at Korean international airports/ports","Universe stated as foreign travelers aged 15 or older with stay length from 1 day through 1 year",12021 valid cases,"Survey of departing foreign travelers","Operational exclusions/edge cases beyond the metadata wording require same-year user guide/questionnaire verification",same as above,https://kossda.snu.ac.kr/handle/20.500.12236/15522,2026-08-31,HIGH,VERIFIED_WITH_OPERATIONAL_DETAILS_PENDING
2012,fieldwork_sites,"Incheon International Airport; Gimpo International Airport; Gimhae International Airport; Jeju International Airport; Incheon International Port; Busan International Port",6 sites,"KOSSDA geographic coverage metadata",Tier-B official-producer archive,2012-01~2012-12,6 international airport/port sites,"Named geographic coverage for 2012 fieldwork",12021 valid cases,"Monthly fieldwork at international airports and ports","Site-specific achieved sample counts and allocation shares are not provided",same as above,https://kossda.snu.ac.kr/handle/20.500.12236/15522,2026-08-31,HIGH,VERIFIED
2012,sampling_procedure,"Proportional quota sampling by nationality, entry route, and sex based on entrant counts",sample design,"KOSSDA detailed metadata",Tier-B official-producer archive,2012-01~2012-12,Korea inbound foreign visitors,"Quota allocation dimensions explicitly listed as nationality × entry route × sex using entrant counts",12021 valid cases,"국적별, 입국경로별 및 성별 입국자수 비례 할당표본추출","Exact cell construction, minimum quotas, replacement rules, and within-cell selection procedure are not stated in the metadata",same as above,https://kossda.snu.ac.kr/handle/20.500.12236/15522,2026-08-31,HIGH,VERIFIED_DIMENSIONS_CELL_RULES_PENDING
2012,number_of_cases,12021,valid respondents,"KOSSDA detailed metadata",Tier-B official-producer archive,2012-01~2012-12,Korea inbound foreign visitors,"Number of valid cases",12021 valid cases,"Annual survey achieved sample","Raw ZIP/SAV row count has not been independently ingested or checksum-verified in this repository",same as above,https://kossda.snu.ac.kr/handle/20.500.12236/15522,2026-08-31,HIGH,VERIFIED_PUBLISHED_VALID_CASE_COUNT_RAW_ROW_VALIDATION_PENDING
2012,weighting,"Post-survey weight proportional to entrant counts by nationality",weighting method,"KOSSDA detailed metadata",Tier-B official-producer archive,2012-01~2012-12,Korea inbound foreign visitors,"국적별 입국자수 비례 사후가중치 부여",12021 valid cases,"Post-survey weighting based on nationality entrant counts","Exact raw weight variable name, formula, population control totals, treatment of zero/small cells, trimming/capping, and normalization are not supplied in the metadata",same as above,https://kossda.snu.ac.kr/handle/20.500.12236/15522,2026-08-31,HIGH,VERIFIED_WEIGHTING_BASIS_FORMULA_PENDING
2012,data_collector,"Millward Brown Media Research",organization,"KOSSDA detailed metadata",Tier-B official-producer archive,2012-01~2012-12,Korea inbound foreign visitors,"Named fieldwork/data collector",12021 valid cases,"Self-administered questionnaire","Contract scope and interviewer quality-control procedures require same-year methodology documentation",same as above,https://kossda.snu.ac.kr/handle/20.500.12236/15522,2026-08-31,HIGH,VERIFIED
2012,mode,"Self-administered questionnaire",survey mode,"KOSSDA detailed metadata",Tier-B official-producer archive,2012-01~2012-12,Korea inbound foreign visitors,"자기기입식",12021 valid cases,"Self-administered survey","Any language-assisted/interviewer-assisted exceptions are not described in this metadata",same as above,https://kossda.snu.ac.kr/handle/20.500.12236/15522,2026-08-31,HIGH,VERIFIED
2012,archived_artifacts,"Questionnaire PDF; SAV data; coding guide PDF; user guide PDF",artifact set,"KOSSDA dataset contents/version metadata",Tier-B official-producer archive,2012,Korea inbound foreign visitors,"Same-year artifact set deposited by Korea Culture & Tourism Institute",12021 valid cases,"KOSSDA lists kor_que_20120098.pdf, kor_coding_guide_20120098.pdf, kor_user_guide_20120098.pdf and data","Dataset access is member-restricted; repository has not ingested the SAV/raw respondent bytes in this evidence run","Copyright: Ministry of Culture, Sports and Tourism; Korea Culture & Tourism Institute; KOSSDA member access",https://kossda.snu.ac.kr/handle/20.500.12236/15522,2026-08-31,HIGH,VERIFIED_ARTIFACT_SET_RAW_BYTES_NOT_INGESTED
