question_or_variable,measurement_needed,O_official_priority,E_enterprise_priority,S_social_voc_priority,R_research_priority,G_or_N_followup,canonical_rule,status
legal_supplier_identity,SUPPLY_REGISTRY,"O1 LOCALDATA/MOIS+local governments; O2 data.go.kr; O3 MCST/KTO official registries","E supplier official site only for identity cross-check","S not canonical","R legal/tourism classification research only","G if identity conflict","Official registry is canonical for legal identity; website/SNS cannot create legal status",LOCKED
open_closed_suspended_state,ADMIN_STATE,"O1 LOCALDATA permit/open/closed status; O2 KTO Tourism Data Lab aggregation","E supplier official site/maps hours as recency signal","S recent posts/reviews only as activity signal","R not primary","G phone/visit when material","registration/open status does not prove current commercial availability",LOCKED
tourism_industry_population,SURVEY_ADMIN,"O1 KCTI Tourism Industry Survey; O2 KOSIS/MCST","E company/industry IR as complement","S not primary","R OECD/UN Tourism for classification comparability","N none","Tourism Promotion Act universe and special-classification universe remain separate",LOCKED
accommodation_capacity,ADMIN_CAPACITY,"O1 MCST nationwide tourist accommodation statistics; O2 local government accommodation registries","E hotel official site/OTA for room/product observations","S traveler reviews for perceived capacity/friction only","R OECD/UN Tourism accommodation-statistics methodology","G/N for actual rooms sellable by date","establishments/rooms != live room-night inventory",LOCKED
visitor_facing_tourism_content,CONTENT_REGISTRY,"O1 KTO TourAPI/VisitKorea; O2 regional tourism organizations/local governments","E Google Maps/Naver/Kakao and supplier sites","S Instagram/YouTube/TikTok/Threads/X","R destination-content/discoverability research","G for missing local assets","TourAPI content != complete business census",LOCKED
multilingual_discoverability,SEARCH_CONTENT,"O1 multilingual KTO/VisitKorea and RTO pages","E1 Google Maps/Travel; E2 OTA/activity platforms; E3 supplier official multilingual pages","S origin-language traveler searches/reviews/community mentions","R information-friction/digital-distribution studies","N search/impression telemetry later","page presence != traveler exposure; translation != service language",LOCKED
platform_listing_presence,PLATFORM_LISTING,"O official partner/listing routes where published","E1 Google Maps/Travel; E2 Booking/Agoda/Trip/Expedia; E3 Klook/KKday/Trazy/Viator/GetYourGuide","S reviews/posts linking or naming the listing","R platform-bias/coverage studies","N own matched listing registry","platform absence != supplier absence",LOCKED
price_visibility,PRICE,"O official tariffs only where genuinely official","E1 supplier official booking site; E2 OTA/activity platform snapshot","S price complaints/perception only","R price/elasticity methodology","N timestamped quote/shop telemetry","store query date currency taxes fees party size and conditions",LOCKED
bookability,BOOKING,"O only official public reservation systems where applicable","E1 supplier booking engine; E2 OTA/activity platform","S booking-friction VOC","R distribution/conversion studies","G mystery booking; N funnel telemetry","listing != bookable; bookable on one channel != supplier-wide bookability",DEFER_REAL_SELLABLE
query_time_inventory,PRICE_INVENTORY,"O public capacity schedules only when direct","E supplier/OTA live availability snapshot","S not canonical","R inventory/capacity methodology","G supplier confirmation; N inventory feed","registered capacity != query-time inventory",DEFER_REAL_SELLABLE
foreign_payment_path,TRANSACTION_ACCESS,"O official payment/tax/refund rules","E supplier checkout; card/PG/OTA payment interface","S failed-payment/workaround VOC","R payment-friction studies","G test/mystery payment; N pay events","payment logos/page != successful foreign-card transaction",DEFER_REAL_SELLABLE
reviews_reputation,REVIEW,"O official complaint/satisfaction surveys as separate universe","E Google/Booking/Agoda/Trip/Klook/KKday/Viator/GetYourGuide review surfaces","S Reddit/YouTube/TikTok/Threads/X/travel forums","R review-bias/sentiment methodology","N post-consumption feedback","review_count != visitor count and platform samples are biased",LOCKED
latent_artisan_workshop_supply,LATENT_SUPPLY,"O local cultural heritage/market/artisan/experience registries where available","E supplier website/maps/local commerce platforms","S1 Instagram/YouTube/TikTok; S2 local/origin-market communities","R creative-tourism/informal-supply research","G essential for operation/willingness; N onboarding","social discovery creates candidate only; never auto-certify supplier",LOCKED
festival_event_supply,EVENT_SUPPLY,"O1 TourAPI/KTO; O2 MCST; O3 local governments/RTO event calendars","E ticketing/organizer official channels","S event social accounts/reviews","R event-tourism research","G for operating/capacity verification","event existence and sellable product are distinct",LOCKED
medical_beauty_wellness_supply,REGISTRY_PLUS_PRODUCT,"O health/tourism official registries; KTO/MCST/local official sources","E hospital/clinic/brand official sites and relevant platforms","S origin-language reviews/SNS","R medical/wellness tourism research","G/N for foreigner intake/payment/conversion","license/registration != tourism-ready foreigner product",LOCKED
transport_tour_guide_supply,REGISTRY_PLUS_PRODUCT,"O MCST/KTO/local tourism business/guide/transport registries","E operator official sites OTA/activity platforms","S traveler route/guide VOC","R mobility/tour operations research","G/N for schedules capacity booking","service existence != route/time availability",LOCKED
regional_supply_gap,CROSS_SOURCE_DIFFERENCE,"O licensing + KTO/RTO content intersections","E platform/map coverage","S latent/local activity signals","R regional accessibility/distribution research","G/N to validate candidates","differences across independent universes are measurements not errors",LOCKED
