component,source_universe,coverage,materialization_status,confidence,limitation,next_owner
legal_admin_supply,LOCALDATA/MOIS/local governments,nationwide official licensing universe,SOURCE_VERIFIED_BULK_MASTER_PENDING,HIGH,"permit/registration status is not live sellability; bulk nationwide dedup not materialized in this run",INGESTION_BACKLOG
tourism_business_aggregation,KTO Tourism Data Lab,nationwide region/category aggregation,SOURCE_VERIFIED,HIGH,"aggregation logic differs from raw entity registry and can change over time",SUPPLY_VERSIONING
tourism_industry_population,KCTI Tourism Industry Survey,national Tourism Promotion Act + special classification universes,SOURCE_VERIFIED,HIGH,"survey/statistical universes differ and must not be merged",HISTORICAL_HARMONIZATION
accommodation_capacity,MCST 2025Q4 nationwide accommodation statistics,17-region category/grade establishment+room counts,SOURCE_VERIFIED_FILE_AVAILABLE,HIGH,"aggregate capacity only; no live availability; KOGL type 4 restrictions must be preserved",SUPPLY_CAPACITY
official_tourism_content,KTO TourAPI/VisitKorea,nationwide visitor-facing content ~260k Korean records / 15 API service types,SOURCE_VERIFIED_API_KEY_REQUIRED,HIGH,"editorial/content universe not business census; actual API bulk ingestion requires authorized access",INGESTION_BACKLOG
multilingual_official_content,KTO multilingual services/VisitKorea,national official foreign-language discovery route,SOURCE_ROUTE_VERIFIED,MEDIUM,"language coverage varies by content and language; not proof of on-site service",DISCOVERABILITY
regional_official_supply,RTO/local governments/data.go.kr,all regions conceptually registered as source universe,SOURCE_UNIVERSE_LOCKED_BULK_VARIANT_PENDING,MEDIUM,"heterogeneous schemas/update cycles/licenses across jurisdictions",REGIONAL_INGESTION
enterprise_maps,Google Maps/Naver Map/Kakao Map,national commercial discoverability route,ROUTE_LOCKED_DYNAMIC_INGESTION_PENDING,MEDIUM,"coverage/ranking/terms/API costs; map listing not legal status",PLATFORM_LAYER
ota_accommodation,Booking/Agoda/Trip/Expedia/Hotels.com/Airbnb,commercial accommodation distribution route,ROUTE_LOCKED_DYNAMIC_INGESTION_PENDING,MEDIUM,"platform-specific query/date inventory; absence not supplier absence",REAL_SELLABLE_SUPPLY
activity_ota,Klook/KKday/Trazy/Viator/GetYourGuide,commercial activity distribution route,ROUTE_LOCKED_DYNAMIC_INGESTION_PENDING,MEDIUM,"dynamic products/prices/inventory; terms and partner API constraints",REAL_SELLABLE_SUPPLY
supplier_first_party,supplier official websites/apps/booking engines,national direct-commercial route,ROUTE_LOCKED_ENTITY_MATCH_PENDING,MEDIUM,"self-reported/stale possible; requires entity matching",REAL_SELLABLE_SUPPLY
social_latent_supply,Instagram/YouTube/TikTok/X/Threads/Reddit/communities,latent/emerging supplier discovery,ROUTE_LOCKED_SYSTEMATIC_CENSUS_NOT_POSSIBLE,LOW_MEDIUM,"no population denominator; platform/origin/language bias",GROUND_INTELLIGENCE
research_methodology,OECD/UN Tourism/KCTI/academic,international/national supply measurement and classification,SOURCE_ROUTE_VERIFIED,HIGH,"research estimates are not canonical live inventory",METHOD_LAYER
entity_resolution,cross-source identity graph,nationwide target contract defined,CONTRACT_COMPLETE_MATERIALIZATION_PARTIAL,MEDIUM,"requires bulk source rows and conflict adjudication",INGESTION_BACKLOG
live_capacity_inventory,enterprise/G/N,query-time supply,DEFERRED_BY_DESIGN,UNKNOWN,"not derivable from registration or aggregate room count",REAL_SELLABLE_SUPPLY
foreigner_usability,enterprise/social/ground/native,language/payment/account/booking suitability,DEFERRED_BY_DESIGN,UNKNOWN,"must be observed by product/channel/date/market",REAL_SELLABLE_SUPPLY
