survey_year,canonical_variable,canonical_axis,official_source,source_type,provenance,period,geography,definition_evidence,unit_evidence,sample,methodology,limitations,license,raw_variable,code_values,weight_variable,confidence,status
2016,travel_type,WHO,https://know.tour.go.kr/ptourknow/tourgoInfoView19Re.do?seq=102717,official KCTI analysis based on 2016 Foreign Tourist Survey,한국문화관광연구원 관광지식정보시스템,2016,Korea inbound foreign visitors,"official analysis explicitly states 여행형태 and reports FIT share for US visitors",percent in published analysis,UNKNOWN,"derived from 2016 Foreign Tourist Survey; year-specific raw/codebook/user-guide separately verified","published analysis confirms concept and example statistic but not exact raw variable name/question wording/full code frame/universe/weight",공공누리 출처표시,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,CONCEPT_VERIFIED_FIELD_EXTRACTION_PENDING
2016,visit_purpose,WHY,https://know.tour.go.kr/ptourknow/tourgoInfoView19Re.do?seq=102717,official KCTI analysis based on 2016 Foreign Tourist Survey,한국문화관광연구원 관광지식정보시스템,2016,Korea inbound foreign visitors,"official analysis explicitly states 방한목적 and reports purpose shares for China and US visitors",percent in published analysis,UNKNOWN,"derived from 2016 Foreign Tourist Survey; year-specific raw/codebook/user-guide separately verified","exact raw variable name/question wording/full categories/universe/weight remain UNKNOWN",공공누리 출처표시,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,CONCEPT_VERIFIED_FIELD_EXTRACTION_PENDING
2016,major_activity,DO,https://know.tour.go.kr/ptourknow/tourgoInfoView19Re.do?seq=102717,official KCTI analysis based on 2016 Foreign Tourist Survey,한국문화관광연구원 관광지식정보시스템,2016,Korea inbound foreign visitors,"official analysis explicitly states 주요활동 and reports shopping share for Chinese visitors",percent in published analysis,UNKNOWN,"derived from 2016 Foreign Tourist Survey","multiple-response treatment and exact raw coding/universe/weight remain UNKNOWN",공공누리 출처표시,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,CONCEPT_VERIFIED_FIELD_EXTRACTION_PENDING
2016,major_visited_place,DO,https://know.tour.go.kr/ptourknow/tourgoInfoView19Re.do?seq=102717,official KCTI analysis based on 2016 Foreign Tourist Survey,한국문화관광연구원 관광지식정보시스템,2016,Korea inbound foreign visitors,"official analysis explicitly states 주요방문지 and reports Myeong-dong share for Chinese visitors",percent in published analysis,UNKNOWN,"derived from 2016 Foreign Tourist Survey","place code frame/multiple-response treatment/raw name/universe/weight remain UNKNOWN",공공누리 출처표시,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,CONCEPT_VERIFIED_FIELD_EXTRACTION_PENDING
2016,information_source,SEARCH,https://know.tour.go.kr/ptourknow/tourgoInfoView19Re.do?seq=102717,official KCTI analysis based on 2016 Foreign Tourist Survey,한국문화관광연구원 관광지식정보시스템,2016,Korea inbound foreign visitors,"official analysis explicitly lists 방한정보 입수경로 among examined survey dimensions",category/percent not fully exposed in page summary,UNKNOWN,"derived from 2016 Foreign Tourist Survey","summary confirms concept only; exact values/raw name/wording/codes/universe/weight remain UNKNOWN",공공누리 출처표시,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,CONCEPT_VERIFIED_FIELD_EXTRACTION_PENDING
2016,total_expenditure,SPEND,https://know.tour.go.kr/ptourknow/tourgoInfoView19Re.do?seq=102717,official KCTI analysis based on 2016 Foreign Tourist Survey,한국문화관광연구원 관광지식정보시스템,2016,Korea inbound foreign visitors,"official analysis explicitly states 지출금액; examples include China 2059.5 USD and Japan 813.9 USD",USD in published examples,UNKNOWN,"derived from 2016 Foreign Tourist Survey","whether value is per-person trip total and exact inclusion/exclusion rules must be checked in same-year codebook/user-guide; do not equate with card spend",공공누리 출처표시,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,CONCEPT_AND_PUBLISHED_UNIT_VERIFIED_DEFINITION_EXTRACTION_PENDING
2016,stay_length,STAY,https://know.tour.go.kr/ptourknow/tourgoInfoView19Re.do?seq=102717,official KCTI analysis based on 2016 Foreign Tourist Survey,한국문화관광연구원 관광지식정보시스템,2016,Korea inbound foreign visitors,"official analysis explicitly states 체류기간; Japan example 3.9 days",days in published example,UNKNOWN,"derived from 2016 Foreign Tourist Survey","eligibility criterion/raw variable/category-vs-continuous representation/universe/weight remain UNKNOWN",공공누리 출처표시,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,CONCEPT_AND_PUBLISHED_UNIT_VERIFIED_FIELD_EXTRACTION_PENDING
2016,satisfaction,AFTER,https://know.tour.go.kr/ptourknow/tourgoInfoView19Re.do?seq=102717,official KCTI analysis based on 2016 Foreign Tourist Survey,한국문화관광연구원 관광지식정보시스템,2016,Korea inbound foreign visitors,"official analysis explicitly lists 만족도 among examined survey dimensions",scale/category not exposed in page summary,UNKNOWN,"derived from 2016 Foreign Tourist Survey","exact scale/raw variable/question wording/universe/weight remain UNKNOWN",공공누리 출처표시,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,CONCEPT_VERIFIED_FIELD_EXTRACTION_PENDING
2016,official_report_artifact,PROVENANCE,https://know.tour.go.kr/stat/fReportsOfForeignerDis19Re.do?pageIndex=2&searchCondition=res_year,official report registry,한국문화관광연구원 관광지식정보시스템,2016,Korea inbound foreign visitors,"2016년 외래관광객 실태조사 보고서 PDF listed; registered 2017-06-08",PDF artifact,UNKNOWN,official report registry,"binary report contents not ingested in this run",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,REPORT_ARTIFACT_VERIFIED
2016,user_guide_artifact,PROVENANCE,https://know.tour.go.kr/stat/fUserGuideOfForeignerDis19Re.do,official user-guide registry,한국문화관광연구원 관광지식정보시스템,2016,Korea inbound foreign visitors,"외래관광객 실태조사 유저가이드 PDF listed; registered 2017-06-01",PDF artifact,UNKNOWN,official user-guide registry,"binary user-guide contents not ingested in this run",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,USER_GUIDE_ARTIFACT_VERIFIED
