name,address,phone,source_class,verification_status
콩스타일 사랑채,"경기도 안성시 공도읍 마정리 223-160",,public_data_secondary,C
한채당한옥체험관(석천재),"경기도 하남시 배알미동 산 152-1",031-792-8000,public_data_secondary,C
오담,"경기도 안성시 대덕면 모산리 374",,public_data_secondary,C
서연재,"경기도 수원시 팔달구 장안동 322-27 서연재",,public_data_secondary,C
뜨레비앙,"경기도 용인시 처인구 호동 477",,public_data_secondary,C
한옥에서의 하루- 예랑,"경기도 용인시 처인구 양지면 주북리 324-2번지",,public_data_secondary,C
양평한옥 힐링쉼터,"경기도 양평군 옥천면 용천리 191-15",,public_data_secondary,C
사과향기펜션,"경기도 가평군 가평읍 승안리 325-1번지",031-582-2751,public_data_secondary,C
자연건강원,"경기도 가평군 하면 대보리 73-2번지",031-584-4027,public_data_secondary,C
장락원,"경기도 가평군 설악면 미사리 4-1번지",315847279,public_data_secondary,C
취옹예술회관,"경기도 가평군 상면 행현리 561번지",031-585-8649,public_data_secondary,C
부천공방거리,"경기도 부천시 상동 529-2 영상문화단지내 공방거리",326-1542,public_data_secondary,C
기역 서민 한옥,"경기도 양평군 강상면 송학리 550-1",,public_data_secondary,C
한울채,"경기도 남양주시 수동면 입석리 132-11",,public_data_secondary,C
한옥스테이 고유,"경기도 수원시 팔달구 신풍동 89-1",063-225-2959,public_data_secondary,C
종이미술관,"경기도 안산시 단원구 대부남동 460-134번지",,public_data_secondary,C
김포아트빌리지(한옥마을),"경기도 김포시 운양동 1325-1번지 한옥마을(아트하우스)",,public_data_secondary,C
유선재,"경기도 양평군 양동면 고송리 312-2",,public_data_secondary,C
가람나무,"경기도 파주시 송촌동 198-3번지",,public_data_secondary,C
한옥체험마을 살림채,"경기도 파주시 송촌동 198-10번지",,public_data_secondary,C
양평한옥힐링 쉼터,"경기도 양평군 옥천면 용천리 191-15",,public_data_secondary,C
여여제,"경기도 수원시 팔달구 신풍동 123-90번지",,public_data_secondary,C
매홀재,"경기도 수원시 팔달구 북수동 31-1번지",,public_data_secondary,C
한옥노아재,"경기도 수원시 팔달구 신풍동 89-4번지",031-245-2456,public_data_secondary,C
수원 한옥미가,"경기도 수원시 팔달구 지동 114-5번지",,public_data_secondary,C
백미응서재,"경기도 화성시 서신면 백미리 564",031-357-3053,public_data_secondary,C
옥란재,"경기도 화성시 서신면 용두리 95번지 1호",031-357-2950,public_data_secondary,C
the.한울,"경기도 용인시 처인구 양지면 주북리 159-1번지",,public_data_secondary,C
파주한옥펜션,"경기도 파주시 적성면 마지리 266-3",,public_data_secondary,C
한울,"경기도 용인시 처인구 양지면 주북리 159-7번지",,public_data_secondary,C
금상처마,"경기도 용인시 처인구 유방동 805-2번지",,public_data_secondary,C
황토한옥힐링타운,"경기도 용인시 처인구 운학동 48번지",,public_data_secondary,C
사나사한옥체험방,"경기도 양평군 옥천면 용천리 산 88-6번지",,public_data_secondary,C
장연 한옥체험센터,"경기도 양평군 개군면 상자포리 237번지",,public_data_secondary,C
아델라 한옥,"경기도 양평군 개군면 공세리 227-18",,public_data_secondary,C
한옥마을 황토펜션,"경기도 양평군 강하면 전수리448-5번지",031-773-6300,public_data_secondary,C
서계 고택,"경기도 의정부시 장암동 197번지",031-836-8600,public_data_secondary,C
이천백사 산수유영농조합법인,"경기도 이천시 백사면 도립리 522번지",031-632-4304,public_data_secondary,C
이고을,"경기도 양주시 남면 신암리 169-1번지",,public_data_secondary,C
한옥에서의 하루 – 예랑(1),"경기도 용인시 처인구 양지면 주북리 324-1번지",,public_data_secondary,C
한옥에서의 하루 – 예랑(2),"경기도 용인시 처인구 양지면 주북리 324-3번지",,public_data_secondary,C
예직한옥체험마을,"경기도 용인시 처인구 호동 365-34번지",,public_data_secondary,C
효종당,"경기도 용인시 기흥구 동백동 66-1번지",031-282-6779,public_data_secondary,C
송담 고택,"경기도 용인시 처인구 이동읍 어비리 933-2번지",,public_data_secondary,C
행복한 흙집,"경기도 양평군 서종면 명달리 67번지",031-774-1515,public_data_secondary,C
정와한옥마을 우정관,"경기도 고양시 일산동구 사리현동 642-13번지 우정관",,public_data_secondary,C
정와한옥마을 용기관,"경기도 고양시 일산동구 사리현동 642-10번지 용기관",,public_data_secondary,C
정와한옥마을 예절관Ⅰ,"경기도 고양시 일산동구 사리현동 642-3번지 예절관Ⅰ",,public_data_secondary,C
정와한옥마을 예절관Ⅱ,"경기도 고양시 일산동구 사리현동 642-47번지 예절관Ⅱ",,public_data_secondary,C
독산관광농원 충효관,"경기도 고양시 일산동구 사리현동 642-19번지 충효관",,public_data_secondary,C
독산관광농원 지혜관Ⅰ,"경기도 고양시 일산동구 사리현동 642-69번지 지혜관Ⅰ",,public_data_secondary,C
독산관광농원 지혜관Ⅱ,"경기도 고양시 일산동구 사리현동 642-77번지 지혜관Ⅱ",,public_data_secondary,C
독산관광농원 창의관Ⅰ,"경기도 고양시 일산동구 사리현동 642-44번지 창의관Ⅰ",,public_data_secondary,C
일산한옥마을정와 창의관Ⅱ,"경기도 고양시 일산동구 사리현동 642-11번지 창의관Ⅱ",,public_data_secondary,C
북한산한옥팬션,"경기도 고양시 덕양구 지축동",,public_data_secondary,C
조선왕가,"경기도 연천군 연천읍 고문리417-1번지",031-834-8383,public_data_secondary,C
