rule_id,left_measure,right_measure,relation,reason,allowed_use
PF-001,complaint_count,pain_prevalence,NOT_EQUAL,"complaints require recognition,channel access and submission; many incidents unreported","use complaint count as surfaced administrative signal only"
PF-002,reported_complaint,verified_violation,NOT_EQUAL,"investigation can confirm or reject allegations","model reporting and verification as separate states"
PF-003,support_contact,complaint,NOT_EQUAL,"questions/interpretation/help requests may not be complaints","retain contact purpose/type"
PF-004,negative_review,failure_event,NOT_EQUAL,"review is post-experience expression with platform selection","use as VOC signal unless transaction denominator disclosed"
PF-005,review_count,customer_count,NOT_EQUAL,"not all customers review and platform may aggregate histories","never use reviews as tourist counts"
PF-006,social_post_count,incident_count,NOT_EQUAL,"posting propensity and algorithms dominate exposure","taxonomy/hypothesis only"
PF-007,engagement,incidence,NOT_EQUAL,"views/likes/comments reflect attention not event frequency","trend/discovery only"
PF-008,source_language,nationality,NOT_EQUAL,"multilingual travelers and code-switching are common","language is a communication attribute"
PF-009,platform_locale,residence,NOT_EQUAL,"locale can be selected or inferred independently of residence","do not classify origin solely from locale"
PF-010,workaround_success,no_friction,NOT_EQUAL,"traveler may incur time/money/cognitive cost and still complete journey","record workaround cost separately"
PF-011,no_complaint,no_pain,NOT_EQUAL,"absence of reporting is unobserved state without denominator","use UNKNOWN rather than zero"
PF-012,complaints_per_arrival,population_failure_rate,NOT_EQUAL,"complaint channel capture varies by language/time/awareness","at most label as reported-complaint intensity with explicit caveats"
PF-013,translation_output,original_evidence,NOT_EQUAL,"translation can alter nuance/slang/sarcasm","preserve source language and translation metadata"
PF-014,platform_negative_share,cross_platform_negative_share,NOT_COMPARABLE,"moderation,eligibility,ranking and review solicitation differ","compare within platform unless harmonized design exists"
PF-015,pre_post_service_change,causal_effect,NOT_EQUAL,"other temporal changes may explain differences","treat as quasi-experiment candidate only"
PF-016,zero,MISSING,NOT_EQUAL,"zero requires verified absence within a defined observable universe","unverified absence remains MISSING/NOT_VERIFIED"
