period,country,arrivals,source_id,source_status,notes
2023-01,TOTAL,434429,SRC-KTO-STAT-202301,VERIFIED,"한국관광공사 2023년 1월 한국관광통계"
2023-01,중국,24946,SRC-KTO-STAT-202301,VERIFIED,
2023-01,日本,66900,SRC-KTO-STAT-202301,VERIFIED,
2023-01,대만,49477,SRC-KTO-STAT-202301,VERIFIED,
2023-01,미국,49120,SRC-KTO-STAT-202301,VERIFIED,
2023-01,홍콩,26777,SRC-KTO-STAT-202301,VERIFIED,
2023-01,태국,25823,SRC-KTO-STAT-202301,VERIFIED,
2023-01,필리핀,15759,SRC-KTO-STAT-202301,VERIFIED,
2023-01,베트남,21621,SRC-KTO-STAT-202301,VERIFIED,
2023-01,말레이시아,11058,SRC-KTO-STAT-202301,VERIFIED,
2023-01,러시아,9151,SRC-KTO-STAT-202301,VERIFIED,
2023-01,인도네시아,12838,SRC-KTO-STAT-202301,VERIFIED,
2023-01,싱가포르,13316,SRC-KTO-STAT-202301,VERIFIED,
2024-01,TOTAL,880881,SRC-KTO-STAT-202401,VERIFIED,"한국관광공사 2024년 1월 한국관광통계"
2024-01,중국,280035,SRC-KTO-STAT-202401,VERIFIED,
2024-01,日本,143152,SRC-KTO-STAT-202401,VERIFIED,
2024-01,대만,93589,SRC-KTO-STAT-202401,VERIFIED,
2024-01,미국,61754,SRC-KTO-STAT-202401,VERIFIED,
2024-01,홍콩,25755,SRC-KTO-STAT-202401,VERIFIED,
2024-01,태국,20516,SRC-KTO-STAT-202401,VERIFIED,
2024-01,필리핀,26908,SRC-KTO-STAT-202401,VERIFIED,
2024-01,베트남,21397,SRC-KTO-STAT-202401,VERIFIED,
2024-01,말레이시아,16913,SRC-KTO-STAT-202401,VERIFIED,
2024-01,러시아,11508,SRC-KTO-STAT-202401,VERIFIED,
2024-01,인도네시아,19274,SRC-KTO-STAT-202401,VERIFIED,
2024-01,싱가포르,14036,SRC-KTO-STAT-202401,VERIFIED,
