survey_year,canonical_variable,canonical_axis,official_source,source_tier,provenance,period,geography,definition_evidence,unit_evidence,sample,methodology,universe_filter,limitations,license,raw_variable,code_values,weight_variable,sample_design,stay_criterion,expenditure_basis,missing_codes,comparability_status,regime_break,confidence,status
2018,survey_population,PROVENANCE,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14328&cbIdx=1127&streFileNm=522dfda4-6d8e-11e9-b01e-c515ccf49883.pdf,Tier-A,한국관광공사/문화체육관광부 2018 외래관광객 실태조사 최종보고서,2018,Korea inbound foreign visitors,"목표 모집단은 2018년 방한 외래관광객; 조사 모집단은 만 15세 이상, 한국 체류기간 90일 이하, 국내 6개 국제공항(인천·김포·김해·제주·대구·청주) 및 2개 국제항(인천항·부산항)을 통해 출국하는 외국인",persons,16469,"2018년 1~12월 입국 관광통계를 모집단 프레임으로 사용; 현장 출국자 조사","한국 국적 해외교포 제외; 환승을 위해 한국에서 숙박만 하고 출국하는 경우 제외; 크루즈 여행객 제외; 유니폼 착용 기장·승무원·군인 제외(사복+관광목적 예외)","PDF download endpoint is served as application/octet-stream in this run; browser-indexed official report text was used and binary respondent rows were not ingested",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"monthly sample totals officially published; full allocation/strata/PSU/weight construction not yet extracted","90일 이하",UNKNOWN,UNKNOWN,METHODOLOGY_REGIME_VERIFIED,"2017의 1일 이상 1년 이하에서 2018은 90일 이하로 축소; 크루즈 여행객 명시 제외",HIGH,METHODOLOGY_AND_UNIVERSE_VERIFIED
2018,population_frame,WHO,https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=14328&cbIdx=1127&streFileNm=522dfda4-6d8e-11e9-b01e-c515ccf49883.pdf,Tier-A,한국관광공사/문화체육관광부 2018 외래관광객 실태조사 최종보고서,2018-01-01/2018-12-31,Korea inbound foreign visitors,"2018년 입국자 중 교포·승무원·크루즈 여행객 제외 모집단 총 14,040,913명",persons,14040913,"월별·거주국별 입국 관광통계를 이용한 모집단 현황 제시",same as survey_population row,"this is survey population-frame count, not achieved respondent sample and not raw microdata row count",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,POPULATION_FRAME_VERIFIED,"cruise exclusion changes population frame relative to pre-2018 results",HIGH,POPULATION_FRAME_VERIFIED
2018,achieved_sample,WHO,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14291&cateCont=spt06&cbIdx=1127,Tier-A,한국관광공사 한국관광데이터랩 2018 외래관광객 실태조사 4분기 주요결과(잠정치),2018,Korea inbound foreign visitors,"총 조사규모 16,469명; 매월 약 1,372명",persons,16469,"자기기입식 또는 현장 대면 문답식; 12종 언어 설문지 중 응답자 언어권 고려","same-year survey population; exact per-cell allocation and achieved response-rate denominator not exposed on this page","quarterly page is a provisional-results publication; use final report for final estimates",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Q1 4,164; Q2 4,096; Q3 4,078; Q4 4,131","90일 이하",UNKNOWN,UNKNOWN,SAMPLE_SIZE_AND_MONTHLY_GRANULARITY_VERIFIED,"2018 target planned sample expanded from 13,841 to 16,000; achieved sample 16,469",HIGH,SAMPLE_SIZE_VERIFIED
2018,monthly_sample,WHEN,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14291&cateCont=spt06&cbIdx=1127,Tier-A,한국관광공사 한국관광데이터랩 2018 외래관광객 실태조사 4분기 주요결과(잠정치),2018-01-01/2018-12-31,Korea inbound foreign visitors,"월별 실현 표본: 1월 1,394; 2월 1,390; 3월 1,380; 4월 1,372; 5월 1,366; 6월 1,358; 7월 1,353; 8월 1,327; 9월 1,398; 10월 1,367; 11월 1,367; 12월 1,397",persons per month,16469,"월 1회 조사 운영; 분기별 잠정 공표 도입","same-year survey population","sample counts establish monthly fieldwork granularity but do not establish that every variable is safely estimable monthly or that published quarterly estimates equal annual final estimates",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,MONTHLY_SAMPLE_GRANULARITY_VERIFIED,"do not invent monthly estimates from sample counts alone",HIGH,MONTHLY_SAMPLE_COUNTS_VERIFIED
2018,sample_scope,WHO,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14291&cateCont=spt06&cbIdx=1127,Tier-A,한국관광공사 한국관광데이터랩 공식 조사연혁,2018,Korea inbound foreign visitors,"몽골 관광객을 조사대상에 추가; 조사장소에 인천국제공항 제2여객터미널 추가",survey frame,16469,"2017의 19개국 체계에서 몽골 추가; 조사장소 확대",same-year survey population,"exact country coding and allocation require same-year HWP codebook/country-city codebook extraction",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,SAMPLE_FRAME_BREAK_VERIFIED,"2018 몽골 추가 + 인천공항 제2터미널 추가 + 체류기준 90일 이하 + 크루즈 제외",HIGH,SAMPLE_FRAME_BREAK_VERIFIED
2018,publication_cadence,PROVENANCE,https://datalab.visitkorea.or.kr/site/portal/ex/bbs/View.do?bcIdx=14291&cateCont=spt06&cbIdx=1127,Tier-A,한국관광공사 한국관광데이터랩 공식 공표방식 안내,2018,Korea inbound foreign visitors,"공표 방식이 기존 연간 1회 확정치 결과보고서에서 연간 1회 확정치 + 분기별 잠정치 결과보고서로 변경",publication cadence,UNKNOWN,official publication policy,UNKNOWN,"quarterly results are explicitly provisional and must not be silently substituted for annual finalized results",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PUBLICATION_REGIME_VERIFIED,"2018부터 quarterly provisional publication added",HIGH,PUBLICATION_REGIME_VERIFIED
2018,questionnaire_artifact,PROVENANCE,https://know.tour.go.kr/stat/fQuestionnaireOfForeignerDis19Re.do,Tier-A,관광지식정보시스템 공식 설문지 registry,2018,Korea inbound foreign visitors,"2018년 외래관광객 실태조사 설문지 PDF listed; registered 2019-07-08; same survey questionnaire also attached to official 2018 Q4 provisional-results page",PDF artifact,UNKNOWN,official registry,UNKNOWN,"questionnaire binary/question wording not parsed in this run",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,ARTIFACT_VERIFIED,"same-year wording exists and should be used instead of adjacent-year inference",HIGH,QUESTIONNAIRE_ARTIFACT_VERIFIED_FIELD_EXTRACTION_PENDING
2018,codebook_artifact,PROVENANCE,https://know.tour.go.kr/stat/fCodeBookOfForeignerDis19Re.do,Tier-A,관광지식정보시스템 공식 코드북 registry,2018,Korea inbound foreign visitors,"2018년 외래관광객실태조사 코드북 HWP 및 별도 국가·도시 코드북 HWP listed; both registered 2019-07-08",HWP artifacts,UNKNOWN,official registry,UNKNOWN,"HWP binary fields not directly parsed in this run; raw variable names/code values remain pending",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,ARTIFACT_VERIFIED,"same-year codebook exists; no adjacent-year variable equivalence may be assumed",HIGH,CODEBOOK_ARTIFACT_VERIFIED_RAW_FIELD_EXTRACTION_PENDING
2018,raw_data_artifact,PROVENANCE,https://know.tour.go.kr/stat/fRawDataDownloadDis19Re.do,Tier-A,관광지식정보시스템 공식 데이터다운로드 registry,2018,Korea inbound foreign visitors,"2018년 외래관광객 실태조사 원자료.zip listed as individual raw-data download",ZIP raw artifact,UNKNOWN,official download registry,UNKNOWN,"download requires applicant information/consent workflow; respondent bytes not ingested in this run",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,RAW_ARTIFACT_ACCESS_VERIFIED,"raw availability verified but BULK_INGESTION remains pending",HIGH,OFFICIAL_RAW_DOWNLOAD_ENTRY_VERIFIED_NOT_INGESTED
2018,annual_report_artifact,PROVENANCE,https://know.tour.go.kr/stat/fReportsOfForeignerDis19Re.do,Tier-A,관광지식정보시스템 공식 보고서 registry,2018,Korea inbound foreign visitors,"2018년 외래관광객 실태조사 보고서 PDF listed; registered 2019-07-08",PDF annual final report,UNKNOWN,official registry,UNKNOWN,"annual report is the final-result authority; browser download endpoint served application/octet-stream during this run, so no binary archival copy was committed",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"90일 이하",UNKNOWN,UNKNOWN,ARTIFACT_VERIFIED,"final annual report must take precedence over quarterly provisional estimates where they differ",HIGH,ANNUAL_FINAL_REPORT_ARTIFACT_VERIFIED
