survey_year,evidence_type,raw_variable,canonical_variable,question_wording,code_values,universe_filter,unit,weight_variable,sample_design,stay_criterion,geography,missing_codes,source_artifact,source_tier,provenance,methodology,limitations,license,confidence,notes
2013,FIELD,q1,travel_form,"문1. 여행 형태","1=개별여행;2=단체여행;3=Air-tel Tour;9=모름/무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","만 15세 이상; 체류 1일~1년 이내 외국인 여행객","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",9,"2013년 외래관광객 실태조사 코드북",A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","현지조사 매월 실시; 자기기입식","PDF endpoint returns application/octet-stream in direct open; row-level respondent bytes not ingested",UNKNOWN,HIGH,"same-year codebook field; do not infer cross-year equivalence"
2013,FIELD,q2b,recent_visit_count_3y,"문2-2. 최근 3년간 한국방문 횟수","1=1회;2=2회;3=3회;4=4회이상;9=모름/무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","만 15세 이상; 체류 1일~1년 이내 외국인 여행객","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",9,"2013년 외래관광객 실태조사 코드북",A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","현지조사 매월 실시; 자기기입식","reference window is explicitly recent 3 years; raw companion w q2b exists; raw numeric domain not extracted",UNKNOWN,HIGH,"w q2b=원자료 companion verified"
2013,FIELD,q2c,last_visit_quarter,"문2-3. 최근 한국방문시기(년도&분기)","5=2009Q1;6=2009Q2;7=2009Q3;8=2009Q4;9=2010Q1;10=2010Q2;11=2010Q3;12=2010Q4;13=2011Q1;14=2011Q2;15=2011Q3;16=2011Q4;17=2012Q1;18=2012Q2;19=2012Q3;20=2012Q4;9999=무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","만 15세 이상; 체류 1일~1년 이내 외국인 여행객","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",9999,"2013년 외래관광객 실태조사 코드북",A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","현지조사 매월 실시; 자기기입식","search-index excerpt shows 2009-2012 quarter codes; no 2013 quarter codes visible in extracted snippet; do not extrapolate",UNKNOWN,MEDIUM,"q2c1 year-only derived/raw field also visible with 9=2009;10=2010;11=2011;12=2012;99=무응답"
2013,FIELD,q3a2,stay_length,"문3-2. 한국체류기간","1=1일;2=2일;3=3일;4=4일;5=5일;6=6일;7=7일;8=8일;9=9일;10=10일;11=11~60일;12=61일 이상;999=무응답",UNKNOWN,days/categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","만 15세 이상; 체류 1일~1년 이내 외국인 여행객","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",999,"2013년 외래관광객 실태조사 코드북",A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","현지조사 매월 실시; 자기기입식","m q3a2 and m m q3a2 raw companions visible; exact raw numeric domain not extracted",UNKNOWN,HIGH,"m m q3a2 described as 원자료(61일 이상 SYSM ISS) in indexed snippet"
2013,FIELD,q5,trip_decision_lead_time,"문5. 한국여행 결정 시점","1=1개월;2=2개월;3=3~4개월;4=5~9개월;5=10개월 이상;99=무응답",UNKNOWN,months/categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","만 15세 이상; 체류 1일~1년 이내 외국인 여행객","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",99,"2013년 외래관광객 실태조사 코드북",A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","현지조사 매월 실시; 자기기입식","m q5 raw-month companion exists; exact raw numeric domain not extracted",UNKNOWN,HIGH,"same-year categorical lead-time mapping"
2013,FIELD,q6,competing_destination_considered,"문6. 여행전 다른 국가 방문 검토 여부","1=여행 계획시 처음부터 한국을 목적지로 선정했다;2=다른 국가와 비교하여 최종적으로 한국을 목적지로 선정했다;9=무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","만 15세 이상; 체류 1일~1년 이내 외국인 여행객","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",9,"2013년 외래관광객 실태조사 코드북",A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","현지조사 매월 실시; 자기기입식","skip/universe mechanics for q6a* not exposed in indexed snippet",UNKNOWN,HIGH,"do not infer q6a response mechanics beyond visible fields"
2013,FIELD,q6a1,competing_destination_1,"문6. 여행전 방문 검토 국가1","1=일본;2=중국;3=홍콩;4=싱가포르;5=대만;6=호주;7=태국;8=미국;9=캐나다;10=영국;11=독일;12=프랑스;13=러시아;65=인도;995=말레이시아;996=중동;997=기타;999=모름/무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","만 15세 이상; 체류 1일~1년 이내 외국인 여행객","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항","999;997=other not missing","2013년 외래관광객 실태조사 코드북",A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","현지조사 매월 실시; 자기기입식","q6a2-q6a5 field presence visible but codes not separately restated; do not assume identical mechanics without full page",UNKNOWN,HIGH,"country-code list is same-year evidence only"
2013,FIELD,q7,visit_purpose,"문7. 방한 목적","1=여가·위락·개별휴가;2=뷰티·건강 및 치료;3=종교 및 순례;4=쇼핑;5=친구·친지 방문;6=사업 또는 전문 활동;7=교육;8=기타;99=모름/무응답",UNKNOWN,categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","만 15세 이상; 체류 1일~1년 이내 외국인 여행객","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",99,"2013년 외래관광객 실태조사 코드북",A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","현지조사 매월 실시; 자기기입식","single/multiple response mechanics not exposed in indexed excerpt",UNKNOWN,HIGH,"same-year purpose categories"
2013,FIELD,q7a1,travel_motivation_rank1,"문7-1. 여행동기(1순위)","1=자연풍경;2=쇼핑;3=역사/문화유적;4=음식/미식탐방;5=휴양/휴식;6=유흥/놀이시설;7=패션·유행 등 세련된 문화;8=기후/뚜렷한 사계절;9=경제적인 여행비용;10=거리;11=안전;12=숙박시설/편리한 교통;13=K-POP/한류스타 팬미팅 등을 경험하고 싶어서;14=치료(병의원방문);15=이·미용 서비스;16=여행 가능한 여가시간;97=기타;99=모름/무응답",UNKNOWN,ranked categorical,UNKNOWN,"국적별·입국경로별·성별 입국자수 비례 할당표본추출","만 15세 이상; 체류 1일~1년 이내 외국인 여행객","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",99,"2013년 외래관광객 실태조사 코드북",A,"KTO Tourism Data Lab official same-year codebook download endpoint/search index","현지조사 매월 실시; 자기기입식","q7a2/q7a3 second/third-rank fields visible; exact tie/skip mechanics not extracted",UNKNOWN,MEDIUM,"OCR/search-index line wrapping may compress labels; values preserved conservatively"
2013,METHOD,NA,NA,"2013 survey wave methodology",NA,"만 15세 이상의 1일-1년 이내 체류 외국인 여행객",respondents,UNKNOWN,"국적별·입국경로별 및 성별 입국자수 비례 할당표본추출","1일-1년 이내","인천국제공항;김포국제공항;김해국제공항;제주국제공항;인천국제항;부산국제항",NA,"KOSSDA A1-2013-0101 detailed metadata",B,"Producer=Korea Culture & Tourism Institute; distributor=KOSSDA; collection=2013-01~2013-12; cases=12030","repeated cross-sectional; self-administered; monthly fieldwork; weighting=있음","KOSSDA page states weighting exists but does not expose exact formula/variable/control totals in viewed metadata; member access for data",UNKNOWN,HIGH,"questionnaire PDF 354.6 kB; coding guide PDF 707.28 kB; user guide PDF 508.29 kB; copyright holders listed as MCST and KCTI; do not equate copyright statement with reuse license"
