survey_year,raw,questionnaire,codebook,user_guide,report,country_city_code,access_status,regime_status,canonical_truth_note,verified_at
2007,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,NOT_VERIFIED_ON_CURRENT_LIST,UNKNOWN,NOT_VERIFIED,APPLICATION_REQUIRED,BASELINE_PRE_2008_EXPANSION,"raw ZIP/codebook/questionnaire verified; do not infer guide/report",2026-08-28
2008,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,NOT_VERIFIED_ON_CURRENT_LIST,UNKNOWN,NOT_VERIFIED,APPLICATION_REQUIRED,REGIME_BREAK_INDIA_ADDED_SAMPLE_11453_TO_11978,"population/weighting continuity with 2007 must be checked directly",2026-08-28
2009,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,APPLICATION_REQUIRED,PROVENANCE_REGIME_ADMIN_KTO_TO_KCTI,"administration transfer is provenance/methodology marker; not automatic discontinuity",2026-08-28
2010,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,APPLICATION_REQUIRED,FIELD_CROSSWALK_REQUIRED,"official raw ZIP and codebook verified; supporting artifacts remain unpromoted without direct evidence",2026-08-28
2011,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,APPLICATION_REQUIRED,REGIME_BREAK_ELIGIBLE_STAY_DURATION_EXPANDED,"official raw ZIP verified; same labels do not imply same universe",2026-08-28
2012,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,UNKNOWN,APPLICATION_REQUIRED,PROVENANCE_NARA_STATISTICS_SELECTION,"raw/codebook/guide/report verified; field crosswalk still pending",2026-08-28
2013,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,APPLICATION_REQUIRED,FIELD_CROSSWALK_REQUIRED,"official raw ZIP and codebook verified; preserve UNKNOWN elsewhere",2026-08-28
2014,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,APPLICATION_REQUIRED,PRE_2015_REPEAT_VISIT_WINDOW,"official raw ZIP verified; repeat-visit question still used recent-three-year window",2026-08-28
2015,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,APPLICATION_REQUIRED,REGIME_BREAK_REPEAT_VISIT_WINDOW,"official raw ZIP and codebook verified; 2014→2015 repeat-visit definition break remains",2026-08-28
2016,VERIFIED_AVAILABLE,LISTED_NO_FILE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,APPLICATION_REQUIRED,SAME_YEAR_ARTIFACT_FALLBACK_REQUIRED,"questionnaire exact wording remains UNKNOWN unless recovered from same-year authoritative artifacts",2026-08-28
2017,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,NOT_PUBLISHED_BY_DESIGN,VERIFIED_AVAILABLE,UNKNOWN,APPLICATION_OR_PORTAL_PROCEDURE,POST_ADMIN_TRANSFER_SUPPORT_STACK,"route methodology to same-year raw/questionnaire/codebook/report",2026-08-28
2018,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,NOT_PUBLISHED_BY_DESIGN,VERIFIED_AVAILABLE,UNKNOWN,APPLICATION_OR_PORTAL_PROCEDURE,REGIME_BREAK_CRUISE_EXCLUDED_AGE_QUOTA_STAY_90D,"major sample/population break; do not splice mechanically",2026-08-28
2019,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,VERIFIED_AVAILABLE,NOT_PUBLISHED_BY_DESIGN,VERIFIED_AVAILABLE,UNKNOWN,APPLICATION_OR_PORTAL_PROCEDURE,PRE_COVID_NORMAL_REGIME,"same-year artifact stack preferred",2026-08-28
2020,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,APPLICATION_REQUIRED,REGIME_BREAK_COVID_REDUCED_METHOD_CONTENT,"official raw ZIP/codebook/report now directly verified; 2020 remains within changed 2020-2022 methodology regime",2026-08-28
2021,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,PORTAL_DOWNLOAD,REGIME_BREAK_COVID_TEMP_CORE_PLUS_QR_FOLLOWUP,"official raw ZIP/codebook/report verified; 2021 uses reduced questionnaire and no sample design; no weight applied under official 2020+ COVID-era guidance; recommendation intention added; exact field extraction pending",2026-08-29
2022,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,VERIFIED_AVAILABLE,UNKNOWN,PORTAL_DOWNLOAD,REGIME_BREAK_COVID_CHANGED_METHOD_CONTENT,"official SAV/codebook/report verified; same-year field extraction now verifies D_MON/D_BUN, Q7/Q8/Q9 and spend transforms including 61+ day and maximum-amount exclusions; full field inventory/universe still pending",2026-08-29
