survey_year,evidence_scope,raw_variable,canonical_variable,question_wording_or_definition,code_values,universe_filter,unit,weight_variable,sample_design,stay_criterion,expenditure_basis,geography,missing_codes,comparability_status,regime_break,source_artifact,source_url,provenance,limitations,license,confidence,status,notes
2022,TIME,D_MON,interview_month,"월별", "1=1월;2=2월;3=3월;4=4월;5=5월;6=6월;7=7월;8=8월;9=9월;10=10월;11=11월;12=12월",UNKNOWN,month,NOT_APPLIED_BY_COVID_REGIME,NO_SAMPLE_DESIGN_BY_COVID_REGIME,UNKNOWN,NA,Republic of Korea,UNKNOWN,SAME_YEAR_FIELD_VERIFIED,COVID_2020_2022_MODIFIED_REGIME,"2022 외래관광객조사 코드북 PDF","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=304817&cbIdx=1127&streFileNm=ddef2bca-ce59-462a-93e4-dc30d52db162.pdf","한국문화관광연구원/문화체육관광부 조사; 한국관광 데이터랩 배포","field extracted from official indexed codebook; respondent rows not ingested",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED,"monthly variable existence and values verified; do not infer monthly estimator validity beyond observed records"
2022,TIME,D_BUN,interview_quarter,"분기별","1=1분기;2=2분기;3=3분기;4=4분기",UNKNOWN,quarter,NOT_APPLIED_BY_COVID_REGIME,NO_SAMPLE_DESIGN_BY_COVID_REGIME,UNKNOWN,NA,Republic of Korea,UNKNOWN,SAME_YEAR_FIELD_VERIFIED,COVID_2020_2022_MODIFIED_REGIME,"2022 외래관광객조사 코드북 PDF","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=304817&cbIdx=1127&streFileNm=ddef2bca-ce59-462a-93e4-dc30d52db162.pdf","한국문화관광연구원/문화체육관광부 조사; 한국관광 데이터랩 배포","field extracted from official indexed codebook; respondent rows not ingested",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED,"quarter variable existence and values verified"
2022,SPEND,C총액1인MIS,spend_total_per_person_category,"문7. 1인 평균 지출 경비_전체_총액 (최대금액 초과 결측, 카테고리)","1=US$1,000 이하;2=>1,000~2,000;3=>2,000~3,000;4=>3,000~5,000;5=>5,000~10,000;6=>10,000;98=최대금액 초과자",UNKNOWN,US$ category,NOT_APPLIED_BY_COVID_REGIME,NO_SAMPLE_DESIGN_BY_COVID_REGIME,UNKNOWN,"per-person total expenditure; maximum-amount treatment explicit; exact construction formula beyond label UNKNOWN",Republic of Korea,"98=max-amount-exceed case",SAME_YEAR_FIELD_VERIFIED,COVID_2020_2022_MODIFIED_REGIME,"2022 외래관광객조사 코드북 PDF","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=304817&cbIdx=1127&streFileNm=ddef2bca-ce59-462a-93e4-dc30d52db162.pdf","한국문화관광연구원/문화체육관광부 조사; 한국관광 데이터랩 배포","codebook label does not alone establish FX conversion procedure or all component inclusion rules",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED,"do not harmonize to pre/post-COVID spend variables without same-year mapping"
2022,SPEND,DAYall평균,spend_daily_per_person_raw,"문7. 1인 평균 지출 경비_전체_총액 (원자료)","원자료",UNKNOWN,US$ per person per day,NOT_APPLIED_BY_COVID_REGIME,NO_SAMPLE_DESIGN_BY_COVID_REGIME,UNKNOWN,"daily spend raw field; denominator formula not directly exposed in indexed snippet",Republic of Korea,UNKNOWN,SAME_YEAR_FIELD_VERIFIED,COVID_2020_2022_MODIFIED_REGIME,"2022 외래관광객조사 코드북 PDF","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=304817&cbIdx=1127&streFileNm=ddef2bca-ce59-462a-93e4-dc30d52db162.pdf","한국문화관광연구원/문화체육관광부 조사; 한국관광 데이터랩 배포","exact denominator/construction formula UNKNOWN",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED,"raw daily-spend field existence verified"
2022,SPEND,DAY평균,spend_daily_per_person_analysis,"문7. 1인 평균 지출 경비_전체_총액 (61일 이상 & 최대금액 초과 제외)",UNKNOWN,"analysis subset excludes stays >=61 days and maximum-amount exceeders",US$ per person per day,NOT_APPLIED_BY_COVID_REGIME,NO_SAMPLE_DESIGN_BY_COVID_REGIME,"61일 이상 제외 in this transformed spend field","daily spend analytical field; exact denominator formula UNKNOWN",Republic of Korea,"max-amount exceed excluded; exact code UNKNOWN",SAME_YEAR_FIELD_VERIFIED,COVID_2020_2022_MODIFIED_REGIME,"2022 외래관광객조사 코드북 PDF","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=304817&cbIdx=1127&streFileNm=ddef2bca-ce59-462a-93e4-dc30d52db162.pdf","한국문화관광연구원/문화체육관광부 조사; 한국관광 데이터랩 배포","this is an analysis transform, not evidence that survey eligibility itself was <=60 days",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED,"critical distinction: analysis exclusion must not be mistaken for respondent universe criterion"
2022,SPEND,RDAY평균,spend_daily_per_person_analysis_category,"문7. 1인 평균 지출 경비_전체_총액 (61일 이상 & 최대금액 초과 제외, 카테고리)","1=US$50 이하;2=>50~100;3=>100~300;4=>300~500;5=>500", "analysis subset excludes stays >=61 days and maximum-amount exceeders",US$ per person per day category,NOT_APPLIED_BY_COVID_REGIME,NO_SAMPLE_DESIGN_BY_COVID_REGIME,"61일 이상 제외 in this transformed spend field","categorized analytical daily spend",Republic of Korea,UNKNOWN,SAME_YEAR_FIELD_VERIFIED,COVID_2020_2022_MODIFIED_REGIME,"2022 외래관광객조사 코드북 PDF","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=304817&cbIdx=1127&streFileNm=ddef2bca-ce59-462a-93e4-dc30d52db162.pdf","한국문화관광연구원/문화체육관광부 조사; 한국관광 데이터랩 배포","category boundaries verified; construction formula otherwise UNKNOWN",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED,"separate from DAYall평균 raw field"
2022,SATISFACTION,Q7,overall_satisfaction,"문7. 한국여행에 대한 전반적 만족도","1=매우 불만족;2=대체로 불만족;3=보통;4=대체로 만족;5=매우 만족",UNKNOWN,5-point Likert,NOT_APPLIED_BY_COVID_REGIME,NO_SAMPLE_DESIGN_BY_COVID_REGIME,UNKNOWN,NA,Republic of Korea,UNKNOWN,SAME_YEAR_FIELD_VERIFIED,COVID_2020_2022_MODIFIED_REGIME,"2022 외래관광객조사 코드북 PDF","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=304817&cbIdx=1127&streFileNm=ddef2bca-ce59-462a-93e4-dc30d52db162.pdf","한국문화관광연구원/문화체육관광부 조사; 한국관광 데이터랩 배포","universe/skip not exposed in indexed extract",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED,"exact same-year wording and scale verified"
2022,POST_TRIP,Q8,revisit_intention_3y_tourism,"문8. 향후 3년 내 관광목적 재방문 의향","1=전혀 그렇지 않다;2=별로 그렇지 않다;3=보통;4=대체로 그렇다;5=매우 그렇다",UNKNOWN,5-point Likert,NOT_APPLIED_BY_COVID_REGIME,NO_SAMPLE_DESIGN_BY_COVID_REGIME,UNKNOWN,NA,Republic of Korea,UNKNOWN,SAME_YEAR_FIELD_VERIFIED,COVID_2020_2022_MODIFIED_REGIME,"2022 외래관광객조사 코드북 PDF","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=304817&cbIdx=1127&streFileNm=ddef2bca-ce59-462a-93e4-dc30d52db162.pdf","한국문화관광연구원/문화체육관광부 조사; 한국관광 데이터랩 배포","universe/skip not exposed in indexed extract",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED,"3-year horizon and tourism-purpose wording verified"
2022,POST_TRIP,Q9,recommendation_intention,"문9. 타인 추천 의향","1=전혀 그렇지 않다;2=별로 그렇지 않다;3=보통;4=대체로 그렇다;5=매우 그렇다",UNKNOWN,5-point Likert,NOT_APPLIED_BY_COVID_REGIME,NO_SAMPLE_DESIGN_BY_COVID_REGIME,UNKNOWN,NA,Republic of Korea,UNKNOWN,SAME_YEAR_FIELD_VERIFIED,COVID_2020_2022_MODIFIED_REGIME,"2022 외래관광객조사 코드북 PDF","https://datalab.visitkorea.or.kr/common/board/Download.do?bcIdx=304817&cbIdx=1127&streFileNm=ddef2bca-ce59-462a-93e4-dc30d52db162.pdf","한국문화관광연구원/문화체육관광부 조사; 한국관광 데이터랩 배포","universe/skip not exposed in indexed extract",UNKNOWN,HIGH,FIELD_LEVEL_VERIFIED,"same-year field verifies recommendation-intent presence in 2022"
2022,REPORT,NA,official_report,"2022년 외래관광객조사 보고서",NA,NA,NA,NOT_APPLIED_BY_COVID_REGIME,NO_SAMPLE_DESIGN_BY_COVID_REGIME,UNKNOWN,"report states average-cost calculations exclude amounts above US$10,000; average stay calculations exclude 61+ day stays",Republic of Korea,NA,OFFICIAL_REPORT_VERIFIED,COVID_2020_2022_MODIFIED_REGIME,"2022년 외래관광객조사 보고서 PDF / official report registry","https://know.tour.go.kr/stat/fReportsOfForeignerDis19Re.do","문화체육관광부·한국문화관광연구원 official publication; report registered 2023-05-31","aggregate report rules do not substitute for raw-variable universe, respondent-level missing codes, or sample-design metadata",UNKNOWN,HIGH,VERIFIED_AVAILABLE,"report availability and publication date verified; respondent rows not ingested"
