origin,official_source,frequency,destination_resolved,purpose,stay_or_nights,spend,downloadability,status,notes
Japan,JNTO/Japan Tourism Statistics,monthly+annual,PARTIAL,PARTIAL,PARTIAL,PARTIAL,CSV/PDF,VERIFIED,"Strong outbound totals and port x month; Japanese visitor ranking; destination-resolved detail weaker than Korea inbound side"
China,National Bureau/Ministry/Culture-Tourism/immigration publications,annual/irregular,PARTIAL,PARTIAL,PARTIAL,PARTIAL,mixed,PARTIAL,"No single verified public 10Y x month x destination cube identified; keep Korea inbound as arrival truth and China side as context until harmonized source found"
Taiwan,Taiwan official tourism/immigration statistics,monthly/annual,PARTIAL,PARTIAL,PARTIAL,PARTIAL,download/dashboard,PARTIAL,"Strong official tourism statistics but outbound Korea-resolved series requires source-specific extraction"
United States,NTTO outbound/travel statistics,monthly/annual,PARTIAL,PARTIAL,PARTIAL,PARTIAL,download/dashboard,PARTIAL,"Use U.S. resident outbound/destination products where definitions are directly verified; do not substitute air passenger counts for trips"
Hong Kong,Census/Immigration/Tourism official statistics,monthly/annual,PARTIAL,PARTIAL,PARTIAL,PARTIAL,mixed,PARTIAL,"Outbound destination series fragmented across products"
Philippines,Philippine Statistics Authority/OpenSTAT,annual/irregular,PARTIAL,YES in selected tables,PARTIAL,PARTIAL,download,PARTIAL,"Historical outbound tables exist; some years/periods incomplete and must retain coverage flags"
Vietnam,General Statistics Office/tourism authorities,annual/irregular,PARTIAL,PARTIAL,PARTIAL,PARTIAL,mixed,PARTIAL,"Outbound public detail less standardized than inbound; retain country-government sources only when directly comparable"
Singapore,SingStat,monthly,NO for general resident departures,NO,NO,NO,Excel,VERIFIED_LIMITED,"Outbound Departures of Singapore Residents by Mode of Transport monthly is verified; useful total propensity denominator but not Korea-destination choice"
Indonesia,BPS Outbound Tourism Statistics,annual,YES/selected,YES,YES,YES,publication/data,VERIFIED,"Combines immigration, digital survey and mobile positioning in recent publication; strong socioeconomic and spend context"
Thailand,NSO/Department of Tourism,annual/selected,YES in selected outbound products,YES/selected,PARTIAL,PARTIAL,publication/data,PARTIAL,"Destination ranking/share available in official publications; full monthly destination cube not verified"
Malaysia,DOSM/Tourism Malaysia/immigration products,annual/selected,PARTIAL,PARTIAL,PARTIAL,PARTIAL,mixed,PARTIAL,"Requires harmonization; do not infer from arrivals to Malaysia"
Canada,Statistics Canada tables 24-10-0080/0081 and related,quarterly,YES,YES,YES,YES,CSV/SDMX,VERIFIED,"Strong mirror: country of visit x purpose/province with visits nights expenditures; quarterly not monthly"
Australia,Australian Bureau of Statistics OAD,monthly,YES in resident-return destination tables,PARTIAL,PARTIAL,PARTIAL,CSV/XLSX,VERIFIED,"Short-term resident returns are border movements/trips, not unique persons; preserve definition"
Russia,Rosstat/border/tourism official sources,quarterly/annual,PARTIAL,PARTIAL,PARTIAL,PARTIAL,mixed,PARTIAL,"Series/methodology and geopolitical regime changes require strict vintage flags"
United Kingdom,ONS Travel Trends / visits and spending abroad,quarterly+annual,YES,YES,YES,YES,XLSX,VERIFIED,"Nights, spend, purpose, country, mode, stay length; 2019 method change and current destination-airport correction notice must be regime/quality flags"
